Player,Team,Cost,Role,Sel.,Form,Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form.1,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall,Player_Appearances,Player_NPG,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90,Team_Ranking,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS
Oriol Romeu,SOU,4.5,MID,4.5%,2.5,39.0,1215.0,1.0,1.0,5.0,16.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,192.0,275.8,176.4,88.0,54.0,2.5,0.0,0.6,8.7,2.8,427682.0,392785.0,0.0,0.0,14,1.0,0.28,0.28,1.17,4.25,3.59,0.02,0.02,0.09,0.11,0.11,0.31,0.26,7,14,7,3,4.0,25.0,19,24,16.25,14.73,17.2,15.68,-0.95,8.94,12.28,87.0,74.0,18.89
McCarthy,SOU,4.6,GKP,22.6%,3.8,56.0,1260.0,0.0,0.0,5.0,19.0,0.0,0.0,0.0,1.0,0.0,43.0,5.0,265.0,345.8,0.0,0.0,34.7,3.8,1.0,0.8,12.2,4.0,949625.0,808305.0,1.0,-1.0,14,0.0,0.0,0.0,0.0,1.43,1.43,0.0,0.0,0.0,0.0,0.0,0.1,0.1,7,14,7,3,4.0,25.0,19,24,16.25,14.73,17.2,15.68,-0.95,8.94,12.28,87.0,74.0,18.89
Walker-Peters,SOU,4.7,DEF,13.4%,3.2,50.0,1260.0,0.0,2.0,5.0,19.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,271.0,237.4,108.5,111.0,45.8,3.2,1.0,0.7,10.6,3.6,771027.0,581991.0,2.0,-2.0,14,0.0,0.33,0.33,0.54,3.78,3.18,0.02,0.02,0.04,0.06,0.06,0.27,0.23,7,14,7,3,4.0,25.0,19,24,16.25,14.73,17.2,15.68,-0.95,8.94,12.28,87.0,74.0,18.89
Ward-Prowse,SOU,6.3,MID,17.9%,4.0,67.0,1260.0,4.0,3.0,5.0,19.0,0.0,0.0,0.0,3.0,0.0,0.0,8.0,305.0,374.2,405.6,109.0,88.8,4.0,3.0,0.6,10.6,4.8,1736578.0,705690.0,3.0,-3.0,14,4.0,0.92,0.92,1.58,4.09,3.37,0.07,0.07,0.11,0.18,0.18,0.29,0.24,7,14,7,3,4.0,25.0,19,24,16.25,14.73,17.2,15.68,-0.95,8.94,12.28,87.0,74.0,18.89
Adams,SOU,6.0,FWD,8.3%,4.3,67.0,1199.0,4.0,5.0,5.0,18.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,227.0,281.6,246.1,399.0,92.8,4.3,1.0,0.7,11.2,4.8,857516.0,556669.0,0.0,0.0,14,4.0,4.58,4.58,3.29,6.64,1.03,0.34,0.34,0.24,0.58,0.58,0.49,0.08,7,14,7,3,4.0,25.0,19,24,16.25,14.73,17.2,15.68,-0.95,8.94,12.28,87.0,74.0,18.89
Bednarek,SOU,4.7,DEF,5.9%,4.5,56.0,1170.0,1.0,1.0,5.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,277.0,281.6,29.4,95.0,40.6,4.5,1.0,1.0,11.9,4.0,396146.0,170654.0,2.0,-2.0,14,1.0,0.3,0.3,0.63,3.23,3.2,0.02,0.02,0.05,0.07,0.07,0.25,0.24,7,14,7,3,4.0,25.0,19,24,16.25,14.73,17.2,15.68,-0.95,8.94,12.28,87.0,74.0,18.89
Bertrand,SOU,5.0,DEF,1.0%,2.3,38.0,1158.0,0.0,0.0,4.0,17.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,178.0,135.0,153.4,53.0,34.1,2.3,0.0,0.5,7.6,2.9,67195.0,100041.0,0.0,0.0,13,0.0,0.11,0.11,0.51,2.99,2.78,0.01,0.01,0.04,0.05,0.05,0.23,0.22,7,14,7,3,4.0,25.0,19,24,16.25,14.73,17.2,15.68,-0.95,8.94,12.28,87.0,74.0,18.89
Vestergaard,SOU,5.0,DEF,17.0%,3.8,63.0,1125.0,3.0,0.0,5.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,282.0,366.2,45.3,149.0,56.1,3.8,1.0,0.8,12.6,4.8,1374804.0,188061.0,5.0,-5.0,13,3.0,0.74,0.74,0.63,2.82,2.78,0.06,0.06,0.05,0.11,0.11,0.23,0.22,7,14,7,3,4.0,25.0,19,24,16.25,14.73,17.2,15.68,-0.95,8.94,12.28,87.0,74.0,18.89
Armstrong,SOU,5.5,MID,0.7%,2.7,45.0,932.0,2.0,2.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,151.0,193.2,169.5,112.0,47.3,2.7,1.0,0.5,8.2,4.1,85461.0,61860.0,0.0,0.0,11,2.0,0.82,0.82,0.62,2.74,1.72,0.08,0.08,0.06,0.14,0.14,0.26,0.16,7,14,7,3,4.0,25.0,19,24,16.25,14.73,17.2,15.68,-0.95,8.94,12.28,87.0,74.0,18.89
Ings,SOU,8.4,FWD,7.0%,2.5,62.0,889.0,6.0,3.0,4.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,236.0,328.6,122.2,381.0,83.1,2.5,1.0,0.3,7.4,5.6,987630.0,2151188.0,-1.0,1.0,11,4.0,4.42,2.9,0.85,4.21,0.76,0.45,0.29,0.09,0.53,0.38,0.43,0.08,7,14,7,3,4.0,25.0,19,24,16.25,14.73,17.2,15.68,-0.95,8.94,12.28,87.0,74.0,18.89
