Player,Team,Cost,Role,Sel.,Form,Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form.1,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall,Player_Appearances,Player_NPG,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90,Team_Ranking,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS
Ederson,MCI,6.1,GKP,9.1%,5.4,107.0,1980.0,0.0,1.0,14.0,13.0,0.0,0.0,0.0,2.0,0.0,37.0,3.0,432.0,333.6,10.0,0.0,34.5,5.4,0.0,0.9,17.5,4.9,770453.0,530190.0,1.0,-1.0,22,0.0,0.0,0.0,0.3,4.79,4.48,0.0,0.0,0.01,0.01,0.01,0.22,0.2,1,23,16,5,2.0,46.0,14,53,48.46,43.13,16.09,12.29,30.85,10.4,21.13,250.0,84.0,53.24
Bernardo Silva,MCI,7.4,MID,1.1%,4.1,52.0,1300.0,1.0,3.0,9.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,241.0,228.8,240.2,302.0,77.3,4.1,0.0,0.6,7.0,3.1,146926.0,136519.0,-1.0,1.0,17,1.0,2.6,2.6,2.62,10.97,7.12,0.18,0.18,0.18,0.36,0.36,0.76,0.49,1,23,16,5,2.0,46.0,14,53,48.46,43.13,16.09,12.29,30.85,10.4,21.13,250.0,84.0,53.24
Fernandinho,MCI,5.4,DEF,0.7%,1.1,27.0,517.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,121.0,79.0,47.1,53.0,18.1,1.1,0.0,0.2,5.0,2.7,58772.0,110602.0,-1.0,1.0,10,0.0,0.61,0.61,0.02,3.32,3.23,0.11,0.11,0.0,0.11,0.11,0.59,0.57,1,23,16,5,2.0,46.0,14,53,48.46,43.13,16.09,12.29,30.85,10.4,21.13,250.0,84.0,53.24
Dias,MCI,6.1,DEF,20.8%,4.0,98.0,1779.0,0.0,1.0,13.0,8.0,1.0,0.0,0.0,3.0,0.0,0.0,9.0,434.0,385.2,34.9,164.0,58.6,4.0,1.0,0.7,16.1,4.9,2195128.0,635023.0,6.0,-6.0,20,0.0,1.43,1.43,0.0,9.42,9.38,0.07,0.07,0.0,0.07,0.07,0.48,0.47,1,23,16,5,2.0,46.0,14,53,48.46,43.13,16.09,12.29,30.85,10.4,21.13,250.0,84.0,53.24
Sterling,MCI,11.6,MID,14.3%,5.1,119.0,1708.0,8.0,7.0,11.0,12.0,0.0,0.0,1.0,1.0,0.0,0.0,10.0,359.0,520.2,405.5,967.0,189.2,5.1,1.0,0.4,10.3,5.7,2157252.0,1334545.0,1.0,-1.0,21,8.0,8.41,7.65,4.83,17.85,9.31,0.44,0.4,0.25,0.7,0.66,0.94,0.49,1,23,16,5,2.0,46.0,14,53,48.46,43.13,16.09,12.29,30.85,10.4,21.13,250.0,84.0,53.24
Cancelo,MCI,6.1,DEF,23.8%,5.4,100.0,1522.0,1.0,2.0,11.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,13.0,413.0,378.4,482.6,233.0,109.5,5.4,1.0,0.9,16.4,5.6,2469405.0,712570.0,6.0,-6.0,18,1.0,1.06,1.06,3.51,13.18,10.51,0.06,0.06,0.21,0.27,0.27,0.78,0.62,1,23,16,5,2.0,46.0,14,53,48.46,43.13,16.09,12.29,30.85,10.4,21.13,250.0,84.0,53.24
De Bruyne,MCI,11.8,MID,9.9%,0.1,95.0,1405.0,3.0,10.0,9.0,11.0,0.0,0.0,1.0,1.0,0.0,0.0,12.0,368.0,514.6,796.8,663.0,197.6,0.1,2.0,0.0,8.1,5.6,4155465.0,5379128.0,3.0,-3.0,17,1.0,8.0,5.71,7.98,15.66,7.92,0.51,0.36,0.51,1.02,0.87,1.0,0.5,1,23,16,5,2.0,46.0,14,53,48.46,43.13,16.09,12.29,30.85,10.4,21.13,250.0,84.0,53.24
Gündogan,MCI,6.1,MID,33.4%,9.6,123.0,1373.0,11.0,2.0,11.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,453.0,570.8,445.3,485.0,150.2,9.6,6.0,1.6,20.2,6.8,2890318.0,309555.0,6.0,-6.0,18,10.0,7.53,6.01,2.89,12.91,6.09,0.49,0.39,0.19,0.68,0.58,0.84,0.4,1,23,16,5,2.0,46.0,14,53,48.46,43.13,16.09,12.29,30.85,10.4,21.13,250.0,84.0,53.24
Stones,MCI,5.2,DEF,22.8%,3.7,91.0,1260.0,2.0,0.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,368.0,319.2,45.9,88.0,45.3,3.7,1.0,0.7,17.5,6.5,2205522.0,484081.0,2.0,-2.0,14,2.0,1.54,1.54,0.01,6.43,6.43,0.11,0.11,0.0,0.11,0.11,0.46,0.46,1,23,16,5,2.0,46.0,14,53,48.46,43.13,16.09,12.29,30.85,10.4,21.13,250.0,84.0,53.24
Walker,MCI,6.1,DEF,5.3%,1.0,68.0,1199.0,1.0,1.0,7.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,272.0,214.4,119.0,72.0,40.5,1.0,2.0,0.2,11.1,4.5,988866.0,1087812.0,1.0,-1.0,15,1.0,0.17,0.17,0.37,5.28,5.04,0.01,0.01,0.03,0.04,0.04,0.4,0.38,1,23,16,5,2.0,46.0,14,53,48.46,43.13,16.09,12.29,30.85,10.4,21.13,250.0,84.0,53.24
Mahrez,MCI,8.1,MID,3.0%,2.7,76.0,1114.0,5.0,2.0,8.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,265.0,324.0,458.0,487.0,126.9,2.7,2.0,0.3,9.4,4.5,1624443.0,1607985.0,-4.0,4.0,17,5.0,3.74,3.74,4.29,11.52,4.79,0.3,0.3,0.34,0.65,0.65,0.93,0.38,1,23,16,5,2.0,46.0,14,53,48.46,43.13,16.09,12.29,30.85,10.4,21.13,250.0,84.0,53.24
Foden,MCI,6.1,MID,10.1%,3.7,86.0,1109.0,5.0,5.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,300.0,355.2,375.2,516.0,124.7,3.7,3.0,0.6,14.1,4.8,2195276.0,1759707.0,-4.0,4.0,18,5.0,3.91,3.91,3.79,9.24,3.42,0.32,0.32,0.31,0.62,0.62,0.75,0.28,1,23,16,5,2.0,46.0,14,53,48.46,43.13,16.09,12.29,30.85,10.4,21.13,250.0,84.0,53.24
