Player,Team,Cost,Role,Sel.,Form,Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form.1,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall,Player_Appearances,Player_NPG,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90,Team_Ranking,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS
Ederson,MCI,6.1,GKP,8.8%,5.4,95.0,1890.0,0.0,0.0,13.0,13.0,0.0,0.0,0.0,2.0,0.0,34.0,1.0,394.0,296.0,0.0,0.0,29.7,5.4,0.0,0.9,15.6,4.5,732859.0,513462.0,1.0,-1.0,21,0.0,0.0,0.0,0.0,4.41,4.41,0.0,0.0,0.0,0.0,0.0,0.21,0.21,1,22,15,5,2.0,43.0,14,50,46.0,41.43,15.67,11.86,29.57,10.45,21.2,233.0,83.0,50.51
Bernardo Silva,MCI,7.4,MID,1.1%,4.4,50.0,1210.0,1.0,3.0,8.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,232.0,219.8,232.4,285.0,73.9,4.4,0.0,0.6,6.8,3.1,139509.0,128758.0,-1.0,1.0,16,1.0,2.43,2.43,2.62,10.51,6.82,0.18,0.18,0.19,0.37,0.37,0.78,0.5,1,22,15,5,2.0,43.0,14,50,46.0,41.43,15.67,11.86,29.57,10.45,21.2,233.0,83.0,50.51
Fernandinho,MCI,5.4,DEF,0.7%,2.0,27.0,517.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,121.0,79.0,47.1,53.0,18.1,2.0,0.0,0.4,5.0,2.7,58746.0,107819.0,-1.0,1.0,10,0.0,0.61,0.61,0.02,3.32,3.23,0.11,0.11,0.0,0.11,0.11,0.59,0.57,1,22,15,5,2.0,43.0,14,50,46.0,41.43,15.67,11.86,29.57,10.45,21.2,233.0,83.0,50.51
Dias,MCI,6.1,DEF,21.9%,6.6,98.0,1779.0,0.0,1.0,13.0,8.0,1.0,0.0,0.0,3.0,0.0,0.0,9.0,434.0,385.2,34.9,164.0,58.6,6.6,1.0,1.1,16.1,4.9,2150563.0,497524.0,6.0,-6.0,20,0.0,1.43,1.43,0.0,9.42,9.38,0.07,0.07,0.0,0.07,0.07,0.48,0.47,1,22,15,5,2.0,43.0,14,50,46.0,41.43,15.67,11.86,29.57,10.45,21.2,233.0,83.0,50.51
Sterling,MCI,11.6,MID,13.5%,5.3,113.0,1618.0,8.0,6.0,10.0,12.0,0.0,0.0,1.0,1.0,0.0,0.0,10.0,330.0,485.6,363.3,926.0,177.4,5.3,1.0,0.5,9.7,5.7,2020036.0,1288500.0,1.0,-1.0,20,8.0,8.29,7.53,4.27,17.07,8.53,0.46,0.42,0.24,0.7,0.66,0.95,0.47,1,22,15,5,2.0,43.0,14,50,46.0,41.43,15.67,11.86,29.57,10.45,21.2,233.0,83.0,50.51
Cancelo,MCI,6.0,DEF,22.1%,5.6,94.0,1432.0,1.0,2.0,10.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,13.0,388.0,357.6,446.3,230.0,103.5,5.6,1.0,0.9,15.7,5.5,2302988.0,681285.0,5.0,-5.0,17,1.0,1.0,1.0,3.23,12.04,9.71,0.06,0.06,0.2,0.27,0.27,0.76,0.61,1,22,15,5,2.0,43.0,14,50,46.0,41.43,15.67,11.86,29.57,10.45,21.2,233.0,83.0,50.51
De Bruyne,MCI,11.8,MID,10.1%,2.0,95.0,1405.0,3.0,10.0,9.0,11.0,0.0,0.0,1.0,1.0,0.0,0.0,12.0,368.0,514.6,796.8,663.0,197.6,2.0,2.0,0.2,8.1,5.6,4153014.0,5363272.0,3.0,-3.0,17,1.0,8.0,5.71,7.98,15.66,7.92,0.51,0.36,0.51,1.02,0.87,1.0,0.5,1,22,15,5,2.0,43.0,14,50,46.0,41.43,15.67,11.86,29.57,10.45,21.2,233.0,83.0,50.51
Gündogan,MCI,6.0,MID,27.5%,8.4,104.0,1305.0,9.0,1.0,10.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,400.0,501.4,426.5,409.0,133.8,8.4,5.0,1.4,17.3,6.1,2391179.0,295792.0,5.0,-5.0,17,8.0,6.54,5.01,2.78,11.71,5.84,0.45,0.34,0.19,0.64,0.53,0.8,0.4,1,22,15,5,2.0,43.0,14,50,46.0,41.43,15.67,11.86,29.57,10.45,21.2,233.0,83.0,50.51
Walker,MCI,6.1,DEF,5.3%,1.9,68.0,1199.0,1.0,1.0,7.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,272.0,214.4,119.0,72.0,40.5,1.9,2.0,0.3,11.1,4.5,982857.0,1075168.0,1.0,-1.0,15,1.0,0.17,0.17,0.37,5.28,5.04,0.01,0.01,0.03,0.04,0.04,0.4,0.38,1,22,15,5,2.0,43.0,14,50,46.0,41.43,15.67,11.86,29.57,10.45,21.2,233.0,83.0,50.51
Stones,MCI,5.2,DEF,21.3%,6.7,85.0,1170.0,2.0,0.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,339.0,297.4,43.7,86.0,42.7,6.7,1.0,1.3,16.3,6.5,2050747.0,447050.0,2.0,-2.0,13,2.0,1.54,1.54,0.01,5.45,5.45,0.12,0.12,0.0,0.12,0.12,0.42,0.42,1,22,15,5,2.0,43.0,14,50,46.0,41.43,15.67,11.86,29.57,10.45,21.2,233.0,83.0,50.51
