Player,Team,Cost,Role,Sel.,Form,Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form.1,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall,Player_Appearances,Player_NPG,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90,Team_Ranking,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS
Ederson,MCI,6.1,GKP,10.1%,4.1,117.0,2250.0,0.0,1.0,15.0,15.0,0.0,0.0,0.0,2.0,0.0,41.0,3.0,480.0,370.8,10.0,0.0,38.2,4.1,1.0,0.7,19.2,4.7,886901.0,574089.0,1.0,-1.0,25,0.0,0.0,0.0,0.3,5.6,5.29,0.0,0.0,0.01,0.01,0.01,0.22,0.21,1,26,19,5,2.0,52.0,16,62,52.54,47.21,19.4,15.59,31.62,10.66,21.2,271.0,94.0,57.66
Bernardo Silva,MCI,7.4,MID,1.5%,4.0,67.0,1480.0,2.0,4.0,10.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,292.0,299.0,294.3,345.0,94.1,4.0,1.0,0.5,9.1,3.5,206028.0,161081.0,-1.0,1.0,19,2.0,2.8,2.8,2.78,11.4,7.26,0.17,0.17,0.17,0.34,0.34,0.69,0.44,1,26,19,5,2.0,52.0,16,62,52.54,47.21,19.4,15.59,31.62,10.66,21.2,271.0,94.0,57.66
Fernandinho,MCI,5.4,DEF,0.7%,1.6,38.0,698.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,168.0,123.6,79.2,55.0,25.9,1.6,1.0,0.3,7.0,2.9,62242.0,112039.0,-1.0,1.0,13,0.0,0.61,0.61,0.13,4.21,4.0,0.08,0.08,0.02,0.1,0.1,0.55,0.52,1,26,19,5,2.0,52.0,16,62,52.54,47.21,19.4,15.59,31.62,10.66,21.2,271.0,94.0,57.66
Dias,MCI,6.1,DEF,22.8%,3.7,117.0,2049.0,1.0,1.0,14.0,10.0,1.0,0.0,0.0,3.0,0.0,0.0,12.0,504.0,478.6,52.5,183.0,71.7,3.7,1.0,0.6,19.2,5.1,2443421.0,729346.0,6.0,-6.0,23,1.0,1.79,1.79,0.02,11.46,11.4,0.08,0.08,0.0,0.08,0.08,0.5,0.5,1,26,19,5,2.0,52.0,16,62,52.54,47.21,19.4,15.59,31.62,10.66,21.2,271.0,94.0,57.66
Sterling,MCI,11.6,MID,11.6%,4.4,128.0,1877.0,9.0,7.0,12.0,13.0,0.0,0.0,1.0,2.0,0.0,0.0,10.0,396.0,565.4,440.6,1059.0,206.4,4.4,1.0,0.4,11.0,5.6,2252073.0,1643551.0,1.0,-1.0,23,9.0,9.43,8.67,4.95,19.42,9.77,0.45,0.41,0.24,0.69,0.65,0.93,0.47,1,26,19,5,2.0,52.0,16,62,52.54,47.21,19.4,15.59,31.62,10.66,21.2,271.0,94.0,57.66
Cancelo,MCI,6.2,DEF,26.1%,3.0,107.0,1702.0,1.0,2.0,12.0,8.0,0.0,0.0,0.0,4.0,0.0,0.0,13.0,442.0,400.8,505.6,280.0,118.8,3.0,1.0,0.5,17.3,5.3,2789650.0,846105.0,7.0,-7.0,20,1.0,1.49,1.49,3.57,14.19,11.38,0.08,0.08,0.19,0.27,0.27,0.75,0.6,1,26,19,5,2.0,52.0,16,62,52.54,47.21,19.4,15.59,31.62,10.66,21.2,271.0,94.0,57.66
De Bruyne,MCI,11.8,MID,12.9%,1.7,107.0,1567.0,3.0,11.0,10.0,12.0,0.0,0.0,1.0,1.0,0.0,0.0,15.0,413.0,555.6,890.8,695.0,214.3,1.7,2.0,0.1,9.1,5.3,4426121.0,5413546.0,3.0,-3.0,20,1.0,8.15,5.87,8.68,16.74,8.64,0.47,0.34,0.5,0.96,0.83,0.96,0.49,1,26,19,5,2.0,52.0,16,62,52.54,47.21,19.4,15.59,31.62,10.66,21.2,271.0,94.0,57.66
Gündogan,MCI,6.2,MID,37.1%,6.4,128.0,1551.0,11.0,2.0,12.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,475.0,578.6,458.8,528.0,156.7,6.4,6.0,1.0,20.6,6.4,3527249.0,638258.0,7.0,-7.0,20,10.0,7.71,6.18,2.89,14.3,7.29,0.44,0.36,0.17,0.61,0.52,0.82,0.42,1,26,19,5,2.0,52.0,16,62,52.54,47.21,19.4,15.59,31.62,10.66,21.2,271.0,94.0,57.66
Stones,MCI,5.2,DEF,23.9%,4.3,107.0,1440.0,3.0,0.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,425.0,390.4,51.6,109.0,55.1,4.3,2.0,0.8,20.6,6.7,2436760.0,627094.0,2.0,-2.0,16,3.0,1.67,1.67,0.01,8.14,8.14,0.1,0.1,0.0,0.1,0.1,0.51,0.51,1,26,19,5,2.0,52.0,16,62,52.54,47.21,19.4,15.59,31.62,10.66,21.2,271.0,94.0,57.66
Mahrez,MCI,8.1,MID,3.3%,3.9,97.0,1384.0,6.0,4.0,9.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,347.0,405.0,510.5,612.0,152.7,3.9,2.0,0.5,12.0,4.8,1682611.0,1639178.0,-4.0,4.0,20,6.0,4.23,4.23,4.92,13.25,5.65,0.27,0.27,0.32,0.59,0.59,0.86,0.37,1,26,19,5,2.0,52.0,16,62,52.54,47.21,19.4,15.59,31.62,10.66,21.2,271.0,94.0,57.66
