Player,Team,Cost,Role,Sel.,Form,Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall
Rüdiger,CHE,6.2,DEF,25.5%,1.4,95.0,1980.0,2.0,3.0,8.0,18.0,0.0,0.0,0.0,5.0,0.0,0.0,6.0,422.0,385.4,199.2,304.0,88.9,1.4,2.0,0.2,15.3,4.3,3242078.0,1826163.0,7.0,-7.0
Fabianski,WHU,5.0,GKP,3.5%,3.0,79.0,1980.0,0.0,0.0,5.0,30.0,0.0,1.0,0.0,0.0,0.0,70.0,5.0,390.0,550.0,0.0,0.0,54.9,3.0,2.0,0.6,15.8,3.6,337218.0,230164.0,0.0,0.0
Jansson,BRE,4.6,DEF,7.2%,1.2,66.0,1971.0,1.0,3.0,4.0,36.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,358.0,410.6,41.9,219.0,67.5,1.2,0.0,0.3,14.3,3.0,1292137.0,840006.0,1.0,-1.0
Ederson,MCI,6.1,GKP,11.8%,4.8,94.0,1890.0,0.0,0.0,12.0,13.0,0.0,0.0,0.0,2.0,0.0,35.0,4.0,413.0,310.0,0.0,0.0,31.0,4.8,0.0,0.8,15.4,4.5,841758.0,741072.0,1.0,-1.0
de Gea,MUN,5.2,GKP,13.2%,3.6,84.0,1890.0,0.0,0.0,4.0,30.0,0.0,2.0,0.0,0.0,0.0,81.0,7.0,400.0,630.8,0.0,0.0,62.9,3.6,2.0,0.7,16.2,4.0,1476332.0,722872.0,2.0,-2.0
Rice,WHU,5.1,MID,4.8%,2.2,64.0,1890.0,1.0,4.0,5.0,29.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,378.0,486.8,260.0,183.0,93.2,2.2,1.0,0.4,12.5,3.0,615210.0,629707.0,1.0,-1.0
Mitchell,CRY,4.5,DEF,1.2%,3.0,59.0,1881.0,0.0,1.0,5.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,314.0,370.4,271.6,56.0,69.8,3.0,1.0,0.7,13.1,2.8,185436.0,141521.0,0.0,0.0
Cancelo,MCI,7.0,DEF,44.3%,5.8,132.0,1877.0,1.0,8.0,12.0,12.0,0.0,0.0,0.0,5.0,0.0,0.0,19.0,513.0,488.8,457.9,441.0,138.9,5.8,6.0,0.8,18.9,6.3,4485195.0,1422411.0,10.0,-10.0
Bowen,WHU,6.8,MID,27.3%,9.2,122.0,1858.0,6.0,12.0,5.0,29.0,0.0,0.0,0.0,2.0,0.0,0.0,10.0,354.0,505.2,424.4,849.0,177.9,9.2,3.0,1.4,17.9,5.5,2931793.0,654590.0,3.0,-3.0
Nørgaard,BRE,5.0,MID,0.6%,2.0,53.0,1856.0,1.0,2.0,4.0,35.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,279.0,381.6,229.5,311.0,92.6,2.0,0.0,0.4,10.6,2.5,184785.0,183986.0,0.0,0.0
Antonio,WHU,7.9,FWD,43.0%,4.6,98.0,1840.0,8.0,7.0,5.0,27.0,0.0,0.0,1.0,4.0,1.0,0.0,13.0,318.0,477.4,474.7,887.0,183.6,4.6,4.0,0.6,12.4,4.7,6855832.0,5406672.0,4.0,-4.0
Toney,BRE,6.6,FWD,11.6%,2.5,70.0,1800.0,5.0,2.0,4.0,33.0,0.0,0.0,0.0,5.0,0.0,0.0,9.0,241.0,365.8,311.2,685.0,136.1,2.5,1.0,0.4,10.6,3.5,2315498.0,3610327.0,1.0,-1.0
Sánchez,BHA,4.6,GKP,18.4%,3.6,71.0,1800.0,0.0,0.0,6.0,20.0,0.0,0.0,0.0,2.0,1.0,56.0,7.0,374.0,456.4,30.0,0.0,48.5,3.6,1.0,0.8,15.4,3.5,1288743.0,1570454.0,1.0,-1.0
Mendy,CHE,6.1,GKP,12.1%,1.4,83.0,1800.0,0.0,0.0,8.0,16.0,0.0,0.0,0.0,2.0,0.0,55.0,3.0,360.0,408.2,0.0,0.0,40.6,1.4,0.0,0.2,13.6,4.2,1347806.0,1430635.0,1.0,-1.0
Ward,CRY,4.5,DEF,0.3%,2.5,47.0,1800.0,0.0,0.0,5.0,30.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,293.0,341.8,107.5,53.0,50.4,2.5,0.0,0.6,10.4,2.4,27310.0,30997.0,0.0,0.0
