Player,Team,Cost,Role,Sel.,Form,Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall
Ederson,MCI,5.4,GKP,14.5%,2.4,83.0,2160.0,0.0,1.0,8.0,24.0,0.0,0.0,0.0,2.0,0.0,33.0,5.0,406.0,355.0,13.1,0.0,36.8,2.4,0.0,0.4,15.4,3.5,1502438.0,1795295.0,-0.1,0.1
De Gea,MUN,5.0,GKP,10.3%,4.2,97.0,2160.0,0.0,0.0,10.0,28.0,0.0,0.0,0.0,0.0,0.0,66.0,4.0,451.0,528.8,10.0,0.0,54.1,4.2,1.0,0.8,19.4,4.0,1260930.0,1056487.0,0.0,0.0
Ream,FUL,4.6,DEF,3.0%,6.2,84.0,2157.0,1.0,0.0,8.0,30.0,0.0,0.0,0.0,2.0,0.0,0.0,12.0,449.0,463.6,32.6,72.0,57.1,6.2,2.0,1.3,18.3,3.5,405724.0,129907.0,0.1,-0.1
Kane,TOT,11.8,FWD,37.5%,5.2,155.0,2146.0,17.0,6.0,9.0,34.0,0.0,0.0,1.0,4.0,0.0,0.0,27.0,573.0,797.2,515.4,1273.0,258.6,5.2,2.0,0.4,13.1,6.5,5346376.0,3954999.0,0.3,-0.3
Ramsdale,ARS,4.9,GKP,12.1%,1.8,89.0,2070.0,0.0,0.0,9.0,23.0,0.0,0.0,0.0,0.0,0.0,53.0,6.0,406.0,418.4,0.0,0.0,42.0,1.8,1.0,0.4,18.2,3.9,1373273.0,1686267.0,-0.1,0.1
Gabriel,ARS,5.2,DEF,13.6%,1.4,92.0,2070.0,2.0,0.0,9.0,23.0,0.0,0.0,0.0,4.0,0.0,0.0,9.0,449.0,475.6,62.0,264.0,80.2,1.4,1.0,0.3,17.7,4.0,2043265.0,1570443.0,0.2,-0.2
Raya,BRE,4.7,GKP,9.9%,6.5,107.0,2070.0,0.0,0.0,8.0,30.0,0.0,0.0,0.0,1.0,0.0,100.0,14.0,531.0,721.4,20.1,0.0,74.4,6.5,1.0,1.4,22.8,4.7,1481165.0,978649.0,0.2,-0.2
Guaita,CRY,4.4,GKP,2.0%,4.8,83.0,2070.0,0.0,0.0,5.0,31.0,0.0,0.0,0.0,1.0,0.0,76.0,8.0,422.0,600.2,0.0,0.0,59.9,4.8,1.0,1.1,18.9,3.6,486207.0,428293.0,-0.1,0.1
Tarkowski,EVE,4.3,DEF,4.6%,6.0,70.0,2070.0,1.0,0.0,6.0,30.0,0.0,0.0,0.0,4.0,0.0,0.0,9.0,405.0,667.0,121.4,298.0,108.7,6.0,1.0,1.4,16.3,3.0,597800.0,242957.0,-0.2,0.2
Ward,LEI,4.0,GKP,27.9%,2.0,76.0,2070.0,0.0,0.0,6.0,41.0,0.0,0.0,0.0,0.0,0.0,69.0,9.0,428.0,544.2,0.0,0.0,54.3,2.0,2.0,0.5,19.0,3.3,2245812.0,1653343.0,0.0,0.0
Meslier,LEE,4.5,GKP,1.9%,3.0,72.0,2070.0,0.0,0.0,4.0,39.0,0.0,0.0,0.0,2.0,0.0,70.0,7.0,398.0,542.8,0.0,0.0,54.4,3.0,1.0,0.7,16.0,3.1,269967.0,339258.0,0.0,0.0
Bazunu,SOU,4.5,GKP,0.6%,3.5,61.0,2070.0,0.0,0.0,2.0,40.0,0.0,1.0,0.0,0.0,0.0,52.0,3.0,352.0,484.8,10.0,0.0,49.4,3.5,0.0,0.8,13.6,2.7,69945.0,83714.0,0.0,0.0
Ward-Prowse,SOU,6.2,MID,5.3%,3.8,88.0,2070.0,6.0,2.0,2.0,40.0,1.0,0.0,1.0,4.0,0.0,0.0,12.0,446.0,539.6,771.9,205.0,151.8,3.8,2.0,0.6,14.2,3.8,998204.0,1369249.0,-0.3,0.3
Rice,WHU,4.7,MID,3.1%,3.5,66.0,2070.0,1.0,3.0,4.0,29.0,0.0,0.0,1.0,3.0,0.0,0.0,7.0,364.0,451.2,365.7,136.0,95.3,3.5,1.0,0.7,14.0,2.9,349938.0,664215.0,-0.3,0.3
Sá,WOL,5.0,GKP,5.6%,3.0,92.0,2070.0,0.0,0.0,6.0,32.0,0.0,2.0,0.0,0.0,0.0,61.0,9.0,432.0,525.2,0.0,0.0,52.5,3.0,2.0,0.6,18.4,4.0,862949.0,781893.0,0.0,0.0
Kilman,WOL,4.4,DEF,3.7%,3.8,69.0,2070.0,0.0,1.0,6.0,32.0,0.0,0.0,0.0,3.0,0.0,0.0,9.0,383.0,484.4,26.9,68.0,58.2,3.8,3.0,0.9,15.7,3.0,672404.0,413060.0,-0.1,0.1
Fernandes,MUN,9.8,MID,10.3%,6.4,114.0,2069.0,5.0,7.0,10.0,25.0,0.0,0.0,0.0,5.0,0.0,0.0,17.0,463.0,644.8,935.3,589.0,216.9,6.4,4.0,0.7,11.6,5.0,2034074.0,1268565.0,-0.2,0.2
Bowen,WHU,8.0,MID,2.7%,6.2,85.0,2061.0,4.0,4.0,4.0,29.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,240.0,379.6,478.8,755.0,161.4,6.2,2.0,0.8,10.6,3.7,893550.0,1264326.0,-0.5,0.5
Saliba,ARS,5.3,DEF,34.6%,1.4,97.0,2055.0,2.0,1.0,9.0,23.0,1.0,0.0,0.0,4.0,0.0,0.0,13.0,469.0,452.4,69.2,105.0,62.8,1.4,2.0,0.3,18.3,4.2,5263554.0,2304447.0,0.8,-0.8
Iwobi,EVE,5.4,MID,1.5%,3.5,82.0,2052.0,1.0,7.0,6.0,30.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,353.0,442.6,563.5,178.0,118.6,3.5,1.0,0.6,15.2,3.6,357979.0,272572.0,-0.1,0.1
Højbjerg,TOT,5.5,MID,2.3%,3.8,91.0,2051.0,4.0,3.0,8.0,33.0,0.0,0.0,0.0,2.0,0.0,0.0,10.0,438.0,560.0,340.3,195.0,109.6,3.8,2.0,0.7,16.5,4.0,715336.0,626891.0,0.0,0.0
Palhinha,FUL,4.9,MID,0.3%,2.0,65.0,2045.0,3.0,0.0,8.0,26.0,0.0,0.0,0.0,9.0,0.0,0.0,5.0,264.0,424.6,73.6,269.0,77.0,2.0,1.0,0.4,13.3,2.8,76784.0,73722.0,-0.1,0.1
Lerma,BOU,4.8,MID,0.4%,1.8,56.0,2018.0,2.0,0.0,4.0,43.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,276.0,365.0,153.3,178.0,69.4,1.8,1.0,0.4,11.7,2.4,126366.0,152933.0,-0.2,0.2
Trippier,NEW,6.1,DEF,66.7%,3.2,146.0,2017.0,1.0,5.0,14.0,13.0,0.0,0.0,0.0,5.0,0.0,0.0,31.0,641.0,591.4,1185.4,81.0,186.0,3.2,4.0,0.5,23.9,6.3,6542547.0,1591154.0,1.1,-1.1
Dier,TOT,5.1,DEF,5.8%,4.5,76.0,2004.0,2.0,0.0,8.0,31.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,436.0,489.4,90.3,217.0,79.6,4.5,0.0,0.9,14.9,3.3,1430472.0,1278990.0,0.1,-0.1
Rodri,MCI,5.6,MID,1.8%,3.6,76.0,2003.0,2.0,4.0,7.0,21.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,427.0,541.6,451.0,394.0,138.8,3.6,1.0,0.6,13.6,3.3,225421.0,359288.0,-0.4,0.4
Pope,NEW,5.5,GKP,23.2%,2.0,105.0,2001.0,0.0,0.0,12.0,15.0,0.0,0.0,0.0,3.0,1.0,54.0,9.0,437.0,416.4,0.0,0.0,41.5,2.0,1.0,0.4,19.1,4.6,3650689.0,1839088.0,0.5,-0.5
Andreas,FUL,4.4,MID,18.3%,3.2,89.0,1989.0,2.0,8.0,8.0,25.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,274.0,336.6,823.4,308.0,146.6,3.2,1.0,0.7,20.2,3.7,2911828.0,3185377.0,-0.1,0.1
Saka,ARS,8.4,MID,35.0%,6.4,132.0,1984.0,9.0,9.0,8.0,23.0,0.0,0.0,0.0,5.0,0.0,0.0,12.0,454.0,656.4,721.6,750.0,212.8,6.4,4.0,0.8,15.7,5.7,4527234.0,3014017.0,0.4,-0.4
Sánchez,BHA,4.6,GKP,11.0%,3.2,81.0,1980.0,0.0,0.0,6.0,29.0,0.0,1.0,0.0,1.0,0.0,47.0,10.0,372.0,426.8,0.1,0.0,42.7,3.2,0.0,0.7,17.6,3.7,1741180.0,1701555.0,0.1,-0.1
Dunk,BHA,4.7,DEF,4.8%,2.8,62.0,1980.0,0.0,1.0,6.0,29.0,1.0,0.0,0.0,2.0,0.0,0.0,5.0,359.0,368.0,56.3,113.0,53.7,2.8,0.0,0.6,13.2,2.8,1157564.0,894865.0,0.2,-0.2
Guéhi,CRY,4.4,DEF,1.1%,2.5,48.0,1980.0,0.0,0.0,5.0,28.0,1.0,0.0,0.0,7.0,0.0,0.0,1.0,336.0,415.2,47.3,108.0,57.3,2.5,0.0,0.6,10.9,2.2,393517.0,468987.0,-0.1,0.1
Pickford,EVE,4.4,GKP,5.7%,3.2,74.0,1980.0,0.0,1.0,5.0,30.0,0.0,0.0,0.0,5.0,0.0,79.0,6.0,403.0,633.8,23.0,0.0,65.6,3.2,1.0,0.7,16.8,3.4,678487.0,733189.0,-0.1,0.1
Leno,FUL,4.5,GKP,2.9%,6.2,97.0,1980.0,0.0,0.0,7.0,28.0,0.0,0.0,0.0,2.0,0.0,92.0,14.0,496.0,730.4,10.0,0.0,74.2,6.2,2.0,1.4,21.6,4.4,374103.0,248891.0,0.0,0.0
Alisson,LIV,5.4,GKP,14.7%,6.0,98.0,1980.0,0.0,1.0,7.0,28.0,0.0,1.0,0.0,0.0,0.0,72.0,10.0,495.0,638.4,10.1,0.0,64.9,6.0,1.0,1.1,18.1,4.5,1375732.0,1917237.0,-0.1,0.1
Neves,WOL,5.4,MID,2.8%,4.2,81.0,1980.0,5.0,0.0,6.0,29.0,0.0,0.0,0.0,7.0,0.0,0.0,13.0,379.0,569.8,266.5,254.0,109.0,4.2,2.0,0.8,15.0,3.7,421409.0,374104.0,-0.1,0.1
Konsa,AVL,4.4,DEF,0.3%,1.8,50.0,1972.0,0.0,0.0,5.0,37.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,337.0,342.8,64.6,32.0,44.1,1.8,0.0,0.4,11.4,2.2,68508.0,68142.0,-0.1,0.1
Schär,NEW,5.2,DEF,15.8%,2.8,102.0,1964.0,1.0,0.0,13.0,12.0,0.0,0.0,0.0,4.0,0.0,0.0,6.0,411.0,425.2,157.7,350.0,93.5,2.8,1.0,0.5,19.6,4.6,3043017.0,1679382.0,0.7,-0.7
Fabianski,WHU,5.0,GKP,1.2%,3.2,80.0,1963.0,0.0,0.0,4.0,27.0,0.0,1.0,0.0,0.0,0.0,68.0,7.0,383.0,488.4,0.0,0.0,48.7,3.2,0.0,0.6,16.0,3.5,172420.0,198105.0,0.0,0.0
Henry,BRE,4.5,DEF,1.3%,5.2,70.0,1961.0,0.0,2.0,7.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,299.0,299.2,229.8,114.0,64.4,5.2,1.0,1.2,15.6,3.2,312362.0,258506.0,0.0,0.0
Mykolenko,EVE,4.3,DEF,0.8%,3.0,59.0,1958.0,0.0,1.0,6.0,29.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,318.0,373.6,242.5,98.0,71.7,3.0,1.0,0.7,13.7,2.6,218493.0,177823.0,-0.2,0.2
Salah,LIV,12.6,MID,24.0%,5.5,122.0,1956.0,8.0,6.0,7.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,298.0,498.6,511.4,992.0,200.2,5.5,3.0,0.4,9.7,5.5,3815266.0,7323348.0,-0.4,0.4
Rashford,MUN,7.3,MID,52.9%,10.0,151.0,1954.0,14.0,4.0,9.0,25.0,0.0,0.0,0.0,2.0,0.0,0.0,17.0,410.0,660.0,292.4,973.0,192.7,10.0,4.0,1.4,20.7,6.3,7689126.0,3028857.0,0.8,-0.8
Xhaka,ARS,4.9,MID,2.8%,2.6,87.0,1946.0,3.0,5.0,8.0,23.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,378.0,434.4,500.7,336.0,127.2,2.6,1.0,0.5,17.8,3.8,833415.0,712403.0,-0.1,0.1
Burn,NEW,4.6,DEF,3.7%,2.8,92.0,1944.0,0.0,0.0,12.0,14.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,404.0,334.4,143.2,164.0,64.3,2.8,1.0,0.6,20.0,4.0,618494.0,344130.0,0.1,-0.1
Koch,LEE,4.5,DEF,0.1%,1.8,38.0,1932.0,0.0,0.0,4.0,38.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,275.0,363.4,32.6,98.0,49.4,1.8,0.0,0.4,8.4,1.7,18180.0,23362.0,0.0,0.0
Mee,BRE,5.0,DEF,12.8%,5.5,95.0,1928.0,3.0,1.0,8.0,24.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,390.0,484.8,35.4,183.0,70.5,5.5,3.0,1.1,19.0,4.3,2148773.0,862363.0,0.5,-0.5
Groß,BHA,5.5,MID,9.8%,2.2,97.0,1912.0,6.0,3.0,6.0,29.0,0.0,0.0,0.0,2.0,0.0,0.0,10.0,415.0,512.6,688.1,354.0,155.5,2.2,2.0,0.4,17.6,4.4,4040319.0,3412639.0,0.0,0.0
De Cordova-Reid,FUL,5.5,MID,0.2%,2.5,73.0,1912.0,4.0,1.0,8.0,27.0,0.0,0.0,0.0,7.0,0.0,0.0,3.0,231.0,314.0,228.4,441.0,98.2,2.5,0.0,0.5,13.3,3.2,66925.0,63030.0,0.0,0.0
Castagne,LEI,4.4,DEF,6.7%,1.8,76.0,1911.0,1.0,3.0,7.0,36.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,400.0,426.4,258.8,208.0,89.7,1.8,1.0,0.4,17.3,3.5,1793476.0,1225412.0,-0.1,0.1
