Player,Team,Cost,Role,Sel.,Form,Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall
Guaita,CRY,4.8,GKP,3.1%,3.7,97.0,2520.0,0.0,0.0,6.0,47.0,0.0,1.0,0.0,2.0,0.0,85.0,13.0,490.0,632.4,0.0,0.0,63.4,3.7,4.0,0.8,20.2,3.5,477825.0,475893.0,-2.0,2.0
Schmeichel,LEI,5.5,GKP,10.1%,3.0,108.0,2520.0,0.0,0.0,9.0,32.0,0.0,0.0,0.0,0.0,0.0,74.0,6.0,499.0,639.2,0.0,0.0,63.9,3.0,3.0,0.5,19.6,3.9,592591.0,862157.0,0.0,0.0
Maguire,MUN,5.5,DEF,5.3%,5.0,105.0,2520.0,2.0,2.0,11.0,32.0,0.0,0.0,0.0,8.0,0.0,0.0,6.0,528.0,592.2,110.7,390.0,109.4,5.0,1.0,0.9,19.1,3.8,562788.0,484444.0,0.0,0.0
Ramsdale,SHU,4.6,GKP,1.7%,3.7,78.0,2520.0,0.0,0.0,2.0,45.0,0.0,0.0,0.0,1.0,0.0,100.0,5.0,463.0,686.8,10.0,4.0,70.1,3.7,0.0,0.8,17.0,2.8,107295.0,470821.0,-4.0,4.0
Patrício,WOL,5.3,GKP,4.4%,5.3,101.0,2520.0,0.0,0.0,8.0,37.0,0.0,1.0,0.0,1.0,0.0,71.0,9.0,472.0,558.2,0.0,0.0,55.6,5.3,0.0,1.0,19.1,3.6,392492.0,552940.0,-2.0,2.0
Robertson,LIV,7.2,DEF,14.7%,2.2,107.0,2514.0,1.0,5.0,7.0,36.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,581.0,544.2,806.8,290.0,164.4,2.2,2.0,0.3,14.9,3.8,2243297.0,2215130.0,2.0,-2.0
Westwood,BUR,5.3,MID,0.5%,2.3,76.0,2510.0,1.0,3.0,9.0,36.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,417.0,370.4,598.5,88.0,105.8,2.3,0.0,0.4,14.3,2.7,64626.0,96694.0,-2.0,2.0
Tielemans,LEI,6.4,MID,3.9%,3.2,108.0,2456.0,6.0,3.0,9.0,32.0,0.0,0.0,0.0,6.0,0.0,0.0,11.0,479.0,633.4,407.9,322.0,136.4,3.2,2.0,0.5,16.9,3.9,555836.0,447514.0,-1.0,1.0
Pope,BUR,5.6,GKP,14.0%,4.0,126.0,2430.0,0.0,0.0,9.0,31.0,0.0,0.0,0.0,0.0,0.0,99.0,20.0,551.0,730.4,10.0,0.0,74.0,4.0,2.0,0.7,22.5,4.7,1000608.0,1095188.0,1.0,-1.0
Areola,FUL,4.5,GKP,4.9%,5.0,107.0,2430.0,0.0,0.0,9.0,30.0,0.0,0.0,0.0,0.0,0.0,89.0,8.0,513.0,663.2,0.0,0.0,66.1,5.0,1.0,1.1,23.8,4.0,504317.0,256692.0,0.0,0.0
Ederson,MCI,6.1,GKP,10.2%,3.5,121.0,2430.0,0.0,1.0,15.0,18.0,0.0,0.0,0.0,2.0,0.0,45.0,3.0,504.0,406.6,10.0,0.0,41.8,3.5,1.0,0.6,19.8,4.5,925135.0,607848.0,1.0,-1.0
Ward-Prowse,SOU,5.9,MID,9.4%,3.2,117.0,2430.0,6.0,5.0,9.0,44.0,0.0,0.0,0.0,4.0,0.0,0.0,13.0,562.0,662.2,674.6,186.0,152.2,3.2,4.0,0.5,19.8,4.3,2387078.0,2022219.0,-1.0,1.0
Lloris,TOT,5.6,GKP,6.5%,4.5,112.0,2430.0,0.0,0.0,9.0,28.0,0.0,0.0,0.0,0.0,0.0,79.0,11.0,499.0,598.8,0.0,0.0,59.8,4.5,0.0,0.8,20.0,4.1,692478.0,658433.0,1.0,-1.0
Højbjerg,TOT,4.9,MID,0.9%,3.3,74.0,2430.0,1.0,3.0,9.0,28.0,0.0,0.0,0.0,6.0,0.0,0.0,3.0,398.0,507.0,209.9,85.0,80.2,3.3,0.0,0.7,15.1,2.7,146768.0,165114.0,-1.0,1.0
Johnstone,WBA,4.5,GKP,2.5%,5.5,93.0,2430.0,0.0,0.0,5.0,54.0,0.0,0.0,0.0,0.0,0.0,112.0,12.0,531.0,805.6,0.0,0.0,80.5,5.5,1.0,1.2,20.7,3.4,398742.0,273851.0,0.0,0.0
Cresswell,WHU,5.8,DEF,25.3%,6.8,133.0,2430.0,0.0,10.0,10.0,31.0,0.0,0.0,0.0,1.0,0.0,0.0,20.0,600.0,539.6,653.3,76.0,127.3,6.8,3.0,1.2,22.9,4.9,2939835.0,1139727.0,8.0,-8.0
Rice,WHU,4.7,MID,2.2%,4.2,72.0,2430.0,1.0,1.0,10.0,31.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,434.0,440.2,298.0,256.0,99.8,4.2,0.0,0.9,15.3,2.7,215130.0,400213.0,-3.0,3.0
Soucek,WHU,5.3,MID,13.5%,2.2,115.0,2430.0,8.0,1.0,10.0,31.0,0.0,0.0,0.0,4.0,1.0,0.0,15.0,405.0,651.0,166.8,681.0,149.9,2.2,4.0,0.4,21.7,4.3,2594554.0,1930522.0,3.0,-3.0
Dallas,LEE,5.0,DEF,21.7%,5.2,114.0,2420.0,5.0,3.0,8.0,45.0,0.0,0.0,0.0,5.0,0.0,0.0,11.0,520.0,560.4,321.7,362.0,124.6,5.2,3.0,1.0,22.8,4.2,2551938.0,1193466.0,5.0,-5.0
Ayling,LEE,4.4,DEF,2.4%,2.8,64.0,2409.0,0.0,0.0,8.0,46.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,475.0,613.0,368.2,259.0,124.0,2.8,0.0,0.6,14.5,2.4,364686.0,469318.0,-1.0,1.0
Coady,WOL,4.8,DEF,4.6%,5.3,83.0,2403.0,1.0,0.0,8.0,36.0,0.0,0.0,0.0,4.0,0.0,0.0,6.0,441.0,516.6,35.9,74.0,62.9,5.3,0.0,1.1,17.3,3.1,431330.0,731045.0,-2.0,2.0
Fernandes,MUN,11.5,MID,57.0%,7.4,206.0,2375.0,16.0,12.0,11.0,27.0,0.0,0.0,1.0,5.0,0.0,0.0,32.0,722.0,1083.2,1142.0,920.0,314.7,7.4,9.0,0.6,17.9,7.4,5446980.0,2425858.0,10.0,-10.0
Martínez,AVL,5.4,GKP,40.2%,6.6,149.0,2340.0,0.0,0.0,14.0,27.0,0.0,1.0,0.0,0.0,0.0,95.0,23.0,615.0,713.4,20.0,0.0,73.1,6.6,2.0,1.2,27.6,5.7,3675433.0,1230489.0,9.0,-9.0
Watkins,AVL,6.6,FWD,26.6%,2.6,113.0,2340.0,10.0,5.0,14.0,27.0,0.0,0.0,1.0,1.0,0.0,0.0,9.0,358.0,566.8,429.0,1232.0,222.3,2.6,3.0,0.4,17.1,4.3,3688191.0,1736266.0,6.0,-6.0
