Player,Team,Cost,Role,Sel.,Form,Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall
Raya,BRE,4.6,GKP,9.9%,3.7,25.0,450.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,111.0,104.8,0.0,0.0,10.4,3.7,0.0,0.8,5.4,5.0,722465.0,221356.0,1.0,-1.0
Pinnock,BRE,4.6,DEF,5.3%,4.0,29.0,450.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,111.0,94.0,13.2,10.0,11.7,4.0,1.0,0.9,6.3,5.8,432136.0,196457.0,1.0,-1.0
Nørgaard,BRE,5.0,MID,1.2%,2.0,16.0,450.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,59.0,85.4,20.0,42.0,14.8,2.0,0.0,0.4,3.2,3.2,129835.0,84216.0,0.0,0.0
Toney,BRE,6.3,FWD,14.2%,6.7,24.0,450.0,2.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,92.0,104.6,97.4,143.0,34.5,6.7,1.0,1.1,3.8,4.8,415177.0,1490323.0,-2.0,2.0
Sánchez,BHA,4.6,GKP,25.7%,3.0,17.0,450.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,90.0,77.4,10.0,0.0,8.7,3.0,0.0,0.7,3.7,3.4,664173.0,423840.0,1.0,-1.0
Duffy,BHA,4.3,DEF,21.1%,3.7,27.0,450.0,1.0,1.0,2.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,117.0,159.0,16.0,136.0,31.2,3.7,1.0,0.9,6.3,5.4,1632895.0,350188.0,3.0,-3.0
Dunk,BHA,5.0,DEF,4.4%,3.7,19.0,450.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,96.0,74.8,4.6,2.0,8.1,3.7,0.0,0.7,3.8,3.8,76740.0,193464.0,0.0,0.0
Pope,BUR,5.5,GKP,3.0%,2.0,11.0,450.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,80.0,132.8,0.0,0.0,13.4,2.0,0.0,0.4,2.0,2.2,25435.0,102346.0,0.0,0.0
Tarkowski,BUR,5.0,DEF,1.3%,1.7,12.0,450.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,61.0,127.2,2.1,83.0,21.3,1.7,0.0,0.3,2.4,2.4,34580.0,54076.0,0.0,0.0
Mee,BUR,4.9,DEF,0.7%,3.3,12.0,450.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,53.0,100.0,22.2,70.0,19.2,3.3,0.0,0.7,2.4,2.4,12883.0,29905.0,-1.0,1.0
