Player,Season,Gameweek,Opponent,Team,Home,Cost,Role,Sel.,Form,Cum Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form.1,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall,Player_Appearances,Player_NPG,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90,Team_Ranking,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS,Opp_Ranking,Opp_Avg_G,Opp_Avg_GA,Opp_Avg_PTS,Opp_Avg_xG,Opp_Avg_NPxG,Opp_Avg_xGA,Opp_Avg_NPxGA,Opp_Avg_NPxGD,Opp_Avg_PPDA,Opp_Avg_OPPDA,Opp_Avg_DC,Opp_Avg_ODC,Opp_Avg_xPTS,Pts.
Ederson,21,27,MUN,MCI,1,6.1,GKP,10.2%,3.5,121.0,2430.0,0.0,1.0,15.0,18.0,0.0,0.0,0.0,2.0,0.0,45.0,3.0,504.0,406.6,10.0,0.0,41.8,3.5,1.0,0.6,19.8,4.5,925135.0,607848.0,1.0,-1.0,27,0.0,0.0,0.0,0.3,5.7,5.4,0.0,0.0,0.01,0.01,0.01,0.21,0.2,1,28,20,5,3.0,56.0,19,65,57.08,51.75,21.83,17.26,34.49,10.38,21.66,304.0,99.0,61.32,2,1.9642857142857142,1.1428571428571428,1.9285714285714286,1.6735714285714285,1.4289285714285713,1.1385714285714286,1.029642857142857,0.3992857142857143,0.3896428571428571,0.46,8.821428571428571,5.035714285714286,1.6835714285714285,2.0
Bernardo Silva,21,27,MUN,MCI,1,7.4,MID,1.5%,3.0,69.0,1561.0,2.0,4.0,10.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,305.0,306.8,328.4,377.0,101.5,3.0,1.0,0.4,9.3,3.5,221853.0,183208.0,-1.0,1.0,20,2.0,3.19,3.19,3.16,12.41,7.5,0.18,0.18,0.18,0.36,0.36,0.71,0.43,1,28,20,5,3.0,56.0,19,65,57.08,51.75,21.83,17.26,34.49,10.38,21.66,304.0,99.0,61.32,2,1.9642857142857142,1.1428571428571428,1.9285714285714286,1.6735714285714285,1.4289285714285713,1.1385714285714286,1.029642857142857,0.3992857142857143,0.3896428571428571,0.46,8.821428571428571,5.035714285714286,1.6835714285714285,2.0
Fernandinho,21,27,MUN,MCI,1,5.4,DEF,0.7%,1.4,38.0,698.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,168.0,123.6,79.2,55.0,25.9,1.4,1.0,0.3,7.0,2.9,62803.0,113217.0,-1.0,1.0,13,0.0,0.61,0.61,0.13,4.21,4.0,0.08,0.08,0.02,0.1,0.1,0.55,0.52,1,28,20,5,3.0,56.0,19,65,57.08,51.75,21.83,17.26,34.49,10.38,21.66,304.0,99.0,61.32,2,1.9642857142857142,1.1428571428571428,1.9285714285714286,1.6735714285714285,1.4289285714285713,1.1385714285714286,1.029642857142857,0.3992857142857143,0.3896428571428571,0.46,8.821428571428571,5.035714285714286,1.6835714285714285,0.0
Dias,21,27,MUN,MCI,1,6.1,DEF,24.7%,2.9,120.0,2229.0,1.0,1.0,14.0,13.0,1.0,0.0,0.0,3.0,0.0,0.0,12.0,533.0,520.6,72.0,185.0,78.0,2.9,1.0,0.5,19.7,4.8,2614671.0,751400.0,6.0,-6.0,25,1.0,1.79,1.79,0.04,13.01,12.95,0.07,0.07,0.0,0.07,0.07,0.52,0.52,1,28,20,5,3.0,56.0,19,65,57.08,51.75,21.83,17.26,34.49,10.38,21.66,304.0,99.0,61.32,2,1.9642857142857142,1.1428571428571428,1.9285714285714286,1.6735714285714285,1.4289285714285713,1.1385714285714286,1.029642857142857,0.3992857142857143,0.3896428571428571,0.46,8.821428571428571,5.035714285714286,1.6835714285714285,1.0
Sterling,21,27,MUN,MCI,1,11.6,MID,10.2%,3.4,132.0,2057.0,9.0,7.0,12.0,16.0,0.0,0.0,1.0,2.0,0.0,0.0,10.0,401.0,574.2,472.6,1155.0,220.1,3.4,1.0,0.3,11.4,5.3,2294100.0,1801882.0,1.0,-1.0,25,9.0,10.34,9.58,5.09,20.96,10.34,0.45,0.42,0.22,0.67,0.64,0.91,0.45,1,28,20,5,3.0,56.0,19,65,57.08,51.75,21.83,17.26,34.49,10.38,21.66,304.0,99.0,61.32,2,1.9642857142857142,1.1428571428571428,1.9285714285714286,1.6735714285714285,1.4289285714285713,1.1385714285714286,1.029642857142857,0.3992857142857143,0.3896428571428571,0.46,8.821428571428571,5.035714285714286,1.6835714285714285,0.0
Cancelo,21,27,MUN,MCI,1,6.2,DEF,24.6%,2.2,110.0,1856.0,1.0,2.0,12.0,11.0,0.0,0.0,0.0,4.0,0.0,0.0,13.0,473.0,422.2,551.7,328.0,130.3,2.2,1.0,0.4,17.7,5.0,2821699.0,1000761.0,7.0,-7.0,22,1.0,1.61,1.61,3.97,15.03,12.05,0.08,0.08,0.19,0.27,0.27,0.73,0.58,1,28,20,5,3.0,56.0,19,65,57.08,51.75,21.83,17.26,34.49,10.38,21.66,304.0,99.0,61.32,2,1.9642857142857142,1.1428571428571428,1.9285714285714286,1.6735714285714285,1.4289285714285713,1.1385714285714286,1.029642857142857,0.3992857142857143,0.3896428571428571,0.46,8.821428571428571,5.035714285714286,1.6835714285714285,0.0
De Bruyne,21,27,MUN,MCI,1,11.8,MID,16.8%,2.0,111.0,1747.0,3.0,11.0,10.0,15.0,0.0,0.0,1.0,1.0,0.0,0.0,15.0,447.0,602.4,1015.8,813.0,243.3,2.0,2.0,0.2,9.4,5.0,4764183.0,5438043.0,3.0,-3.0,22,1.0,8.58,6.29,9.33,18.23,9.25,0.44,0.32,0.48,0.92,0.8,0.94,0.47,1,28,20,5,3.0,56.0,19,65,57.08,51.75,21.83,17.26,34.49,10.38,21.66,304.0,99.0,61.32,2,1.9642857142857142,1.1428571428571428,1.9285714285714286,1.6735714285714285,1.4289285714285713,1.1385714285714286,1.029642857142857,0.3992857142857143,0.3896428571428571,0.46,8.821428571428571,5.035714285714286,1.6835714285714285,14.0
Gündogan,21,27,MUN,MCI,1,6.2,MID,38.6%,5.4,134.0,1649.0,11.0,3.0,12.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,504.0,600.6,507.2,576.0,168.6,5.4,6.0,0.9,21.6,6.1,3774737.0,768369.0,7.0,-7.0,22,10.0,7.93,6.41,2.99,14.93,7.66,0.43,0.35,0.16,0.59,0.51,0.81,0.42,1,28,20,5,3.0,56.0,19,65,57.08,51.75,21.83,17.26,34.49,10.38,21.66,304.0,99.0,61.32,2,1.9642857142857142,1.1428571428571428,1.9285714285714286,1.6735714285714285,1.4289285714285713,1.1385714285714286,1.029642857142857,0.3992857142857143,0.3896428571428571,0.46,8.821428571428571,5.035714285714286,1.6835714285714285,8.0
Mahrez,21,27,MUN,MCI,1,8.1,MID,5.5%,4.8,111.0,1564.0,7.0,5.0,9.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,402.0,479.2,589.9,716.0,178.4,4.8,3.0,0.6,13.7,5.0,1871827.0,1655866.0,-4.0,4.0,22,7.0,4.67,4.67,5.27,14.31,5.98,0.27,0.27,0.3,0.57,0.57,0.82,0.34,1,28,20,5,3.0,56.0,19,65,57.08,51.75,21.83,17.26,34.49,10.38,21.66,304.0,99.0,61.32,2,1.9642857142857142,1.1428571428571428,1.9285714285714286,1.6735714285714285,1.4289285714285713,1.1385714285714286,1.029642857142857,0.3992857142857143,0.3896428571428571,0.46,8.821428571428571,5.035714285714286,1.6835714285714285,18.0
Stones,21,27,MUN,MCI,1,5.3,DEF,24.2%,3.1,108.0,1530.0,3.0,0.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,440.0,411.4,54.9,131.0,59.7,3.1,1.0,0.6,20.4,6.4,2528869.0,688168.0,3.0,-3.0,17,3.0,1.71,1.71,0.01,8.72,8.7,0.1,0.1,0.0,0.1,0.1,0.51,0.51,1,28,20,5,3.0,56.0,19,65,57.08,51.75,21.83,17.26,34.49,10.38,21.66,304.0,99.0,61.32,2,1.9642857142857142,1.1428571428571428,1.9285714285714286,1.6735714285714285,1.4289285714285713,1.1385714285714286,1.029642857142857,0.3992857142857143,0.3896428571428571,0.46,8.821428571428571,5.035714285714286,1.6835714285714285,0.0
Walker,21,27,MUN,MCI,1,6.1,DEF,5.0%,0.9,75.0,1494.0,1.0,1.0,7.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,324.0,254.6,153.4,83.0,49.1,0.9,2.0,0.1,12.3,3.9,996877.0,1118256.0,1.0,-1.0,19,1.0,0.19,0.19,0.47,6.55,6.2,0.01,0.01,0.03,0.04,0.04,0.39,0.37,1,28,20,5,3.0,56.0,19,65,57.08,51.75,21.83,17.26,34.49,10.38,21.66,304.0,99.0,61.32,2,1.9642857142857142,1.1428571428571428,1.9285714285714286,1.6735714285714285,1.4289285714285713,1.1385714285714286,1.029642857142857,0.3992857142857143,0.3896428571428571,0.46,8.821428571428571,5.035714285714286,1.6835714285714285,1.0
Jesus,21,27,MUN,MCI,1,9.2,FWD,3.9%,3.5,82.0,1385.0,6.0,4.0,7.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,293.0,319.6,283.4,616.0,121.9,3.5,1.0,0.4,8.9,4.1,943845.0,801803.0,-3.0,3.0,20,6.0,6.76,6.76,2.11,12.01,4.14,0.44,0.44,0.14,0.58,0.58,0.78,0.27,1,28,20,5,3.0,56.0,19,65,57.08,51.75,21.83,17.26,34.49,10.38,21.66,304.0,99.0,61.32,2,1.9642857142857142,1.1428571428571428,1.9285714285714286,1.6735714285714285,1.4289285714285713,1.1385714285714286,1.029642857142857,0.3992857142857143,0.3896428571428571,0.46,8.821428571428571,5.035714285714286,1.6835714285714285,0.0
Foden,21,27,MUN,MCI,1,6.1,MID,9.4%,3.6,96.0,1244.0,6.0,5.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,333.0,398.2,416.8,572.0,138.6,3.6,3.0,0.6,15.7,4.6,2451476.0,2076350.0,-4.0,4.0,21,6.0,4.18,4.18,3.9,9.51,3.58,0.3,0.3,0.28,0.58,0.58,0.68,0.26,1,28,20,5,3.0,56.0,19,65,57.08,51.75,21.83,17.26,34.49,10.38,21.66,304.0,99.0,61.32,2,1.9642857142857142,1.1428571428571428,1.9285714285714286,1.6735714285714285,1.4289285714285713,1.1385714285714286,1.029642857142857,0.3992857142857143,0.3896428571428571,0.46,8.821428571428571,5.035714285714286,1.6835714285714285,11.0
