Player,Season,Gameweek,Opponent,Team,Home,Cost,Role,Sel.,Form,Cum Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form.1,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall,Player_Appearances,Player_NPG,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90,Team_Ranking,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS,Opp_Ranking,Opp_Avg_G,Opp_Avg_GA,Opp_Avg_PTS,Opp_Avg_xG,Opp_Avg_NPxG,Opp_Avg_xGA,Opp_Avg_NPxGA,Opp_Avg_NPxGD,Opp_Avg_PPDA,Opp_Avg_OPPDA,Opp_Avg_DC,Opp_Avg_ODC,Opp_Avg_xPTS,Pts.
Ederson,21,26a,WHU,MCI,1,6.1,GKP,9.8%,5.6,115.0,2160.0,0.0,1.0,15.0,14.0,0.0,0.0,0.0,2.0,0.0,39.0,3.0,464.0,354.4,10.0,0.0,36.6,5.6,1.0,0.9,18.9,4.8,838912.0,555216.0,1.0,-1.0,24,0.0,0.0,0.0,0.3,5.54,5.24,0.0,0.0,0.01,0.01,0.01,0.23,0.22,1,25,18,5,2.0,50.0,15,59,51.78,46.45,17.47,13.66,32.79,10.61,21.16,266.0,92.0,57.27,4,1.56,1.16,1.8,1.4844,1.454,1.1996,1.078,0.376,0.6920000000000001,0.45159999999999995,4.4,7.72,1.5504,2.0
Bernardo Silva,21,26a,WHU,MCI,1,7.4,MID,1.3%,5.0,67.0,1480.0,2.0,4.0,10.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,292.0,299.0,294.3,345.0,94.1,5.0,1.0,0.7,9.1,3.5,180707.0,150204.0,-1.0,1.0,19,2.0,2.8,2.8,2.78,11.4,7.26,0.17,0.17,0.17,0.34,0.34,0.69,0.44,1,25,18,5,2.0,50.0,15,59,51.78,46.45,17.47,13.66,32.79,10.61,21.16,266.0,92.0,57.27,4,1.56,1.16,1.8,1.4844,1.454,1.1996,1.078,0.376,0.6920000000000001,0.45159999999999995,4.4,7.72,1.5504,0.0
Fernandinho,21,26a,WHU,MCI,1,5.4,DEF,0.7%,2.6,37.0,608.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,156.0,105.2,60.2,55.0,22.2,2.6,1.0,0.5,6.9,3.1,60900.0,111401.0,-1.0,1.0,12,0.0,0.61,0.61,0.12,4.04,3.84,0.09,0.09,0.02,0.11,0.11,0.6,0.58,1,25,18,5,2.0,50.0,15,59,51.78,46.45,17.47,13.66,32.79,10.61,21.16,266.0,92.0,57.27,4,1.56,1.16,1.8,1.4844,1.454,1.1996,1.078,0.376,0.6920000000000001,0.45159999999999995,4.4,7.72,1.5504,1.0
Dias,21,26a,WHU,MCI,1,6.1,DEF,21.6%,4.3,107.0,1959.0,0.0,1.0,14.0,9.0,1.0,0.0,0.0,3.0,0.0,0.0,10.0,475.0,425.2,50.4,166.0,64.4,4.3,1.0,0.7,17.5,4.9,2319070.0,702510.0,6.0,-6.0,22,0.0,1.43,1.43,0.02,11.36,11.3,0.07,0.07,0.0,0.07,0.07,0.52,0.52,1,25,18,5,2.0,50.0,15,59,51.78,46.45,17.47,13.66,32.79,10.61,21.16,266.0,92.0,57.27,4,1.56,1.16,1.8,1.4844,1.454,1.1996,1.078,0.376,0.6920000000000001,0.45159999999999995,4.4,7.72,1.5504,10.0
Sterling,21,26a,WHU,MCI,1,11.6,MID,12.6%,6.0,128.0,1877.0,9.0,7.0,12.0,13.0,0.0,0.0,1.0,2.0,0.0,0.0,10.0,396.0,565.4,440.6,1059.0,206.4,6.0,1.0,0.5,11.0,5.6,2217788.0,1530775.0,1.0,-1.0,23,9.0,9.43,8.67,4.95,19.42,9.77,0.45,0.41,0.24,0.69,0.65,0.93,0.47,1,25,18,5,2.0,50.0,15,59,51.78,46.45,17.47,13.66,32.79,10.61,21.16,266.0,92.0,57.27,4,1.56,1.16,1.8,1.4844,1.454,1.1996,1.078,0.376,0.6920000000000001,0.45159999999999995,4.4,7.72,1.5504,0.0
Cancelo,21,26a,WHU,MCI,1,6.1,DEF,25.8%,5.4,107.0,1702.0,1.0,2.0,12.0,8.0,0.0,0.0,0.0,4.0,0.0,0.0,13.0,442.0,400.8,505.6,280.0,118.8,5.4,1.0,0.9,17.5,5.3,2683324.0,771245.0,6.0,-6.0,20,1.0,1.49,1.49,3.57,14.19,11.38,0.08,0.08,0.19,0.27,0.27,0.75,0.6,1,25,18,5,2.0,50.0,15,59,51.78,46.45,17.47,13.66,32.79,10.61,21.16,266.0,92.0,57.27,4,1.56,1.16,1.8,1.4844,1.454,1.1996,1.078,0.376,0.6920000000000001,0.45159999999999995,4.4,7.72,1.5504,0.0
De Bruyne,21,26a,WHU,MCI,1,11.8,MID,11.7%,0.6,99.0,1477.0,3.0,10.0,10.0,11.0,0.0,0.0,1.0,1.0,0.0,0.0,12.0,382.0,520.6,854.0,671.0,204.7,0.6,2.0,0.1,8.4,5.2,4309773.0,5398410.0,3.0,-3.0,19,1.0,8.12,5.84,8.28,16.56,8.54,0.49,0.35,0.5,0.99,0.86,1.0,0.52,1,25,18,5,2.0,50.0,15,59,51.78,46.45,17.47,13.66,32.79,10.61,21.16,266.0,92.0,57.27,4,1.56,1.16,1.8,1.4844,1.454,1.1996,1.078,0.376,0.6920000000000001,0.45159999999999995,4.4,7.72,1.5504,8.0
Gündogan,21,26a,WHU,MCI,1,6.1,MID,33.9%,8.6,126.0,1463.0,11.0,2.0,12.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,462.0,576.6,452.0,526.0,155.6,8.6,6.0,1.4,20.7,6.6,3211743.0,592379.0,6.0,-6.0,19,10.0,7.71,6.18,2.89,14.15,7.15,0.47,0.38,0.18,0.65,0.55,0.86,0.44,1,25,18,5,2.0,50.0,15,59,51.78,46.45,17.47,13.66,32.79,10.61,21.16,266.0,92.0,57.27,4,1.56,1.16,1.8,1.4844,1.454,1.1996,1.078,0.376,0.6920000000000001,0.45159999999999995,4.4,7.72,1.5504,2.0
Stones,21,26a,WHU,MCI,1,5.2,DEF,23.0%,3.7,97.0,1350.0,2.0,0.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,396.0,337.8,49.3,88.0,47.5,3.7,1.0,0.7,18.7,6.5,2325170.0,583377.0,2.0,-2.0,15,2.0,1.54,1.54,0.01,7.99,7.99,0.1,0.1,0.0,0.1,0.1,0.53,0.53,1,25,18,5,2.0,50.0,15,59,51.78,46.45,17.47,13.66,32.79,10.61,21.16,266.0,92.0,57.27,4,1.56,1.16,1.8,1.4844,1.454,1.1996,1.078,0.376,0.6920000000000001,0.45159999999999995,4.4,7.72,1.5504,10.0
Mahrez,21,26a,WHU,MCI,1,8.1,MID,3.1%,4.9,92.0,1294.0,6.0,3.0,9.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,326.0,383.6,491.7,580.0,145.5,4.9,2.0,0.6,11.4,4.8,1655328.0,1628433.0,-4.0,4.0,19,6.0,4.07,4.07,4.85,13.05,5.5,0.28,0.28,0.34,0.62,0.62,0.9,0.38,1,25,18,5,2.0,50.0,15,59,51.78,46.45,17.47,13.66,32.79,10.61,21.16,266.0,92.0,57.27,4,1.56,1.16,1.8,1.4844,1.454,1.1996,1.078,0.376,0.6920000000000001,0.45159999999999995,4.4,7.72,1.5504,5.0
