Player,Season,Gameweek,Opponent,Team,Home,Cost,Role,Sel.,Form,Cum Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form.1,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall,Player_Appearances,Player_NPG,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90,Team_Ranking,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS,Opp_Ranking,Opp_Avg_G,Opp_Avg_GA,Opp_Avg_PTS,Opp_Avg_xG,Opp_Avg_NPxG,Opp_Avg_xGA,Opp_Avg_NPxGA,Opp_Avg_NPxGD,Opp_Avg_PPDA,Opp_Avg_OPPDA,Opp_Avg_DC,Opp_Avg_ODC,Opp_Avg_xPTS,Pts.
Ederson,21,30,LEI,MCI,0,6.1,GKP,9.7%,3.3,129.0,2610.0,0.0,1.0,16.0,20.0,0.0,0.0,0.0,2.0,0.0,49.0,3.0,550.0,441.0,10.0,0.0,45.2,3.3,1.0,0.5,21.1,4.4,943628.0,673377.0,1.0,-1.0,29,0.0,0.0,0.0,0.3,5.73,5.43,0.0,0.0,0.01,0.01,0.01,0.2,0.19,1,30,22,5,3.0,64.0,21,71,62.91,56.82,23.89,18.56,38.26,10.54,20.83,320.0,111.0,66.58,3,1.8275862068965518,1.103448275862069,1.9310344827586208,1.5503448275862068,1.2879310344827586,1.182758620689655,1.130344827586207,0.15758620689655173,0.36931034482758623,0.4531034482758621,6.241379310344827,5.655172413793103,1.5979310344827586,5.0
Bernardo Silva,21,30,LEI,MCI,0,7.4,MID,1.1%,1.5,74.0,1717.0,2.0,4.0,11.0,9.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,329.0,319.2,359.8,414.0,109.6,1.5,1.0,0.2,10.0,3.4,227997.0,215122.0,-1.0,1.0,22,2.0,3.41,3.41,3.37,14.38,9.04,0.18,0.18,0.18,0.35,0.35,0.75,0.47,1,30,22,5,3.0,64.0,21,71,62.91,56.82,23.89,18.56,38.26,10.54,20.83,320.0,111.0,66.58,3,1.8275862068965518,1.103448275862069,1.9310344827586208,1.5503448275862068,1.2879310344827586,1.182758620689655,1.130344827586207,0.15758620689655173,0.36931034482758623,0.4531034482758621,6.241379310344827,5.655172413793103,1.5979310344827586,0.0
Fernandinho,21,30,LEI,MCI,0,5.4,DEF,0.7%,1.8,39.0,811.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,182.0,136.2,93.5,58.0,28.9,1.8,1.0,0.3,7.2,2.6,63222.0,114730.0,-1.0,1.0,15,0.0,0.63,0.63,0.56,5.45,5.23,0.07,0.07,0.06,0.13,0.13,0.61,0.59,1,30,22,5,3.0,64.0,21,71,62.91,56.82,23.89,18.56,38.26,10.54,20.83,320.0,111.0,66.58,3,1.8275862068965518,1.103448275862069,1.9310344827586208,1.5503448275862068,1.2879310344827586,1.182758620689655,1.130344827586207,0.15758620689655173,0.36931034482758623,0.4531034482758621,6.241379310344827,5.655172413793103,1.5979310344827586,5.0
Dias,21,30,LEI,MCI,0,6.1,DEF,23.9%,4.5,127.0,2393.0,1.0,1.0,15.0,15.0,1.0,0.0,0.0,3.0,0.0,0.0,12.0,570.0,545.8,74.5,187.0,81.0,4.5,1.0,0.7,20.8,4.7,2699368.0,903612.0,6.0,-6.0,27,1.0,1.79,1.79,0.04,14.59,14.53,0.07,0.07,0.0,0.07,0.07,0.55,0.55,1,30,22,5,3.0,64.0,21,71,62.91,56.82,23.89,18.56,38.26,10.54,20.83,320.0,111.0,66.58,3,1.8275862068965518,1.103448275862069,1.9310344827586208,1.5503448275862068,1.2879310344827586,1.182758620689655,1.130344827586207,0.15758620689655173,0.36931034482758623,0.4531034482758621,6.241379310344827,5.655172413793103,1.5979310344827586,6.0
Sterling,21,30,LEI,MCI,0,11.4,MID,6.4%,2.0,132.0,2057.0,9.0,7.0,12.0,16.0,0.0,0.0,1.0,2.0,0.0,0.0,10.0,401.0,574.2,472.6,1155.0,220.1,2.0,1.0,0.2,11.6,5.3,2310527.0,2126917.0,-1.0,1.0,25,9.0,10.34,9.58,5.09,20.96,10.34,0.45,0.42,0.22,0.67,0.64,0.91,0.45,1,30,22,5,3.0,64.0,21,71,62.91,56.82,23.89,18.56,38.26,10.54,20.83,320.0,111.0,66.58,3,1.8275862068965518,1.103448275862069,1.9310344827586208,1.5503448275862068,1.2879310344827586,1.182758620689655,1.130344827586207,0.15758620689655173,0.36931034482758623,0.4531034482758621,6.241379310344827,5.655172413793103,1.5979310344827586,4.0
Cancelo,21,30,LEI,MCI,0,6.1,DEF,20.9%,3.3,122.0,1946.0,1.0,3.0,13.0,11.0,0.0,0.0,0.0,4.0,0.0,0.0,16.0,513.0,461.0,582.6,336.0,138.1,3.3,2.0,0.5,20.0,5.3,2851882.0,1330953.0,6.0,-6.0,23,1.0,1.61,1.61,4.87,15.42,12.09,0.07,0.07,0.22,0.3,0.3,0.71,0.56,1,30,22,5,3.0,64.0,21,71,62.91,56.82,23.89,18.56,38.26,10.54,20.83,320.0,111.0,66.58,3,1.8275862068965518,1.103448275862069,1.9310344827586208,1.5503448275862068,1.2879310344827586,1.182758620689655,1.130344827586207,0.15758620689655173,0.36931034482758623,0.4531034482758621,6.241379310344827,5.655172413793103,1.5979310344827586,0.0
De Bruyne,21,30,LEI,MCI,0,11.9,MID,18.0%,4.8,125.0,1818.0,5.0,11.0,10.0,17.0,0.0,0.0,1.0,1.0,0.0,0.0,17.0,492.0,675.0,1033.5,886.0,259.6,4.8,3.0,0.4,10.5,5.4,5022823.0,5596507.0,4.0,-4.0,23,3.0,9.82,7.53,9.45,19.83,9.96,0.48,0.37,0.47,0.95,0.84,0.98,0.49,1,30,22,5,3.0,64.0,21,71,62.91,56.82,23.89,18.56,38.26,10.54,20.83,320.0,111.0,66.58,3,1.8275862068965518,1.103448275862069,1.9310344827586208,1.5503448275862068,1.2879310344827586,1.182758620689655,1.130344827586207,0.15758620689655173,0.36931034482758623,0.4531034482758621,6.241379310344827,5.655172413793103,1.5979310344827586,3.0
Gündogan,21,30,LEI,MCI,0,6.1,MID,35.0%,3.2,142.0,1739.0,12.0,3.0,12.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,21.0,547.0,656.6,544.0,609.0,181.2,3.2,6.0,0.5,23.3,6.2,3952179.0,1234751.0,6.0,-6.0,23,11.0,8.61,7.08,3.25,17.02,8.81,0.44,0.36,0.17,0.61,0.53,0.88,0.45,1,30,22,5,3.0,64.0,21,71,62.91,56.82,23.89,18.56,38.26,10.54,20.83,320.0,111.0,66.58,3,1.8275862068965518,1.103448275862069,1.9310344827586208,1.5503448275862068,1.2879310344827586,1.182758620689655,1.130344827586207,0.15758620689655173,0.36931034482758623,0.4531034482758621,6.241379310344827,5.655172413793103,1.5979310344827586,0.0
Mahrez,21,30,LEI,MCI,0,8.1,MID,7.1%,7.3,129.0,1624.0,9.0,6.0,9.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,456.0,550.2,610.0,748.0,190.7,7.3,4.0,0.9,15.9,5.6,2096894.0,1757001.0,-4.0,4.0,23,9.0,4.97,4.97,5.28,15.89,7.38,0.27,0.27,0.29,0.56,0.56,0.88,0.41,1,30,22,5,3.0,64.0,21,71,62.91,56.82,23.89,18.56,38.26,10.54,20.83,320.0,111.0,66.58,3,1.8275862068965518,1.103448275862069,1.9310344827586208,1.5503448275862068,1.2879310344827586,1.182758620689655,1.130344827586207,0.15758620689655173,0.36931034482758623,0.4531034482758621,6.241379310344827,5.655172413793103,1.5979310344827586,3.0
Stones,21,30,LEI,MCI,0,5.3,DEF,22.7%,5.2,122.0,1620.0,4.0,0.0,13.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,478.0,454.8,56.7,164.0,67.5,5.2,2.0,1.0,23.0,6.8,2601330.0,887845.0,3.0,-3.0,18,4.0,2.26,2.26,0.01,9.1,9.08,0.13,0.13,0.0,0.13,0.13,0.51,0.5,1,30,22,5,3.0,64.0,21,71,62.91,56.82,23.89,18.56,38.26,10.54,20.83,320.0,111.0,66.58,3,1.8275862068965518,1.103448275862069,1.9310344827586208,1.5503448275862068,1.2879310344827586,1.182758620689655,1.130344827586207,0.15758620689655173,0.36931034482758623,0.4531034482758621,6.241379310344827,5.655172413793103,1.5979310344827586,0.0
Walker,21,30,LEI,MCI,0,6.1,DEF,4.9%,1.0,76.0,1584.0,1.0,1.0,7.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,338.0,276.6,169.6,83.0,52.9,1.0,2.0,0.2,12.5,3.8,998860.0,1129137.0,1.0,-1.0,20,1.0,0.19,0.19,0.5,7.81,7.43,0.01,0.01,0.03,0.04,0.04,0.44,0.42,1,30,22,5,3.0,64.0,21,71,62.91,56.82,23.89,18.56,38.26,10.54,20.83,320.0,111.0,66.58,3,1.8275862068965518,1.103448275862069,1.9310344827586208,1.5503448275862068,1.2879310344827586,1.182758620689655,1.130344827586207,0.15758620689655173,0.36931034482758623,0.4531034482758621,6.241379310344827,5.655172413793103,1.5979310344827586,6.0
Jesus,21,30,LEI,MCI,0,9.2,FWD,3.1%,4.0,89.0,1475.0,7.0,4.0,8.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,328.0,363.8,293.8,635.0,129.3,4.0,1.0,0.4,9.7,4.2,965382.0,892159.0,-3.0,3.0,21,7.0,7.57,7.57,2.11,12.83,4.14,0.46,0.46,0.13,0.59,0.59,0.79,0.25,1,30,22,5,3.0,64.0,21,71,62.91,56.82,23.89,18.56,38.26,10.54,20.83,320.0,111.0,66.58,3,1.8275862068965518,1.103448275862069,1.9310344827586208,1.5503448275862068,1.2879310344827586,1.182758620689655,1.130344827586207,0.15758620689655173,0.36931034482758623,0.4531034482758621,6.241379310344827,5.655172413793103,1.5979310344827586,8.0
Foden,21,30,LEI,MCI,0,6.1,MID,7.9%,2.2,107.0,1334.0,6.0,8.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,375.0,446.8,454.1,618.0,151.8,2.2,4.0,0.4,17.5,4.9,2493808.0,2238234.0,-4.0,4.0,22,6.0,4.5,4.5,4.55,11.0,4.12,0.3,0.3,0.31,0.61,0.61,0.74,0.28,1,30,22,5,3.0,64.0,21,71,62.91,56.82,23.89,18.56,38.26,10.54,20.83,320.0,111.0,66.58,3,1.8275862068965518,1.103448275862069,1.9310344827586208,1.5503448275862068,1.2879310344827586,1.182758620689655,1.130344827586207,0.15758620689655173,0.36931034482758623,0.4531034482758621,6.241379310344827,5.655172413793103,1.5979310344827586,1.0
