Team_Ranking,Team,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS
1,MCI,35,25,5,5.0,72.0,26,80,72.28,65.43,26.13,20.8,44.63,10.23,20.63,382.0,131.0,78.86
2,MUN,34,20,10,4.0,67.0,36,70,58.27,50.66,36.41,33.37,17.29,10.48,12.79,317.0,171.0,60.67
3,CHE,35,18,10,7.0,55.0,32,64,60.79,53.94,28.40,26.12,27.83,9.19,16.59,293.0,166.0,69.92
4,LEI,35,19,6,10.0,63.0,43,63,55.15,47.54,42.14,39.85,7.68,9.86,13.63,228.0,190.0,56.08
5,WHU,35,17,7,11.0,55.0,45,58,52.86,50.42,46.48,42.67,7.74,16.54,11.2,151.0,260.0,52.40
6,LIV,34,16,9,9.0,57.0,39,57,62.25,57.69,42.84,36.75,20.94,9.26,19.0,402.0,121.0,59.61
7,TOT,35,16,8,11.0,61.0,41,56,50.79,46.99,48.00,41.91,5.08,11.27,11.43,169.0,276.0,49.25
8,EVE,34,16,7,11.0,46.0,42,55,45.27,42.23,45.07,42.02,0.21,14.24,11.79,180.0,250.0,45.80
9,ARS,35,15,7,13.0,49.0,38,52,48.99,44.42,40.47,38.19,6.23,13.45,16.15,269.0,179.0,54.14
10,LEE,35,15,5,15.0,53.0,53,50,53.33,51.05,59.28,52.27,-1.22,7.19,12.44,280.0,254.0,46.11
11,AVL,34,14,6,14.0,49.0,41,48,52.31,48.50,46.00,41.43,7.07,10.68,9.27,241.0,265.0,50.22
12,WOL,35,12,9,14.0,35.0,47,45,36.56,33.52,46.33,41.0,-7.49,14.46,11.26,128.0,253.0,42.73
13,CRY,34,11,8,15.0,36.0,56,41,30.24,27.95,55.09,52.04,-24.09,16.66,7.68,177.0,230.0,33.74
14,BUR,35,10,9,16.0,33.0,47,39,35.32,33.04,54.05,51.76,-18.73,13.33,9.61,199.0,306.0,35.33
15,NEW,35,10,9,16.0,40.0,58,39,38.35,35.30,56.68,52.87,-17.56,17.27,8.27,130.0,299.0,36.62
16,BHA,35,8,13,14.0,36.0,41,37,51.47,44.62,36.14,30.81,13.81,10.16,13.26,283.0,184.0,58.64
17,SOU,34,10,7,17.0,41.0,61,37,38.74,34.18,52.78,46.69,-12.52,9.93,10.43,192.0,250.0,38.20
18,FUL,35,5,12,18.0,25.0,47,27,38.32,33.75,52.82,48.25,-14.5,12.38,10.0,209.0,211.0,39.82
19,WBA,35,5,11,19.0,32.0,68,26,31.70,28.66,65.90,59.05,-30.39,16.1,8.2,147.0,305.0,28.29
20,SHU,35,5,2,28.0,18.0,62,17,30.47,27.42,62.48,59.43,-32.01,14.17,11.48,184.0,260.0,26.69
