Team_Ranking,Team,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS
1,MCI,23,18,3.0,2.0,55.0,14,57,53.83,50.78,15.18,14.42,+36.36,8.93,21.53,282,84,54.05
2,LIV,22,14,6.0,2.0,58.0,19,48,56.48,53.33,21.29,21.29,+32.04,8.03,21.91,262,105,49.42
3,CHE,24,13,8.0,3.0,48.0,18,47,42.87,37.54,22.63,19.59,+17.96,9.35,14.26,234,115,44.82
4,MUN,22,11,5.0,6.0,36.0,30,38,33.58,31.29,33.23,30.94,+0.35,12.25,12.16,159,130,31.75
5,WHU,23,11,4.0,8.0,41.0,31,37,37.38,33.42,32.21,30.68,+2.74,11.93,11.99,142,156,35.52
6,ARS,21,11,3.0,7.0,33.0,25,36,34.19,31.04,29.55,27.27,+3.77,13.34,13.04,165,139,34.30
7,TOT,20,11,3.0,6.0,26.0,24,36,32.77,31.25,24.71,23.95,+7.30,11.78,10.98,147,132,33.12
8,WOL,21,10,4.0,7.0,19.0,16,34,22.58,21.82,26.78,23.74,-1.92,15.15,10.05,96,153,26.75
9,BHA,22,6,12.0,4.0,23.0,23,30,26.76,23.71,25.85,23.57,+0.14,8.99,14.65,174,141,30.97
10,LEI,20,7,5.0,8.0,34.0,37,26,28.43,27.67,37.37,32.70,-5.03,12.98,10.68,140,166,22.48
11,AVL,21,8,2.0,11.0,28.0,32,26,21.75,20.22,30.74,26.82,-6.60,12.63,8.18,141,146,23.54
12,SOU,22,5,10.0,7.0,26.0,34,25,26.01,23.73,33.91,32.39,-8.66,9.89,8.86,114,152,25.99
13,CRY,22,5,9.0,8.0,31.0,34,24,30.06,27.77,26.84,23.79,+3.98,11.85,9.56,136,156,32.76
14,BRE,23,6,5.0,12.0,26.0,38,23,28.80,26.51,29.81,29.05,-2.53,10.39,10.07,131,137,32.27
15,LEE,21,5,7.0,9.0,24.0,40,22,27.65,24.6,37.47,35.19,-10.59,7.68,11.62,130,148,24.96
16,EVE,20,5,4.0,11.0,24.0,35,19,25.25,22.21,30.70,29.94,-7.73,12.90,8.29,102,142,24.89
17,NOR,22,4,4.0,14.0,13.0,45,16,17.81,16.29,40.36,35.79,-19.51,13.58,9.64,106,193,16.86
18,NEW,21,2,9.0,10.0,21.0,43,15,20.03,19.27,40.54,35.82,-16.55,15.00,7.59,89,182,16.55
19,WAT,20,4,2.0,14.0,23.0,40,14,22.28,20.75,37.51,34.47,-13.71,12.73,7.80,88,190,18.77
20,BUR,18,1,9.0,8.0,16.0,27,12,17.57,17.57,29.38,29.38,-11.81,13.11,9.87,86,157,16.10
