Team_Ranking,Team,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS
1,MCI,23,16,5,2.0,46.0,14,53,48.46,43.13,16.09,12.29,30.85,10.4,21.13,250.0,84.0,53.24
2,MUN,24,13,7,4.0,50.0,31,46,42.08,36.75,28.34,25.3,11.45,10.75,12.88,221.0,123.0,40.89
3,LEI,24,14,4,6.0,42.0,26,46,36.36,28.75,28.37,27.61,1.14,11.17,12.42,147.0,132.0,39.28
4,CHE,24,12,6,6.0,40.0,24,42,41.20,35.87,21.85,20.33,15.54,9.01,18.12,204.0,117.0,45.82
5,WHU,24,12,6,6.0,37.0,28,42,36.02,35.26,29.22,26.18,9.08,17.66,11.49,108.0,185.0,36.96
6,LIV,24,11,7,6.0,45.0,32,40,44.61,40.04,30.55,25.22,14.82,9.1,20.7,296.0,72.0,42.99
7,EVE,22,11,4,7.0,34.0,30,37,29.00,27.48,30.61,28.33,-0.86,13.69,12.09,119.0,156.0,27.81
8,AVL,22,11,3,8.0,36.0,24,36,38.25,35.20,28.39,26.1,9.1,11.0,8.74,166.0,179.0,36.55
9,TOT,23,10,6,7.0,36.0,25,36,32.02,29.74,30.82,26.26,3.48,12.16,11.52,98.0,198.0,31.82
10,ARS,24,10,4,10.0,31.0,25,34,32.55,29.50,27.41,25.89,3.62,13.3,16.04,186.0,130.0,35.73
11,LEE,23,10,2,11.0,40.0,42,32,36.30,34.02,42.38,37.05,-3.03,6.75,14.7,200.0,166.0,29.84
12,WOL,24,8,6,10.0,25.0,32,30,25.00,21.96,30.41,25.08,-3.13,15.37,11.77,92.0,172.0,29.24
13,SOU,23,8,5,10.0,30.0,39,29,23.94,22.42,32.82,29.77,-7.35,8.88,11.73,135.0,160.0,26.90
14,CRY,24,8,5,11.0,27.0,42,29,22.82,21.29,38.04,34.99,-13.7,16.87,7.94,144.0,152.0,25.23
15,BHA,24,5,11,8.0,25.0,30,26,35.26,30.70,27.83,22.5,8.19,10.64,12.66,189.0,134.0,38.78
16,BUR,23,7,5,11.0,17.0,29,26,19.97,19.21,33.72,31.44,-12.24,13.62,9.26,120.0,220.0,21.89
17,NEW,24,7,4,13.0,25.0,40,25,23.65,20.60,37.21,34.93,-14.33,17.89,8.24,92.0,208.0,25.07
18,FUL,23,3,9,11.0,19.0,31,18,27.07,23.27,35.85,32.05,-8.78,13.5,10.25,126.0,143.0,26.95
19,WBA,24,2,7,15.0,19.0,55,13,17.39,15.87,47.78,44.73,-28.86,17.8,8.94,81.0,221.0,14.70
20,SHU,24,3,2,19.0,15.0,40,11,23.62,20.58,37.86,35.57,-15.0,14.41,11.57,143.0,165.0,22.08
