Team_Ranking,Team,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS
1,MCI,34,26,4,4.0,89.0,31,82,78.96,71.34,28.31,26.03,45.32,10.09,23.71,409.0,128.0,78.06
2,ARS,35,25,6,4.0,83.0,39,81,72.04,68.99,41.42,37.62,31.38,9.59,14.41,421.0,189.0,68.44
3,NEW,34,18,11,5.0,61.0,29,65,66.94,63.90,37.14,34.1,29.8,9.33,10.75,334.0,191.0,63.28
4,MUN,34,19,6,9.0,49.0,41,63,59.41,57.89,45.64,44.12,13.77,11.67,13.5,334.0,222.0,56.63
5,LIV,35,18,8,9.0,67.0,42,62,74.08,71.03,52.44,50.15,20.88,9.49,19.45,376.0,200.0,61.49
6,TOT,35,17,6,12.0,64.0,57,57,53.00,49.19,47.52,44.47,4.72,12.75,12.82,225.0,259.0,53.06
7,BHA,33,16,7,10.0,63.0,45,55,69.16,64.59,39.73,33.55,31.04,8.86,15.8,327.0,188.0,64.15
8,AVL,35,16,6,13.0,46.0,43,54,44.17,41.88,50.62,46.67,-4.79,11.96,9.97,237.0,218.0,48.27
9,BRE,35,12,14,9.0,52.0,45,50,52.21,46.12,48.45,46.92,-0.8,11.22,9.41,207.0,285.0,52.65
10,FUL,35,14,6,15.0,50.0,49,48,42.88,37.55,66.89,60.71,-23.16,13.16,10.42,172.0,262.0,34.40
11,CHE,34,11,9,14.0,34.0,39,42,46.04,43.75,44.41,44.41,-0.65,8.89,13.31,277.0,177.0,48.52
12,CRY,35,10,10,15.0,35.0,46,40,36.61,34.18,48.97,46.69,-12.51,13.2,8.4,167.0,293.0,38.88
13,WOL,35,11,7,17.0,30.0,50,40,33.18,30.90,54.09,51.04,-20.14,11.99,11.47,179.0,267.0,34.27
14,BOU,35,11,6,18.0,37.0,67,39,38.57,38.57,63.35,58.02,-19.45,16.02,8.39,183.0,358.0,32.98
15,WHU,35,10,7,18.0,38.0,50,37,47.56,41.47,48.21,43.64,-2.18,16.05,10.99,148.0,262.0,48.37
16,NFO,35,8,9,18.0,34.0,65,33,36.03,31.46,65.96,59.11,-27.65,16.58,8.26,149.0,358.0,30.09
17,EVE,35,7,11,17.0,32.0,53,32,43.86,41.58,65.82,61.25,-19.67,13.6,9.59,183.0,290.0,35.02
18,LEI,35,8,6,21.0,49.0,64,30,46.35,41.69,55.00,51.19,-9.5,11.71,13.08,194.0,255.0,42.35
19,LEE,35,7,9,19.0,44.0,69,30,43.94,42.42,62.72,59.67,-17.25,9.54,9.12,211.0,238.0,38.46
20,SOU,35,6,6,23.0,31.0,64,24,36.91,33.78,55.21,52.93,-19.15,11.94,8.58,193.0,286.0,35.51
