Player,Team,Cost,Role,Sel.,Form,Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form.1,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall
Leno,ARS,5.0,GKP,8.90%,5.2,40,900,0,0,3,12,0,0,0,0,0,28,5,192,225.6,0.0,0,22.6,5.2,2,1.0,8.0,4.0,398160,383120,0,0
Bellerín,ARS,5.2,DEF,9.90%,5.5,43,900,0,3,3,12,0,0,0,4,0,0,9,193,153.8,131.6,53,34.0,5.5,2,1.1,8.3,4.3,657685,303342,2,-2
Webster,BHA,4.4,DEF,1.70%,2.8,22,900,0,0,2,16,0,0,0,1,0,0,0,134,124.4,39.1,107,27.1,2.8,0,0.6,5.0,2.2,50086,119635,-1,1
Guaita,CRY,5.0,GKP,3.80%,2.3,26,900,0,0,1,15,0,0,0,2,0,30,3,153,208.2,0.0,0,20.8,2.3,1,0.5,5.2,2.6,313199,260893,0,0
Kouyaté,CRY,5.0,MID,0.60%,2.0,28,900,1,0,1,15,0,0,0,0,0,0,2,137,187.8,51.1,114,35.4,2.0,0,0.4,5.6,2.8,69299,53479,0,0
Keane,EVE,5.1,DEF,5.60%,1.2,30,900,2,0,1,17,0,0,0,0,0,0,1,173,239.2,25.5,88,35.3,1.2,1,0.2,5.9,3.0,467234,235792,1,-1
Schmeichel,LEI,5.5,GKP,11.90%,3.8,40,900,0,0,3,14,0,0,0,0,0,34,3,187,279.4,0.0,0,27.9,3.8,1,0.7,7.3,4.0,297147,436765,0,0
Justin,LEI,4.9,DEF,23.60%,2.2,35,900,1,1,3,14,0,0,0,2,0,0,1,153,157.4,74.7,51,28.4,2.2,0,0.4,7.1,3.5,1484673,644081,4,-4
Tielemans,LEI,6.4,MID,3.20%,5.5,38,900,3,0,3,14,0,0,0,3,0,0,3,178,242.2,121.4,118,48.1,5.5,1,0.9,5.9,3.8,213231,156646,-1,1
Meslier,LEE,4.5,GKP,4.20%,4.8,43,900,0,0,4,17,0,0,0,0,0,33,6,214,232.0,10.0,0,24.3,4.8,1,1.1,9.6,4.3,323825,134053,0,0
Koch,LEE,4.5,DEF,0.80%,3.0,31,900,0,0,4,17,0,0,0,0,0,0,2,177,175.8,48.9,89,31.4,3.0,1,0.7,6.9,3.1,49447,39225,0,0
Robertson,LIV,7.2,DEF,19.90%,5.3,45,900,1,3,2,17,0,0,0,0,0,0,7,220,220.8,253.7,133,60.9,5.3,2,0.7,6.2,4.5,1247130,790258,2,-2
Darlow,NEW,5.0,GKP,1.80%,3.5,44,900,0,0,2,15,0,1,0,0,0,44,5,221,329.4,0.0,0,33.1,3.5,0,0.7,8.8,4.4,165912,94675,0,0
Fernández,NEW,4.9,DEF,0.80%,1.8,20,900,0,0,2,15,1,0,0,2,0,0,1,152,212.0,23.8,6,24.1,1.8,0,0.4,4.1,2.0,30340,77884,-1,1
Ramsdale,SHU,4.8,GKP,2.70%,2.3,25,900,0,0,0,16,0,0,0,0,0,41,0,164,267.8,10.0,2,28.0,2.3,0,0.5,5.2,2.5,61582,354487,-2,2
Baldock,SHU,5.2,DEF,1.70%,1.3,17,900,0,1,0,16,0,0,0,1,0,0,0,125,142.4,146.6,156,44.6,1.3,0,0.2,3.3,1.7,40043,242065,-3,3
McCarthy,SOU,4.6,GKP,20.60%,4.5,42,900,0,0,4,16,0,0,0,0,0,32,5,201,260.2,0.0,0,26.1,4.5,1,1.0,9.1,4.2,684998,707696,1,-1
Walker-Peters,SOU,4.6,DEF,12.20%,3.5,35,900,0,1,4,16,0,0,0,3,0,0,4,194,188.0,69.1,72,33.0,3.5,1,0.8,7.6,3.5,581539,489478,1,-1
Ward-Prowse,SOU,6.1,MID,9.00%,8.2,56,900,4,2,4,16,0,0,0,2,0,0,8,236,302.4,239.9,78,62.0,8.2,3,1.3,9.2,5.6,747997,397521,1,-1
Lloris,TOT,5.5,GKP,5.50%,7.0,47,900,0,0,4,9,0,0,0,0,0,25,8,190,178.0,0.0,0,17.9,7.0,0,1.3,8.5,4.7,245156,256479,0,0
Højbjerg,TOT,4.9,MID,0.90%,2.8,26,900,0,1,4,9,0,0,0,1,0,0,0,144,175.8,90.8,17,28.5,2.8,0,0.6,5.3,2.6,59744,78953,-1,1
