Player,Team,Cost,Role,Sel.,Form,Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall
Guaita,CRY,4.8,GKP,3.0%,5.4,105.0,2610.0,0.0,0.0,7.0,47.0,0.0,1.0,0.0,2.0,0.0,86.0,15.0,514.0,643.0,0.0,0.0,64.5,5.4,4.0,1.1,21.9,3.6,485737.0,489554.0,-2.0,2.0
Areola,FUL,4.6,GKP,5.3%,4.2,110.0,2610.0,0.0,0.0,9.0,35.0,0.0,0.0,0.0,0.0,0.0,95.0,8.0,541.0,716.6,0.0,0.0,71.5,4.2,1.0,0.9,23.9,3.8,554553.0,272019.0,1.0,-1.0
Schmeichel,LEI,5.4,GKP,9.8%,3.0,114.0,2610.0,0.0,0.0,10.0,32.0,0.0,0.0,0.0,0.0,0.0,74.0,6.0,524.0,644.2,0.0,0.0,64.4,3.0,3.0,0.6,21.1,3.9,604728.0,903060.0,-1.0,1.0
Ederson,MCI,6.1,GKP,9.7%,3.3,129.0,2610.0,0.0,1.0,16.0,20.0,0.0,0.0,0.0,2.0,0.0,49.0,3.0,550.0,441.0,10.0,0.0,45.2,3.3,1.0,0.5,21.1,4.4,943628.0,673377.0,1.0,-1.0
Maguire,MUN,5.5,DEF,5.3%,6.2,113.0,2610.0,2.0,2.0,12.0,32.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,558.0,618.0,113.3,394.0,112.6,6.2,1.0,1.1,20.5,3.9,581348.0,511360.0,0.0,0.0
Ramsdale,SHU,4.6,GKP,1.7%,3.8,79.0,2610.0,0.0,0.0,2.0,50.0,0.0,0.0,0.0,1.0,0.0,105.0,5.0,481.0,728.6,10.0,4.0,74.3,3.8,0.0,0.8,17.2,2.7,108115.0,476688.0,-4.0,4.0
Ward-Prowse,SOU,5.9,MID,10.1%,4.3,126.0,2610.0,7.0,5.0,9.0,51.0,0.0,0.0,0.0,4.0,0.0,0.0,13.0,606.0,722.6,711.4,245.0,167.8,4.3,4.0,0.7,21.4,4.3,2566003.0,2144924.0,-1.0,1.0
Lloris,TOT,5.6,GKP,6.5%,4.3,119.0,2610.0,0.0,0.0,10.0,30.0,0.0,0.0,0.0,0.0,0.0,81.0,11.0,533.0,616.4,0.0,0.0,61.6,4.3,0.0,0.8,21.2,4.1,723241.0,683779.0,1.0,-1.0
Højbjerg,TOT,4.9,MID,1.0%,2.3,79.0,2610.0,1.0,3.0,10.0,30.0,0.0,0.0,0.0,6.0,0.0,0.0,3.0,429.0,540.2,227.3,102.0,87.0,2.3,0.0,0.5,16.1,2.7,154914.0,171657.0,-1.0,1.0
Cresswell,WHU,5.9,DEF,28.7%,3.4,135.0,2610.0,0.0,10.0,10.0,35.0,0.0,0.0,0.0,2.0,0.0,0.0,20.0,622.0,569.0,672.0,76.0,132.1,3.4,3.0,0.6,22.9,4.7,3253436.0,1180905.0,9.0,-9.0
Rice,WHU,4.7,MID,2.3%,2.2,76.0,2610.0,1.0,1.0,10.0,35.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,474.0,493.8,313.0,275.0,108.6,2.2,0.0,0.5,16.2,2.6,231556.0,407877.0,-3.0,3.0
Soucek,WHU,5.3,MID,14.5%,2.6,122.0,2610.0,9.0,1.0,10.0,35.0,1.0,0.0,0.0,4.0,1.0,0.0,15.0,430.0,706.0,181.8,776.0,166.4,2.6,4.0,0.5,23.0,4.2,2754789.0,2012307.0,3.0,-3.0
Patrício,WOL,5.3,GKP,4.1%,3.5,104.0,2610.0,0.0,0.0,8.0,38.0,0.0,1.0,0.0,1.0,0.0,74.0,9.0,486.0,580.0,0.0,0.0,57.8,3.5,0.0,0.7,19.6,3.6,394694.0,575673.0,-2.0,2.0
Robertson,LIV,7.1,DEF,13.4%,3.6,113.0,2604.0,1.0,5.0,8.0,36.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,606.0,552.0,810.4,290.0,165.5,3.6,2.0,0.5,15.9,3.9,2250363.0,2321982.0,1.0,-1.0
Westwood,BUR,5.3,MID,0.4%,2.0,77.0,2600.0,1.0,3.0,9.0,37.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,428.0,383.8,622.6,89.0,109.7,2.0,0.0,0.4,14.5,2.7,65280.0,101151.0,-2.0,2.0
Dallas,LEE,5.1,DEF,25.3%,5.2,122.0,2600.0,5.0,3.0,9.0,46.0,0.0,0.0,0.0,5.0,0.0,0.0,11.0,553.0,586.8,343.4,370.0,130.3,5.2,3.0,1.0,23.9,4.2,2905695.0,1251970.0,6.0,-6.0
Ayling,LEE,4.4,DEF,2.6%,3.4,72.0,2589.0,0.0,0.0,9.0,47.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,509.0,644.0,369.2,267.0,128.0,3.4,0.0,0.8,16.4,2.5,395121.0,477945.0,-1.0,1.0
Tielemans,LEI,6.5,MID,3.8%,3.4,111.0,2546.0,6.0,3.0,10.0,32.0,0.0,0.0,0.0,6.0,0.0,0.0,11.0,497.0,651.4,446.5,347.0,144.6,3.4,2.0,0.5,17.1,3.8,619165.0,517580.0,0.0,0.0
