Player,Team,Cost,Role,Sel.,Form,Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall
Schmeichel,LEI,5.4,GKP,10.2%,1.8,126.0,3150.0,0.0,0.0,11.0,43.0,0.0,0.0,0.0,0.0,0.0,83.0,6.0,604.0,725.2,0.0,0.0,72.4,1.8,3.0,0.3,23.3,3.6,716007.0,975989.0,-1.0,1.0
Ramsdale,SHU,4.6,GKP,1.7%,3.6,101.0,3150.0,0.0,0.0,3.0,62.0,0.0,0.0,0.0,1.0,0.0,133.0,8.0,605.0,927.2,10.0,4.0,94.1,3.6,1.0,0.8,22.0,2.9,122796.0,490861.0,-4.0,4.0
Lloris,TOT,5.6,GKP,6.8%,3.2,137.0,3150.0,0.0,0.0,11.0,41.0,0.0,0.0,0.0,0.0,0.0,104.0,12.0,644.0,792.0,0.0,0.0,79.1,3.2,0.0,0.6,24.5,3.9,867349.0,804327.0,1.0,-1.0
Højbjerg,TOT,4.9,MID,0.9%,1.8,90.0,3150.0,1.0,3.0,11.0,41.0,0.0,0.0,0.0,8.0,0.0,0.0,3.0,505.0,628.2,273.6,103.0,100.6,1.8,0.0,0.4,18.4,2.6,177151.0,200992.0,-1.0,1.0
Soucek,WHU,5.2,MID,11.2%,2.2,134.0,3150.0,9.0,2.0,10.0,45.0,1.0,0.0,0.0,7.0,1.0,0.0,15.0,505.0,797.2,241.3,849.0,188.9,2.2,4.0,0.4,25.8,3.8,2934442.0,2454475.0,2.0,-2.0
Patrício,WOL,5.3,GKP,4.9%,2.8,126.0,3150.0,0.0,0.0,10.0,47.0,0.0,1.0,0.0,1.0,0.0,89.0,11.0,589.0,692.4,0.0,0.0,69.0,2.8,0.0,0.5,23.8,3.6,533237.0,645747.0,-2.0,2.0
Westwood,BUR,5.3,MID,0.4%,6.5,107.0,3140.0,3.0,4.0,11.0,47.0,0.0,0.0,0.0,6.0,0.0,0.0,5.0,547.0,528.0,732.3,143.0,140.6,6.5,2.0,1.2,20.2,3.1,73934.0,107235.0,-2.0,2.0
Dallas,LEE,5.2,DEF,27.2%,4.2,158.0,3140.0,8.0,3.0,10.0,52.0,0.0,0.0,0.0,6.0,0.0,0.0,15.0,667.0,735.4,434.2,483.0,165.6,4.2,5.0,0.8,30.4,4.5,3544036.0,1738158.0,7.0,-7.0
Ayling,LEE,4.4,DEF,2.4%,2.2,85.0,3129.0,0.0,0.0,10.0,53.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,595.0,766.8,416.4,320.0,150.5,2.2,0.0,0.5,19.3,2.4,424182.0,523021.0,-1.0,1.0
Tielemans,LEI,6.4,MID,3.8%,1.8,124.0,3086.0,6.0,3.0,11.0,43.0,0.0,0.0,0.0,6.0,0.0,0.0,11.0,583.0,760.0,697.2,436.0,189.4,1.8,2.0,0.3,19.4,3.5,726952.0,629694.0,-1.0,1.0
Martínez,AVL,5.4,GKP,39.6%,1.4,168.0,3060.0,0.0,0.0,14.0,41.0,0.0,1.0,0.0,0.0,0.0,123.0,24.0,741.0,926.8,20.0,0.0,94.4,1.4,2.0,0.3,31.1,4.9,3991214.0,1590449.0,9.0,-9.0
Guaita,CRY,4.8,GKP,4.1%,2.2,119.0,3060.0,0.0,0.0,8.0,56.0,0.0,1.0,0.0,2.0,0.0,101.0,15.0,599.0,762.6,0.0,0.0,76.5,2.2,4.0,0.5,24.8,3.5,607379.0,520100.0,-2.0,2.0
Areola,FUL,4.5,GKP,4.6%,2.0,119.0,3060.0,0.0,0.0,9.0,44.0,0.0,0.0,0.0,1.0,0.0,108.0,8.0,603.0,827.6,0.0,0.0,82.6,2.0,1.0,0.4,26.4,3.5,593332.0,366456.0,0.0,0.0
Meslier,LEE,4.7,GKP,7.3%,4.0,147.0,3060.0,0.0,0.0,10.0,52.0,1.0,1.0,0.0,0.0,0.0,136.0,20.0,743.0,996.4,10.0,0.0,100.7,4.0,5.0,0.9,31.3,4.3,1088326.0,655672.0,2.0,-2.0
Ederson,MCI,6.1,GKP,9.3%,3.7,146.0,3060.0,0.0,1.0,18.0,25.0,0.0,0.0,0.0,3.0,0.0,60.0,3.0,638.0,515.4,10.0,0.0,52.6,3.7,1.0,0.6,23.9,4.3,1043663.0,814312.0,1.0,-1.0
Ward-Prowse,SOU,5.9,MID,11.8%,3.2,144.0,3060.0,8.0,6.0,9.0,61.0,0.0,0.0,1.0,5.0,0.0,0.0,16.0,696.0,845.4,827.4,303.0,197.5,3.2,4.0,0.5,24.4,4.2,3001233.0,2443001.0,-1.0,1.0
Johnstone,WBA,4.6,GKP,3.0%,6.4,133.0,3060.0,0.0,1.0,6.0,66.0,0.0,1.0,0.0,0.0,0.0,150.0,19.0,713.0,1097.2,10.0,0.0,110.7,6.4,3.0,1.4,28.9,3.9,507610.0,348488.0,1.0,-1.0
Watkins,AVL,6.5,FWD,26.3%,3.4,152.0,3058.0,13.0,8.0,14.0,41.0,0.0,0.0,1.0,2.0,1.0,0.0,15.0,476.0,734.8,541.7,1587.0,285.6,3.4,3.0,0.5,23.4,4.5,4581315.0,2645040.0,5.0,-5.0
Maguire,MUN,5.6,DEF,7.5%,1.5,124.0,3047.0,2.0,2.0,13.0,36.0,0.0,0.0,0.0,11.0,0.0,0.0,8.0,632.0,701.4,133.6,428.0,126.3,1.5,1.0,0.3,22.1,3.6,829378.0,579763.0,1.0,-1.0
Targett,AVL,5.0,DEF,12.9%,1.0,123.0,3044.0,0.0,3.0,15.0,39.0,0.0,0.0,0.0,7.0,0.0,0.0,8.0,638.0,600.0,517.4,116.0,123.6,1.0,2.0,0.2,24.6,3.6,1813118.0,885588.0,5.0,-5.0
Coady,WOL,4.9,DEF,7.0%,2.5,102.0,3033.0,1.0,0.0,10.0,46.0,0.0,0.0,0.0,5.0,0.0,0.0,7.0,563.0,627.8,38.9,85.0,75.4,2.5,0.0,0.5,20.8,3.0,790587.0,899451.0,-1.0,1.0
Robertson,LIV,7.1,DEF,14.4%,2.8,135.0,3024.0,1.0,6.0,10.0,39.0,0.0,0.0,0.0,2.0,0.0,0.0,14.0,720.0,653.6,971.4,320.0,194.8,2.8,2.0,0.4,19.0,4.0,2453451.0,2445995.0,1.0,-1.0
McGinn,AVL,5.5,MID,1.1%,2.4,104.0,2970.0,2.0,7.0,13.0,41.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,448.0,503.6,549.4,322.0,137.5,2.4,0.0,0.4,18.9,3.2,372703.0,344124.0,0.0,0.0
