Player,Season,Gameweek,Opponent,Team,Home,Cost,Role,Sel.,Form,Cum Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form.1,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall,Player_Appearances,Player_NPG,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90,Team_Ranking,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS,Opp_Ranking,Opp_Avg_G,Opp_Avg_GA,Opp_Avg_PTS,Opp_Avg_xG,Opp_Avg_NPxG,Opp_Avg_xGA,Opp_Avg_NPxGA,Opp_Avg_NPxGD,Opp_Avg_PPDA,Opp_Avg_OPPDA,Opp_Avg_DC,Opp_Avg_ODC,Opp_Avg_xPTS,Pts.
Ederson,21,36,NEW,MCI,0,6.1,GKP,9.4%,3.7,146.0,3060.0,0.0,1.0,18.0,25.0,0.0,0.0,0.0,3.0,0.0,60.0,3.0,638.0,515.4,10.0,0.0,52.6,3.7,1.0,0.6,23.9,4.3,1054772.0,818108.0,1.0,-1.0,34,0.0,0.0,0.0,0.3,7.0,6.7,0.0,0.0,0.01,0.01,0.01,0.21,0.2,1,35,25,5,5.0,72.0,26,80,72.28,65.43,26.13,20.8,44.63,10.23,20.63,382.0,131.0,78.86,16,1.1428571428571428,1.6571428571428573,1.1142857142857143,1.0957142857142859,1.0085714285714285,1.6194285714285714,1.5105714285714285,-0.5017142857142857,0.49342857142857144,0.23628571428571427,3.7142857142857144,8.542857142857143,1.0462857142857143,0.0
Bernardo Silva,21,36,NEW,MCI,0,7.4,MID,1.1%,3.7,91.0,1897.0,2.0,7.0,11.0,12.0,0.0,0.0,0.0,4.0,0.0,0.0,9.0,396.0,387.8,437.7,459.0,128.7,3.7,2.0,0.5,12.3,3.8,261216.0,253065.0,-1.0,1.0,24,2.0,3.6,3.6,4.71,15.99,9.58,0.17,0.17,0.22,0.39,0.39,0.75,0.45,1,35,25,5,5.0,72.0,26,80,72.28,65.43,26.13,20.8,44.63,10.23,20.63,382.0,131.0,78.86,16,1.1428571428571428,1.6571428571428573,1.1142857142857143,1.0957142857142859,1.0085714285714285,1.6194285714285714,1.5105714285714285,-0.5017142857142857,0.49342857142857144,0.23628571428571427,3.7142857142857144,8.542857142857143,1.0462857142857143,2.0
Fernandinho,21,36,NEW,MCI,0,5.4,DEF,0.7%,2.3,51.0,1058.0,0.0,0.0,6.0,8.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,244.0,186.0,162.7,99.0,44.9,2.3,1.0,0.4,9.4,2.7,71170.0,119093.0,-1.0,1.0,19,0.0,0.74,0.74,0.8,6.91,6.47,0.06,0.06,0.07,0.13,0.13,0.59,0.55,1,35,25,5,5.0,72.0,26,80,72.28,65.43,26.13,20.8,44.63,10.23,20.63,382.0,131.0,78.86,16,1.1428571428571428,1.6571428571428573,1.1142857142857143,1.0957142857142859,1.0085714285714285,1.6194285714285714,1.5105714285714285,-0.5017142857142857,0.49342857142857144,0.23628571428571427,3.7142857142857144,8.542857142857143,1.0462857142857143,0.0
Dias,21,36,NEW,MCI,0,6.0,DEF,21.5%,1.0,136.0,2663.0,1.0,1.0,16.0,18.0,1.0,0.0,0.0,3.0,0.0,0.0,12.0,623.0,605.4,90.0,193.0,89.1,1.0,1.0,0.2,22.7,4.5,3099267.0,1516952.0,5.0,-5.0,30,1.0,1.88,1.88,0.11,15.7,15.58,0.06,0.06,0.0,0.07,0.07,0.53,0.53,1,35,25,5,5.0,72.0,26,80,72.28,65.43,26.13,20.8,44.63,10.23,20.63,382.0,131.0,78.86,16,1.1428571428571428,1.6571428571428573,1.1142857142857143,1.0957142857142859,1.0085714285714285,1.6194285714285714,1.5105714285714285,-0.5017142857142857,0.49342857142857144,0.23628571428571427,3.7142857142857144,8.542857142857143,1.0462857142857143,0.0
Sterling,21,36,NEW,MCI,0,11.0,MID,4.7%,3.0,147.0,2354.0,10.0,8.0,13.0,20.0,0.0,0.0,1.0,3.0,0.0,0.0,10.0,436.0,630.6,512.6,1303.0,243.5,3.0,1.0,0.3,13.4,5.1,2441321.0,2400368.0,-5.0,5.0,29,10.0,11.76,11.0,5.77,23.5,10.94,0.45,0.42,0.22,0.67,0.64,0.9,0.42,1,35,25,5,5.0,72.0,26,80,72.28,65.43,26.13,20.8,44.63,10.23,20.63,382.0,131.0,78.86,16,1.1428571428571428,1.6571428571428573,1.1142857142857143,1.0957142857142859,1.0085714285714285,1.6194285714285714,1.5105714285714285,-0.5017142857142857,0.49342857142857144,0.23628571428571427,3.7142857142857144,8.542857142857143,1.0462857142857143,2.0
Cancelo,21,36,NEW,MCI,0,5.8,DEF,13.6%,2.3,130.0,2216.0,1.0,3.0,14.0,15.0,0.0,0.0,0.0,4.0,0.0,0.0,16.0,584.0,524.4,650.6,361.0,153.7,2.3,2.0,0.4,22.4,5.0,2959197.0,2034231.0,3.0,-3.0,26,1.0,1.8,1.8,5.04,16.37,12.81,0.07,0.07,0.2,0.28,0.28,0.66,0.52,1,35,25,5,5.0,72.0,26,80,72.28,65.43,26.13,20.8,44.63,10.23,20.63,382.0,131.0,78.86,16,1.1428571428571428,1.6571428571428573,1.1142857142857143,1.0957142857142859,1.0085714285714285,1.6194285714285714,1.5105714285714285,-0.5017142857142857,0.49342857142857144,0.23628571428571427,3.7142857142857144,8.542857142857143,1.0462857142857143,11.0
De Bruyne,21,36,NEW,MCI,0,11.8,MID,12.7%,0.0,128.0,1905.0,5.0,11.0,11.0,17.0,0.0,0.0,1.0,1.0,0.0,0.0,17.0,511.0,687.2,1077.8,888.0,265.5,0.0,3.0,0.0,10.8,5.3,5371289.0,6380311.0,3.0,-3.0,24,3.0,9.91,7.62,10.0,21.08,10.64,0.46,0.36,0.47,0.93,0.83,0.99,0.5,1,35,25,5,5.0,72.0,26,80,72.28,65.43,26.13,20.8,44.63,10.23,20.63,382.0,131.0,78.86,16,1.1428571428571428,1.6571428571428573,1.1142857142857143,1.0957142857142859,1.0085714285714285,1.6194285714285714,1.5105714285714285,-0.5017142857142857,0.49342857142857144,0.23628571428571427,3.7142857142857144,8.542857142857143,1.0462857142857143,0.0
Gündogan,21,36,NEW,MCI,0,5.6,MID,18.5%,0.7,145.0,1880.0,12.0,3.0,12.0,12.0,0.0,0.0,1.0,1.0,0.0,0.0,21.0,570.0,674.6,614.9,650.0,194.2,0.7,6.0,0.1,25.9,5.6,4219821.0,2847445.0,1.0,-1.0,26,11.0,8.83,7.31,3.61,18.23,9.81,0.42,0.35,0.17,0.6,0.52,0.87,0.47,1,35,25,5,5.0,72.0,26,80,72.28,65.43,26.13,20.8,44.63,10.23,20.63,382.0,131.0,78.86,16,1.1428571428571428,1.6571428571428573,1.1142857142857143,1.0957142857142859,1.0085714285714285,1.6194285714285714,1.5105714285714285,-0.5017142857142857,0.49342857142857144,0.23628571428571427,3.7142857142857144,8.542857142857143,1.0462857142857143,5.0
Jesus,21,36,NEW,MCI,0,9.1,FWD,2.5%,1.3,103.0,1880.0,8.0,4.0,10.0,14.0,0.0,0.0,0.0,2.0,0.0,0.0,16.0,388.0,429.4,415.0,831.0,167.6,1.3,1.0,0.1,11.3,4.0,1044917.0,1021521.0,-4.0,4.0,26,8.0,8.85,8.85,2.88,15.72,5.37,0.42,0.42,0.14,0.56,0.56,0.75,0.26,1,35,25,5,5.0,72.0,26,80,72.28,65.43,26.13,20.8,44.63,10.23,20.63,382.0,131.0,78.86,16,1.1428571428571428,1.6571428571428573,1.1142857142857143,1.0957142857142859,1.0085714285714285,1.6194285714285714,1.5105714285714285,-0.5017142857142857,0.49342857142857144,0.23628571428571427,3.7142857142857144,8.542857142857143,1.0462857142857143,5.0
Mahrez,21,36,NEW,MCI,0,8.0,MID,6.2%,0.7,134.0,1791.0,9.0,6.0,10.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,464.0,567.2,648.2,855.0,206.9,0.7,4.0,0.1,16.8,5.4,2387623.0,2132156.0,-5.0,5.0,25,9.0,6.03,6.03,5.4,18.03,8.47,0.3,0.3,0.27,0.57,0.57,0.9,0.42,1,35,25,5,5.0,72.0,26,80,72.28,65.43,26.13,20.8,44.63,10.23,20.63,382.0,131.0,78.86,16,1.1428571428571428,1.6571428571428573,1.1142857142857143,1.0957142857142859,1.0085714285714285,1.6194285714285714,1.5105714285714285,-0.5017142857142857,0.49342857142857144,0.23628571428571427,3.7142857142857144,8.542857142857143,1.0462857142857143,0.0
