Team_Ranking,Team,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS
1,LIV,17,9,6,2.0,37.0,21,33,33.16,29.35,20.48,16.67,12.68,8.84,20.36,206.0,54.0,32.25
2,MUN,16,10,3,3.0,33.0,24,33,28.28,23.72,21.29,18.25,5.47,11.49,11.89,137.0,84.0,26.70
3,LEI,17,10,2,5.0,31.0,21,32,26.15,18.54,21.32,20.56,-2.02,11.22,13.49,97.0,85.0,27.23
4,TOT,16,8,5,3.0,29.0,15,29,24.19,21.91,18.88,15.83,6.08,12.27,11.44,68.0,121.0,24.53
5,MCI,15,8,5,2.0,24.0,13,29,29.33,27.05,12.89,9.84,17.21,10.51,19.95,157.0,53.0,31.43
6,SOU,17,8,5,4.0,26.0,19,29,17.55,16.02,20.43,18.91,-2.88,9.0,11.79,96.0,108.0,21.01
7,EVE,16,9,2,5.0,26.0,20,29,23.45,21.92,21.47,19.19,2.74,12.77,12.47,93.0,114.0,22.08
8,AVL,15,8,2,5.0,29.0,16,26,29.46,26.41,16.90,15.38,11.04,10.28,8.14,129.0,101.0,28.04
9,CHE,17,7,5,5.0,32.0,21,26,30.52,26.71,17.59,16.07,10.64,9.79,18.1,125.0,90.0,31.72
10,WHU,17,7,5,5.0,24.0,21,26,22.86,22.86,22.40,19.35,3.51,17.44,11.45,81.0,122.0,23.10
11,ARS,17,7,2,8.0,20.0,19,23,22.79,20.50,20.49,19.73,0.77,14.2,16.02,126.0,103.0,24.72
12,LEE,17,7,2,8.0,30.0,33,23,28.90,26.61,33.57,29.0,-2.39,6.65,14.63,150.0,125.0,23.17
13,WOL,17,6,4,7.0,18.0,24,22,17.11,15.59,23.39,19.59,-4.0,14.18,11.66,68.0,124.0,18.91
14,CRY,17,6,4,7.0,22.0,29,22,18.23,16.71,26.44,23.4,-6.69,15.65,7.54,102.0,114.0,19.66
15,NEW,16,5,4,7.0,18.0,26,19,15.55,12.51,23.75,22.23,-9.72,19.05,8.46,60.0,131.0,17.06
16,BUR,15,4,4,7.0,9.0,20,16,12.84,12.84,21.57,19.29,-6.45,13.37,9.43,78.0,124.0,14.18
17,BHA,17,2,8,7.0,21.0,28,14,25.74,21.17,20.66,16.1,5.08,9.79,12.98,119.0,77.0,26.57
18,FUL,15,2,5,8.0,13.0,23,11,17.88,14.07,23.39,19.58,-5.51,14.72,9.82,69.0,99.0,18.18
19,WBA,17,1,5,11.0,11.0,39,8,9.64,9.64,36.18,33.13,-23.49,17.02,9.31,58.0,157.0,7.57
20,SHU,17,0,2,15.0,8.0,29,2,16.88,14.59,27.41,26.65,-12.06,14.22,11.01,92.0,125.0,15.62
