Team_Ranking,Team,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS
1,MUN,18,11,4,3.0,34.0,24,37,30.71,26.14,23.14,20.1,6.05,11.73,11.33,157.0,106.0,29.88
2,MCI,17,10,5,2.0,29.0,13,35,33.20,30.16,13.12,10.07,20.09,10.1,20.81,175.0,60.0,36.60
3,LEI,18,11,2,5.0,33.0,21,35,28.27,20.66,21.70,20.94,-0.28,11.12,13.25,106.0,90.0,29.84
4,LIV,18,9,7,2.0,37.0,21,34,34.36,30.55,21.67,17.86,12.69,8.56,20.3,223.0,59.0,33.59
5,TOT,18,9,6,3.0,33.0,17,33,28.62,26.34,20.91,17.86,8.47,11.88,11.37,79.0,133.0,28.75
6,EVE,17,10,2,5.0,28.0,21,32,23.77,22.25,22.32,20.04,2.21,13.06,12.6,102.0,118.0,22.88
7,CHE,18,8,5,5.0,33.0,21,29,31.90,28.09,18.06,16.53,11.56,9.6,18.22,138.0,96.0,33.83
8,SOU,18,8,5,5.0,26.0,21,29,17.92,16.40,22.55,21.03,-4.63,9.02,11.66,101.0,117.0,21.26
9,WHU,18,8,5,5.0,25.0,21,29,24.59,24.59,22.79,19.75,4.85,16.95,11.31,85.0,127.0,25.56
10,ARS,19,8,3,8.0,23.0,19,27,25.46,23.18,21.37,20.61,2.57,13.23,16.83,145.0,107.0,28.43
11,AVL,15,8,2,5.0,29.0,16,26,29.46,26.41,16.90,15.38,11.04,10.28,8.14,129.0,101.0,28.04
12,LEE,18,7,2,9.0,30.0,34,23,29.14,26.86,34.71,30.15,-3.29,6.71,14.77,158.0,136.0,23.59
13,CRY,19,6,5,8.0,22.0,33,23,18.99,17.47,27.77,24.73,-7.26,17.0,7.3,107.0,125.0,21.70
14,WOL,19,6,4,9.0,21.0,29,22,19.91,18.39,26.18,20.85,-2.46,13.9,12.2,77.0,140.0,21.69
15,NEW,18,5,4,9.0,18.0,30,19,16.77,13.73,28.07,25.78,-12.06,19.62,8.47,64.0,156.0,17.83
16,BHA,19,3,8,8.0,22.0,29,17,27.06,22.50,23.82,18.49,4.01,10.52,12.67,134.0,98.0,28.95
17,BUR,17,4,4,9.0,9.0,22,16,13.88,13.88,24.55,22.26,-8.38,12.99,9.4,88.0,143.0,15.40
18,FUL,17,2,6,9.0,14.0,25,12,19.39,15.59,27.91,24.11,-8.52,14.56,9.52,82.0,115.0,19.08
19,WBA,18,2,5,11.0,14.0,41,11,12.10,10.58,38.12,35.08,-24.49,17.02,9.19,65.0,162.0,9.37
20,SHU,19,1,2,16.0,10.0,32,5,19.87,16.82,29.74,28.98,-12.16,13.87,11.41,109.0,135.0,18.82
