Player,Season,Gameweek,Opponent,Team,Home,Cost,Role,Sel.,Form,Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form.1,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall,Player_Appearances,Player_NPG,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90,Team_Ranking,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS,Opp_Ranking,Opp_Avg_G,Opp_Avg_GA,Opp_Avg_PTS,Opp_Avg_xG,Opp_Avg_NPxG,Opp_Avg_xGA,Opp_Avg_NPxGA,Opp_Avg_NPxGD,Opp_Avg_PPDA,Opp_Avg_OPPDA,Opp_Avg_DC,Opp_Avg_ODC,Opp_Avg_xPTS
Oriol Romeu,21,17,LIV,SOU,1,4.5,MID,4.1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,191.7,94.0,57.0,2.0,0.0,0.4,9.3,2.8,25040.0,30175.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.1,0.13,0.13,0.33,0.26,6.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.5,0.5,1.370000000000001,1.379999999999999,-0.8700000000000001,0.4900000000000002,-0.47000000000000064,2.0,21.0,0.620000000000001,1,2.176470588235294,1.2352941176470589,1.9411764705882353,1.9505882352941175,1.7264705882352942,1.2047058823529413,0.9805882352941178,0.7458823529411764,0.52,1.1976470588235293,12.117647058823529,3.176470588235294,1.8970588235294117
Walker-Peters,21,17,LIV,SOU,1,4.8,DEF,13.8,4.9,6.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,309.0,136.3,136.0,58.2,4.9,0.0,1.0,14.4,4.1,52152.0,70715.0,3.0,,17.0,0.0,0.0,0.0,0.029999999999999916,0.02999999999999936,0.020000000000000018,0.02,0.02,0.03,0.06,0.06,0.24,0.2,6.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.5,0.5,1.370000000000001,1.379999999999999,-0.8700000000000001,0.4900000000000002,-0.47000000000000064,2.0,21.0,0.620000000000001,1,2.176470588235294,1.2352941176470589,1.9411764705882353,1.9505882352941175,1.7264705882352942,1.2047058823529413,0.9805882352941178,0.7458823529411764,0.52,1.1976470588235293,12.117647058823529,3.176470588235294,1.8970588235294117
Ward-Prowse,21,17,LIV,SOU,1,6.2,MID,13.5,3.3,6.0,90.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,432.2,455.8,117.0,100.4,3.3,0.0,0.5,12.7,4.6,27203.0,213060.0,2.0,,17.0,0.0,0.0,0.0,0.07000000000000006,0.08999999999999986,0.08999999999999986,0.06,0.06,0.1,0.17,0.17,0.25,0.21,6.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.5,0.5,1.370000000000001,1.379999999999999,-0.8700000000000001,0.4900000000000002,-0.47000000000000064,2.0,21.0,0.620000000000001,1,2.176470588235294,1.2352941176470589,1.9411764705882353,1.9505882352941175,1.7264705882352942,1.2047058823529413,0.9805882352941178,0.7458823529411764,0.52,1.1976470588235293,12.117647058823529,3.176470588235294,1.8970588235294117
McCarthy,21,17,LIV,SOU,1,4.7,GKP,21.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,385.0,0.0,0.0,38.7,4.1,0.0,0.9,15.1,4.4,49374.0,89383.0,2.0,-2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,6.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.5,0.5,1.370000000000001,1.379999999999999,-0.8700000000000001,0.4900000000000002,-0.47000000000000064,2.0,21.0,0.620000000000001,1,2.176470588235294,1.2352941176470589,1.9411764705882353,1.9505882352941175,1.7264705882352942,1.2047058823529413,0.9805882352941178,0.7458823529411764,0.52,1.1976470588235293,12.117647058823529,3.176470588235294,1.8970588235294117
Bednarek,21,17,LIV,SOU,1,4.9,DEF,11.9,5.7,7.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.0,353.4,41.2,95.0,49.0,5.7,0.0,1.2,16.1,4.6,124220.0,59525.0,4.0,,17.0,0.0,0.0,0.0,0.0,0.040000000000000036,0.03999999999999959,0.02,0.02,0.04,0.06,0.06,0.21,0.2,6.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.5,0.5,1.370000000000001,1.379999999999999,-0.8700000000000001,0.4900000000000002,-0.47000000000000064,2.0,21.0,0.620000000000001,1,2.176470588235294,1.2352941176470589,1.9411764705882353,1.9505882352941175,1.7264705882352942,1.2047058823529413,0.9805882352941178,0.7458823529411764,0.52,1.1976470588235293,12.117647058823529,3.176470588235294,1.8970588235294117
Bertrand,21,17,LIV,SOU,1,5.0,DEF,1.1,3.9,5.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,169.0,158.3,56.0,38.1,3.9,0.0,0.8,10.8,3.4,4058.0,6139.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.11000000000000032,0.10999999999999988,0.01,0.01,0.03,0.04,0.04,0.2,0.19,6.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.5,0.5,1.370000000000001,1.379999999999999,-0.8700000000000001,0.4900000000000002,-0.47000000000000064,2.0,21.0,0.620000000000001,1,2.176470588235294,1.2352941176470589,1.9411764705882353,1.9505882352941175,1.7264705882352942,1.2047058823529413,0.9805882352941178,0.7458823529411764,0.52,1.1976470588235293,12.117647058823529,3.176470588235294,1.8970588235294117
Adams,21,17,LIV,SOU,1,6.1,FWD,7.4,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293.6,250.2,440.0,98.6,2.9,0.0,0.5,11.5,4.4,31235.0,122939.0,1.0,-1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.32,0.22,0.54,0.54,0.46,0.07,6.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.5,0.5,1.370000000000001,1.379999999999999,-0.8700000000000001,0.4900000000000002,-0.47000000000000064,2.0,21.0,0.620000000000001,1,2.176470588235294,1.2352941176470589,1.9411764705882353,1.9505882352941175,1.7264705882352942,1.2047058823529413,0.9805882352941178,0.7458823529411764,0.52,1.1976470588235293,12.117647058823529,3.176470588235294,1.8970588235294117
Vestergaard,21,17,LIV,SOU,1,4.8,DEF,5.3,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366.2,45.3,149.0,56.1,2.9,0.0,0.6,13.1,4.8,1009.0,183223.0,3.0,,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.05,0.11,0.11,0.23,0.22,6.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.5,0.5,1.370000000000001,1.379999999999999,-0.8700000000000001,0.4900000000000002,-0.47000000000000064,2.0,21.0,0.620000000000001,1,2.176470588235294,1.2352941176470589,1.9411764705882353,1.9505882352941175,1.7264705882352942,1.2047058823529413,0.9805882352941178,0.7458823529411764,0.52,1.1976470588235293,12.117647058823529,3.176470588235294,1.8970588235294117
Armstrong,21,17,LIV,SOU,1,5.5,MID,0.5,2.7,3.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,219.8,186.0,124.0,52.8,2.7,0.0,0.5,9.5,3.7,1267.0,6446.0,0.0,0.0,14.0,0.0,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.10999999999999988,0.07000000000000006,0.07,0.07,0.05,0.12,0.12,0.23,0.14,6.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.5,0.5,1.370000000000001,1.379999999999999,-0.8700000000000001,0.4900000000000002,-0.47000000000000064,2.0,21.0,0.620000000000001,1,2.176470588235294,1.2352941176470589,1.9411764705882353,1.9505882352941175,1.7264705882352942,1.2047058823529413,0.9805882352941178,0.7458823529411764,0.52,1.1976470588235293,12.117647058823529,3.176470588235294,1.8970588235294117
Ings,21,17,LIV,SOU,1,8.3,FWD,5.6,3.7,9.0,76.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,39.0,374.2,144.6,407.0,92.5,3.7,0.0,0.4,8.8,5.6,34636.0,17182.0,-2.0,2.0,13.0,1.0,0.08999999999999986,0.0900000000000003,0.15000000000000002,0.20999999999999996,0.09999999999999998,0.38,0.25,0.08,0.47,0.34,0.38,0.07,6.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.5,0.5,1.370000000000001,1.379999999999999,-0.8700000000000001,0.4900000000000002,-0.47000000000000064,2.0,21.0,0.620000000000001,1,2.176470588235294,1.2352941176470589,1.9411764705882353,1.9505882352941175,1.7264705882352942,1.2047058823529413,0.9805882352941178,0.7458823529411764,0.52,1.1976470588235293,12.117647058823529,3.176470588235294,1.8970588235294117
