Player,Team,Player_Appearances,Player_Minutes played,Player_Goals scored,Player_NPG,Player_Assists,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90
Mohamed Salah,LIV,18,1476,13.0,8.0,3.0,9.67,5.86,3.31,11.58,4.63,0.59,0.36,0.20,0.79,0.56,0.71,0.28
Son Heung-Min,TOT,18,1549,12.0,12.0,6.0,7.28,7.28,4.21,10.88,3.04,0.42,0.42,0.24,0.67,0.67,0.63,0.18
Harry Kane,TOT,18,1615,12.0,9.0,11.0,10.78,8.50,5.41,12.46,2.70,0.60,0.47,0.30,0.90,0.78,0.69,0.15
Jamie Vardy,LEI,18,1482,11.0,5.0,5.0,12.79,7.46,2.15,9.31,0.84,0.78,0.45,0.13,0.91,0.58,0.57,0.05
Bruno Fernandes,MUN,19,1579,11.0,6.0,7.0,9.31,4.74,6.87,13.87,4.89,0.53,0.27,0.39,0.92,0.66,0.79,0.28
Dominic Calvert-Lewin,EVE,16,1414,11.0,11.0,0.0,10.52,10.52,0.57,10.93,2.63,0.67,0.67,0.04,0.71,0.71,0.70,0.17
Patrick Bamford,LEE,18,1556,10.0,9.0,2.0,10.65,9.89,1.02,12.72,2.33,0.62,0.57,0.06,0.68,0.63,0.74,0.13
Callum Wilson,NEW,17,1513,8.0,4.0,3.0,9.48,6.44,1.94,8.8,0.50,0.56,0.38,0.12,0.68,0.50,0.52,0.03
Wilfried Zaha,CRY,16,1433,8.0,6.0,2.0,6.09,4.57,2.49,8.48,2.03,0.38,0.29,0.16,0.54,0.44,0.53,0.13
Marcus Rashford,MUN,19,1543,7.0,7.0,5.0,6.27,6.27,1.44,10.7,4.03,0.37,0.37,0.08,0.45,0.45,0.62,0.23
Danny Ings,SOU,13,1060,7.0,5.0,3.0,4.51,2.99,1.00,4.42,0.86,0.38,0.25,0.08,0.47,0.34,0.38,0.07
Alexandre Lacazette,ARS,16,1036,7.0,6.0,0.0,6.83,6.07,0.86,8.47,1.81,0.59,0.53,0.07,0.67,0.60,0.74,0.16
Neal Maupay,BHA,17,1227,7.0,4.0,1.0,9.06,6.02,1.10,8.59,2.18,0.66,0.44,0.08,0.75,0.52,0.63,0.16
Ollie Watkins,AVL,17,1530,7.0,6.0,2.0,9.81,8.29,2.69,11.82,3.44,0.58,0.49,0.16,0.74,0.65,0.70,0.20
Tammy Abraham,CHE,16,887,6.0,6.0,1.0,5.38,5.38,0.72,7.16,2.09,0.55,0.55,0.07,0.62,0.62,0.73,0.21
