Player,Season,Gameweek,Opponent,Team,Home,Cost,Role,Sel.,Form,Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form.1,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall,Player_Appearances,Player_NPG,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90,Team_Ranking,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS,Opp_Ranking,Opp_Avg_G,Opp_Avg_GA,Opp_Avg_PTS,Opp_Avg_xG,Opp_Avg_NPxG,Opp_Avg_xGA,Opp_Avg_NPxGA,Opp_Avg_NPxGD,Opp_Avg_PPDA,Opp_Avg_OPPDA,Opp_Avg_DC,Opp_Avg_ODC,Opp_Avg_xPTS
Ederson,21,28,FUL,MCI,0,6.1,GKP,9.7,3.1,6.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,441.0,10.0,0.0,45.2,3.1,0.0,0.5,21.1,4.4,6493.0,22159.0,1.0,-1.0,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.2,0.19,1,1.0,1.0,0.0,0.0,3.0,0.0,3.0,2.719999999999999,1.9600000000000009,0.4499999999999993,0.4499999999999993,1.509999999999998,-0.10000000000000142,-0.6800000000000033,6.0,7.0,2.8699999999999974,18,0.7586206896551724,1.2413793103448276,0.896551724137931,1.1268965517241378,0.9955172413793104,1.486551724137931,1.3289655172413792,-0.3331034482758621,0.4417241379310345,0.35206896551724143,5.517241379310345,5.827586206896552,1.1837931034482758
Bernardo Silva,21,28,FUL,MCI,0,7.4,MID,1.2,3.1,3.0,66.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,319.2,359.8,414.0,109.6,3.1,0.0,0.4,10.0,3.4,2637.0,10256.0,-1.0,1.0,22,0.0,0.13000000000000034,0.13000000000000034,0.07000000000000028,0.5400000000000009,0.33999999999999986,0.18,0.18,0.18,0.35,0.35,0.75,0.47,1,1.0,1.0,0.0,0.0,3.0,0.0,3.0,2.719999999999999,1.9600000000000009,0.4499999999999993,0.4499999999999993,1.509999999999998,-0.10000000000000142,-0.6800000000000033,6.0,7.0,2.8699999999999974,18,0.7586206896551724,1.2413793103448276,0.896551724137931,1.1268965517241378,0.9955172413793104,1.486551724137931,1.3289655172413792,-0.3331034482758621,0.4417241379310345,0.35206896551724143,5.517241379310345,5.827586206896552,1.1837931034482758
Fernandinho,21,28,FUL,MCI,0,5.4,DEF,0.7,1.7,1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,136.2,93.5,58.0,28.9,1.7,0.0,0.3,7.2,2.6,150.0,583.0,-1.0,1.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.06,0.13,0.13,0.61,0.59,1,1.0,1.0,0.0,0.0,3.0,0.0,3.0,2.719999999999999,1.9600000000000009,0.4499999999999993,0.4499999999999993,1.509999999999998,-0.10000000000000142,-0.6800000000000033,6.0,7.0,2.8699999999999974,18,0.7586206896551724,1.2413793103448276,0.896551724137931,1.1268965517241378,0.9955172413793104,1.486551724137931,1.3289655172413792,-0.3331034482758621,0.4417241379310345,0.35206896551724143,5.517241379310345,5.827586206896552,1.1837931034482758
Dias,21,28,FUL,MCI,0,6.1,DEF,23.9,4.1,6.0,74.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,545.8,74.5,187.0,81.0,4.1,0.0,0.7,20.8,4.7,24216.0,57415.0,6.0,-6.0,27,0.0,0.0,0.0,0.0,0.34999999999999964,0.33999999999999986,0.07,0.07,0.0,0.07,0.07,0.55,0.55,1,1.0,1.0,0.0,0.0,3.0,0.0,3.0,2.719999999999999,1.9600000000000009,0.4499999999999993,0.4499999999999993,1.509999999999998,-0.10000000000000142,-0.6800000000000033,6.0,7.0,2.8699999999999974,18,0.7586206896551724,1.2413793103448276,0.896551724137931,1.1268965517241378,0.9955172413793104,1.486551724137931,1.3289655172413792,-0.3331034482758621,0.4417241379310345,0.35206896551724143,5.517241379310345,5.827586206896552,1.1837931034482758
Sterling,21,28,FUL,MCI,0,11.5,MID,7.4,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,574.2,472.6,1155.0,220.1,1.9,0.0,0.2,11.5,5.3,5112.0,104046.0,0.0,0.0,25,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.42,0.22,0.67,0.64,0.91,0.45,1,1.0,1.0,0.0,0.0,3.0,0.0,3.0,2.719999999999999,1.9600000000000009,0.4499999999999993,0.4499999999999993,1.509999999999998,-0.10000000000000142,-0.6800000000000033,6.0,7.0,2.8699999999999974,18,0.7586206896551724,1.2413793103448276,0.896551724137931,1.1268965517241378,0.9955172413793104,1.486551724137931,1.3289655172413792,-0.3331034482758621,0.4417241379310345,0.35206896551724143,5.517241379310345,5.827586206896552,1.1837931034482758
Cancelo,21,28,FUL,MCI,0,6.1,DEF,21.7,3.1,12.0,90.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,40.0,461.0,582.6,336.0,138.1,3.1,1.0,0.5,20.0,5.3,13131.0,95371.0,6.0,-6.0,23,0.0,0.0,0.0,0.8999999999999999,0.39000000000000057,0.03999999999999915,0.07,0.07,0.22,0.3,0.3,0.71,0.56,1,1.0,1.0,0.0,0.0,3.0,0.0,3.0,2.719999999999999,1.9600000000000009,0.4499999999999993,0.4499999999999993,1.509999999999998,-0.10000000000000142,-0.6800000000000033,6.0,7.0,2.8699999999999974,18,0.7586206896551724,1.2413793103448276,0.896551724137931,1.1268965517241378,0.9955172413793104,1.486551724137931,1.3289655172413792,-0.3331034482758621,0.4417241379310345,0.35206896551724143,5.517241379310345,5.827586206896552,1.1837931034482758
De Bruyne,21,28,FUL,MCI,0,11.9,MID,18.1,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,675.0,1033.5,886.0,259.6,4.3,0.0,0.4,10.5,5.4,62437.0,57877.0,4.0,-4.0,23,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.37,0.47,0.95,0.84,0.98,0.49,1,1.0,1.0,0.0,0.0,3.0,0.0,3.0,2.719999999999999,1.9600000000000009,0.4499999999999993,0.4499999999999993,1.509999999999998,-0.10000000000000142,-0.6800000000000033,6.0,7.0,2.8699999999999974,18,0.7586206896551724,1.2413793103448276,0.896551724137931,1.1268965517241378,0.9955172413793104,1.486551724137931,1.3289655172413792,-0.3331034482758621,0.4417241379310345,0.35206896551724143,5.517241379310345,5.827586206896552,1.1837931034482758
Gündogan,21,28,FUL,MCI,0,6.2,MID,36.4,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,656.6,544.0,609.0,181.2,2.7,0.0,0.4,22.9,6.2,54245.0,182577.0,7.0,-7.0,23,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.36,0.17,0.61,0.53,0.88,0.45,1,1.0,1.0,0.0,0.0,3.0,0.0,3.0,2.719999999999999,1.9600000000000009,0.4499999999999993,0.4499999999999993,1.509999999999998,-0.10000000000000142,-0.6800000000000033,6.0,7.0,2.8699999999999974,18,0.7586206896551724,1.2413793103448276,0.896551724137931,1.1268965517241378,0.9955172413793104,1.486551724137931,1.3289655172413792,-0.3331034482758621,0.4417241379310345,0.35206896551724143,5.517241379310345,5.827586206896552,1.1837931034482758
Mahrez,21,28,FUL,MCI,0,8.1,MID,7.1,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,550.2,610.0,748.0,190.7,7.6,0.0,0.9,15.9,5.6,70071.0,39094.0,-4.0,4.0,23,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.27,0.29,0.56,0.56,0.88,0.41,1,1.0,1.0,0.0,0.0,3.0,0.0,3.0,2.719999999999999,1.9600000000000009,0.4499999999999993,0.4499999999999993,1.509999999999998,-0.10000000000000142,-0.6800000000000033,6.0,7.0,2.8699999999999974,18,0.7586206896551724,1.2413793103448276,0.896551724137931,1.1268965517241378,0.9955172413793104,1.486551724137931,1.3289655172413792,-0.3331034482758621,0.4417241379310345,0.35206896551724143,5.517241379310345,5.827586206896552,1.1837931034482758
Stones,21,28,FUL,MCI,0,5.3,DEF,22.7,4.4,14.0,90.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,38.0,454.8,56.7,164.0,67.5,4.4,1.0,0.8,23.0,6.8,34780.0,62006.0,3.0,-3.0,18,1.0,0.5499999999999998,0.5499999999999998,0.0,0.379999999999999,0.3800000000000008,0.13,0.13,0.0,0.13,0.13,0.51,0.5,1,1.0,1.0,0.0,0.0,3.0,0.0,3.0,2.719999999999999,1.9600000000000009,0.4499999999999993,0.4499999999999993,1.509999999999998,-0.10000000000000142,-0.6800000000000033,6.0,7.0,2.8699999999999974,18,0.7586206896551724,1.2413793103448276,0.896551724137931,1.1268965517241378,0.9955172413793104,1.486551724137931,1.3289655172413792,-0.3331034482758621,0.4417241379310345,0.35206896551724143,5.517241379310345,5.827586206896552,1.1837931034482758
