Player,Season,Gameweek,Opponent,Team,Home,Cost,Role,Sel.,Form,Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form.1,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall,Player_Appearances,Player_NPG,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90,Team_Ranking,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS,Opp_Ranking,Opp_Avg_G,Opp_Avg_GA,Opp_Avg_PTS,Opp_Avg_xG,Opp_Avg_NPxG,Opp_Avg_xGA,Opp_Avg_NPxGA,Opp_Avg_NPxGD,Opp_Avg_PPDA,Opp_Avg_OPPDA,Opp_Avg_DC,Opp_Avg_ODC,Opp_Avg_xPTS
Ederson,21,35a,CHE,MCI,1,6.1,GKP,9.3,3.7,2.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,14.0,515.4,10.0,0.0,52.6,3.7,0.0,0.6,23.9,4.3,12210.0,29181.0,1.0,-1.0,34,0.0,0.0,0.0,0.0,0.1200000000000001,0.1200000000000001,0.0,0.0,0.01,0.01,0.01,0.21,0.2,1,1,0,0,1.0,1.0,2,0,1.7900000000000063,1.0300000000000011,0.6199999999999974,0.620000000000001,0.4100000000000037,0.11000000000000121,-0.07000000000000028,10.0,8.0,2.3499999999999943,3,1.5714285714285714,0.9142857142857143,1.8285714285714285,1.7368571428571429,1.5411428571428571,0.8114285714285714,0.7462857142857143,0.795142857142857,0.26257142857142857,0.474,8.371428571428572,4.742857142857143,1.9977142857142858
Bernardo Silva,21,35a,CHE,MCI,1,7.4,MID,1.1,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,387.8,437.7,459.0,128.7,3.7,0.0,0.5,12.3,3.8,4004.0,9122.0,-1.0,1.0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.17,0.22,0.39,0.39,0.75,0.45,1,1,0,0,1.0,1.0,2,0,1.7900000000000063,1.0300000000000011,0.6199999999999974,0.620000000000001,0.4100000000000037,0.11000000000000121,-0.07000000000000028,10.0,8.0,2.3499999999999943,3,1.5714285714285714,0.9142857142857143,1.8285714285714285,1.7368571428571429,1.5411428571428571,0.8114285714285714,0.7462857142857143,0.795142857142857,0.26257142857142857,0.474,8.371428571428572,4.742857142857143,1.9977142857142858
Fernandinho,21,35a,CHE,MCI,1,5.4,DEF,0.7,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.0,162.7,99.0,44.9,2.3,0.0,0.4,9.4,2.7,1160.0,1196.0,-1.0,1.0,19,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.07,0.13,0.13,0.59,0.55,1,1,0,0,1.0,1.0,2,0,1.7900000000000063,1.0300000000000011,0.6199999999999974,0.620000000000001,0.4100000000000037,0.11000000000000121,-0.07000000000000028,10.0,8.0,2.3499999999999943,3,1.5714285714285714,0.9142857142857143,1.8285714285714285,1.7368571428571429,1.5411428571428571,0.8114285714285714,0.7462857142857143,0.795142857142857,0.26257142857142857,0.474,8.371428571428572,4.742857142857143,1.9977142857142858
Dias,21,35a,CHE,MCI,1,6.0,DEF,21.3,1.0,1.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,605.4,90.0,193.0,89.1,1.0,0.0,0.2,22.7,4.5,32125.0,188208.0,5.0,-5.0,30,0.0,0.0,0.0,0.07,0.5599999999999987,0.5,0.06,0.06,0.0,0.07,0.07,0.53,0.53,1,1,0,0,1.0,1.0,2,0,1.7900000000000063,1.0300000000000011,0.6199999999999974,0.620000000000001,0.4100000000000037,0.11000000000000121,-0.07000000000000028,10.0,8.0,2.3499999999999943,3,1.5714285714285714,0.9142857142857143,1.8285714285714285,1.7368571428571429,1.5411428571428571,0.8114285714285714,0.7462857142857143,0.795142857142857,0.26257142857142857,0.474,8.371428571428572,4.742857142857143,1.9977142857142858
Sterling,21,35a,CHE,MCI,1,11.0,MID,4.4,3.0,6.0,90.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,19.0,630.6,512.6,1303.0,243.5,3.0,0.0,0.3,13.4,5.1,7165.0,39026.0,-5.0,5.0,29,1.0,0.5199999999999996,0.5199999999999996,0.0,0.7300000000000004,0.20999999999999908,0.45,0.42,0.22,0.67,0.64,0.9,0.42,1,1,0,0,1.0,1.0,2,0,1.7900000000000063,1.0300000000000011,0.6199999999999974,0.620000000000001,0.4100000000000037,0.11000000000000121,-0.07000000000000028,10.0,8.0,2.3499999999999943,3,1.5714285714285714,0.9142857142857143,1.8285714285714285,1.7368571428571429,1.5411428571428571,0.8114285714285714,0.7462857142857143,0.795142857142857,0.26257142857142857,0.474,8.371428571428572,4.742857142857143,1.9977142857142858
Cancelo,21,35a,CHE,MCI,1,5.8,DEF,13.5,2.3,1.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,524.4,650.6,361.0,153.7,2.3,0.0,0.4,22.4,5.0,12572.0,96116.0,3.0,-3.0,26,0.0,0.040000000000000036,0.040000000000000036,0.05999999999999961,0.120000000000001,0.02000000000000135,0.07,0.07,0.2,0.28,0.28,0.66,0.52,1,1,0,0,1.0,1.0,2,0,1.7900000000000063,1.0300000000000011,0.6199999999999974,0.620000000000001,0.4100000000000037,0.11000000000000121,-0.07000000000000028,10.0,8.0,2.3499999999999943,3,1.5714285714285714,0.9142857142857143,1.8285714285714285,1.7368571428571429,1.5411428571428571,0.8114285714285714,0.7462857142857143,0.795142857142857,0.26257142857142857,0.474,8.371428571428572,4.742857142857143,1.9977142857142858
De Bruyne,21,35a,CHE,MCI,1,11.8,MID,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,687.2,1077.8,888.0,265.5,0.0,0.0,0.0,10.8,5.3,8189.0,96155.0,3.0,-3.0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.36,0.47,0.93,0.83,0.99,0.5,1,1,0,0,1.0,1.0,2,0,1.7900000000000063,1.0300000000000011,0.6199999999999974,0.620000000000001,0.4100000000000037,0.11000000000000121,-0.07000000000000028,10.0,8.0,2.3499999999999943,3,1.5714285714285714,0.9142857142857143,1.8285714285714285,1.7368571428571429,1.5411428571428571,0.8114285714285714,0.7462857142857143,0.795142857142857,0.26257142857142857,0.474,8.371428571428572,4.742857142857143,1.9977142857142858
Gündogan,21,35a,CHE,MCI,1,5.6,MID,18.6,0.7,1.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,674.6,614.9,650.0,194.2,0.7,0.0,0.1,25.9,5.6,19841.0,202909.0,1.0,-1.0,26,0.0,0.09999999999999964,0.09999999999999964,0.08000000000000007,0.240000000000002,0.09999999999999964,0.42,0.35,0.17,0.6,0.52,0.87,0.47,1,1,0,0,1.0,1.0,2,0,1.7900000000000063,1.0300000000000011,0.6199999999999974,0.620000000000001,0.4100000000000037,0.11000000000000121,-0.07000000000000028,10.0,8.0,2.3499999999999943,3,1.5714285714285714,0.9142857142857143,1.8285714285714285,1.7368571428571429,1.5411428571428571,0.8114285714285714,0.7462857142857143,0.795142857142857,0.26257142857142857,0.474,8.371428571428572,4.742857142857143,1.9977142857142858
Jesus,21,35a,CHE,MCI,1,9.1,FWD,2.5,1.3,1.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,429.4,415.0,831.0,167.6,1.3,0.0,0.1,11.3,4.0,3615.0,21579.0,-4.0,4.0,26,0.0,0.08999999999999986,0.08999999999999986,0.06000000000000005,0.6500000000000004,0.4900000000000002,0.42,0.42,0.14,0.56,0.56,0.75,0.26,1,1,0,0,1.0,1.0,2,0,1.7900000000000063,1.0300000000000011,0.6199999999999974,0.620000000000001,0.4100000000000037,0.11000000000000121,-0.07000000000000028,10.0,8.0,2.3499999999999943,3,1.5714285714285714,0.9142857142857143,1.8285714285714285,1.7368571428571429,1.5411428571428571,0.8114285714285714,0.7462857142857143,0.795142857142857,0.26257142857142857,0.474,8.371428571428572,4.742857142857143,1.9977142857142858
Mahrez,21,35a,CHE,MCI,1,8.0,MID,5.6,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,567.2,648.2,855.0,206.9,0.7,0.0,0.1,16.8,5.4,34409.0,49459.0,-5.0,5.0,25,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.27,0.57,0.57,0.9,0.42,1,1,0,0,1.0,1.0,2,0,1.7900000000000063,1.0300000000000011,0.6199999999999974,0.620000000000001,0.4100000000000037,0.11000000000000121,-0.07000000000000028,10.0,8.0,2.3499999999999943,3,1.5714285714285714,0.9142857142857143,1.8285714285714285,1.7368571428571429,1.5411428571428571,0.8114285714285714,0.7462857142857143,0.795142857142857,0.26257142857142857,0.474,8.371428571428572,4.742857142857143,1.9977142857142858
