Player,Season,Gameweek,Opponent,Team,Home,Cost,Role,Sel.,Form,Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form.1,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall,Player_Appearances,Player_NPG,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90,Team_Ranking,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS,Opp_Ranking,Opp_Avg_G,Opp_Avg_GA,Opp_Avg_PTS,Opp_Avg_xG,Opp_Avg_NPxG,Opp_Avg_xGA,Opp_Avg_NPxGA,Opp_Avg_NPxGD,Opp_Avg_PPDA,Opp_Avg_OPPDA,Opp_Avg_DC,Opp_Avg_ODC,Opp_Avg_xPTS
Ederson,21,37,BHA,MCI,0,6.1,GKP,9.3,2.6,2.0,90.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,16.0,538.6,10.0,0.0,54.9,2.6,0.0,0.4,24.3,4.2,17918.0,21489.0,1.0,-1.0,35.0,0.0,0.0,0.0,0.0,0.5499999999999998,0.5499999999999998,0.0,0.0,0.01,0.01,0.01,0.22,0.21,1.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0699999999999932,1.0700000000000074,1.2300000000000004,1.2300000000000004,-0.1599999999999966,0.20999999999999908,-0.5700000000000003,1.0,14.0,1.25,16,1.0810810810810811,1.1891891891891893,1.1081081081081081,1.4494594594594594,1.2640540540540541,1.0575675675675675,0.9137837837837839,0.35054054054054057,0.27432432432432435,0.3659459459459459,8.297297297297296,5.27027027027027,1.6408108108108108
Bernardo Silva,21,37,BHA,MCI,0,7.4,MID,1.1,2.8,1.0,76.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,399.6,476.2,463.0,134.1,2.8,0.0,0.4,12.7,3.6,2970.0,5661.0,-1.0,1.0,26.0,0.0,0.0,0.0,0.0600000000000005,0.3099999999999987,0.3100000000000005,0.16,0.16,0.21,0.36,0.36,0.74,0.46,1.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0699999999999932,1.0700000000000074,1.2300000000000004,1.2300000000000004,-0.1599999999999966,0.20999999999999908,-0.5700000000000003,1.0,14.0,1.25,16,1.0810810810810811,1.1891891891891893,1.1081081081081081,1.4494594594594594,1.2640540540540541,1.0575675675675675,0.9137837837837839,0.35054054054054057,0.27432432432432435,0.3659459459459459,8.297297297297296,5.27027027027027,1.6408108108108108
Fernandinho,21,37,BHA,MCI,0,5.4,DEF,0.7,1.2,-1.0,34.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,195.8,173.2,101.0,47.1,1.2,0.0,0.2,9.3,2.5,1058.0,1069.0,-1.0,1.0,20.0,0.0,0.0,0.0,0.05999999999999994,0.05999999999999961,0.0,0.06,0.06,0.07,0.13,0.13,0.58,0.54,1.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0699999999999932,1.0700000000000074,1.2300000000000004,1.2300000000000004,-0.1599999999999966,0.20999999999999908,-0.5700000000000003,1.0,14.0,1.25,16,1.0810810810810811,1.1891891891891893,1.1081081081081081,1.4494594594594594,1.2640540540540541,1.0575675675675675,0.9137837837837839,0.35054054054054057,0.27432432432432435,0.3659459459459459,8.297297297297296,5.27027027027027,1.6408108108108108
Dias,21,37,BHA,MCI,0,5.9,DEF,20.4,0.8,1.0,90.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,630.2,90.3,199.0,92.2,0.8,0.0,0.1,23.2,4.4,21419.0,82263.0,4.0,-4.0,31.0,0.0,0.030000000000000027,0.030000000000000027,0.0,0.5500000000000007,0.5499999999999989,0.06,0.06,0.0,0.07,0.07,0.53,0.53,1.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0699999999999932,1.0700000000000074,1.2300000000000004,1.2300000000000004,-0.1599999999999966,0.20999999999999908,-0.5700000000000003,1.0,14.0,1.25,16,1.0810810810810811,1.1891891891891893,1.1081081081081081,1.4494594594594594,1.2640540540540541,1.0575675675675675,0.9137837837837839,0.35054054054054057,0.27432432432432435,0.3659459459459459,8.297297297297296,5.27027027027027,1.6408108108108108
Sterling,21,37,BHA,MCI,0,11.0,MID,4.4,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,638.2,536.5,1319.0,248.3,2.2,0.0,0.2,13.5,5.0,3210.0,28537.0,-5.0,5.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.4,0.21,0.65,0.62,0.89,0.42,1.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0699999999999932,1.0700000000000074,1.2300000000000004,1.2300000000000004,-0.1599999999999966,0.20999999999999908,-0.5700000000000003,1.0,14.0,1.25,16,1.0810810810810811,1.1891891891891893,1.1081081081081081,1.4494594594594594,1.2640540540540541,1.0575675675675675,0.9137837837837839,0.35054054054054057,0.27432432432432435,0.3659459459459459,8.297297297297296,5.27027027027027,1.6408108108108108
Cancelo,21,37,BHA,MCI,0,5.8,DEF,12.6,3.0,-3.0,9.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-7.0,569.8,673.0,394.0,163.7,3.0,0.0,0.5,23.8,4.9,30638.0,132911.0,3.0,-3.0,28.0,0.0,0.0,0.0,0.0,0.5500000000000007,0.5500000000000007,0.07,0.07,0.2,0.27,0.27,0.71,0.56,1.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0699999999999932,1.0700000000000074,1.2300000000000004,1.2300000000000004,-0.1599999999999966,0.20999999999999908,-0.5700000000000003,1.0,14.0,1.25,16,1.0810810810810811,1.1891891891891893,1.1081081081081081,1.4494594594594594,1.2640540540540541,1.0575675675675675,0.9137837837837839,0.35054054054054057,0.27432432432432435,0.3659459459459459,8.297297297297296,5.27027027027027,1.6408108108108108
Gündogan,21,37,BHA,MCI,0,5.6,MID,17.5,2.8,7.0,55.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.0,754.6,688.4,712.0,215.7,2.8,0.0,0.5,28.0,5.6,20872.0,105816.0,1.0,-1.0,28.0,1.0,0.5500000000000007,0.5499999999999989,0.11999999999999966,0.7399999999999984,0.0600000000000005,0.42,0.36,0.17,0.59,0.53,0.85,0.45,1.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0699999999999932,1.0700000000000074,1.2300000000000004,1.2300000000000004,-0.1599999999999966,0.20999999999999908,-0.5700000000000003,1.0,14.0,1.25,16,1.0810810810810811,1.1891891891891893,1.1081081081081081,1.4494594594594594,1.2640540540540541,1.0575675675675675,0.9137837837837839,0.35054054054054057,0.27432432432432435,0.3659459459459459,8.297297297297296,5.27027027027027,1.6408108108108108
Jesus,21,37,BHA,MCI,0,9.1,FWD,2.5,2.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,462.4,440.2,881.0,178.4,2.0,0.0,0.2,12.0,3.9,9370.0,11357.0,-4.0,4.0,28.0,0.0,0.0600000000000005,0.0600000000000005,0.0,0.05999999999999872,0.0,0.41,0.41,0.15,0.56,0.56,0.75,0.25,1.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0699999999999932,1.0700000000000074,1.2300000000000004,1.2300000000000004,-0.1599999999999966,0.20999999999999908,-0.5700000000000003,1.0,14.0,1.25,16,1.0810810810810811,1.1891891891891893,1.1081081081081081,1.4494594594594594,1.2640540540540541,1.0575675675675675,0.9137837837837839,0.35054054054054057,0.27432432432432435,0.3659459459459459,8.297297297297296,5.27027027027027,1.6408108108108108
De Bruyne,21,37,BHA,MCI,0,11.8,MID,11.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,687.2,1077.8,888.0,265.5,0.0,0.0,0.0,10.8,5.3,6693.0,17896.0,3.0,-3.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.36,0.47,0.93,0.83,0.99,0.5,1.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0699999999999932,1.0700000000000074,1.2300000000000004,1.2300000000000004,-0.1599999999999966,0.20999999999999908,-0.5700000000000003,1.0,14.0,1.25,16,1.0810810810810811,1.1891891891891893,1.1081081081081081,1.4494594594594594,1.2640540540540541,1.0575675675675675,0.9137837837837839,0.35054054054054057,0.27432432432432435,0.3659459459459459,8.297297297297296,5.27027027027027,1.6408108108108108
Mahrez,21,37,BHA,MCI,0,8.1,MID,6.6,1.4,5.0,90.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,589.6,665.8,882.0,213.6,1.4,0.0,0.2,17.2,5.3,36319.0,43843.0,-4.0,4.0,26.0,0.0,0.1200000000000001,0.1200000000000001,0.5499999999999998,0.6099999999999994,0.5499999999999989,0.29,0.29,0.28,0.58,0.58,0.89,0.43,1.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0699999999999932,1.0700000000000074,1.2300000000000004,1.2300000000000004,-0.1599999999999966,0.20999999999999908,-0.5700000000000003,1.0,14.0,1.25,16,1.0810810810810811,1.1891891891891893,1.1081081081081081,1.4494594594594594,1.2640540540540541,1.0575675675675675,0.9137837837837839,0.35054054054054057,0.27432432432432435,0.3659459459459459,8.297297297297296,5.27027027027027,1.6408108108108108
