Player,Count,Entries Number,Season,Gameweek
Palmer,9638,10050,24,21
Watkins,9292,10050,24,21
Saka,8073,10050,24,21
Areola,7954,10050,24,21
Pedro Porro,7624,10050,24,21
Solanke,6683,10050,24,21
Gabriel,6009,10050,24,21
Foden,5855,10050,24,21
Dubravka,5211,10050,24,21
Estupiñan,5054,10050,24,21
J.Alvarez,4591,10050,24,21
Alexander-Arnold,4379,10050,24,21
Richarlison,3969,10050,24,21
Bowen,3703,10050,24,21
Salah,3235,10050,24,21
Diogo J.,3073,10050,24,21
Gordon,3020,10050,24,21
Saliba,2688,10050,24,21
Taylor,2429,10050,24,21
Archer,2067,10050,24,21
Gusto,2037,10050,24,21
Turner,1692,10050,24,21
Darwin,1687,10050,24,21
Trippier,1656,10050,24,21
Haaland,1514,10050,24,21
Walker,1503,10050,24,21
Gross,1458,10050,24,21
Colwill,1307,10050,24,21
De Bruyne,1260,10050,24,21
Son,1197,10050,24,21
João Pedro,1135,10050,24,21
Branthwaite,1068,10050,24,21
Konsa,987,10050,24,21
Zinchenko,913,10050,24,21
Lascelles,896,10050,24,21
Leno,888,10050,24,21
Toney,816,10050,24,21
Doughty,810,10050,24,21
Raya,800,10050,24,21
Garnacho,667,10050,24,21
Douglas Luiz,656,10050,24,21
Udogie,610,10050,24,21
Virgil,592,10050,24,21
Neto,581,10050,24,21
Cash,573,10050,24,21
Ødegaard,527,10050,24,21
Gomez,519,10050,24,21
Pickford,507,10050,24,21
Mubama,497,10050,24,21
Martinez,471,10050,24,21
Cunha,458,10050,24,21
Kaboré,452,10050,24,21
Senesi,442,10050,24,21
Baldock,434,10050,24,21
Pau,426,10050,24,21
Hee Chan,408,10050,24,21
Emerson,360,10050,24,21
Alex Moreno,354,10050,24,21
Burn,338,10050,24,21
Mykolenko,328,10050,24,21
Lamptey,311,10050,24,21
Guéhi,310,10050,24,21
Isak,298,10050,24,21
Bernardo,298,10050,24,21
A.Becker,289,10050,24,21
Livramento,279,10050,24,21
Coufal,279,10050,24,21
Petrović,252,10050,24,21
White,250,10050,24,21
Van Hecke,247,10050,24,21
Bailey,247,10050,24,21
Ward-Prowse,240,10050,24,21
Martinelli,237,10050,24,21
Sterling,227,10050,24,21
Luis Díaz,226,10050,24,21
Kelleher,226,10050,24,21
Tarkowski,221,10050,24,21
Ederson M.,220,10050,24,21
G.Jesus,220,10050,24,21
Andersen,218,10050,24,21
Aké,217,10050,24,21
Botman,210,10050,24,21
Mitchell,205,10050,24,21
Sanchez,203,10050,24,21
Tsimikas,200,10050,24,21
