Player,Team,Player_Appearances,Player_Minutes played,Player_Goals scored,Player_NPG,Player_Assists,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90
Mohamed Salah,LIV,25,2106,17.0,11.0,3.0,13.92,9.36,3.92,17.66,7.03,0.60,0.40,0.17,0.76,0.57,0.75,0.30
Bruno Fernandes,MUN,26,2209,15.0,8.0,10.0,11.88,5.79,9.05,18.26,7.32,0.48,0.24,0.37,0.85,0.60,0.74,0.30
Harry Kane,TOT,23,2025,14.0,11.0,11.0,12.80,10.51,5.78,15.42,3.44,0.57,0.47,0.26,0.83,0.72,0.69,0.15
Son Heung-Min,TOT,25,2179,13.0,13.0,8.0,8.42,8.42,6.24,14.49,4.35,0.35,0.35,0.26,0.61,0.61,0.60,0.18
Patrick Bamford,LEE,26,2251,13.0,12.0,5.0,13.11,12.35,2.62,17.5,3.46,0.52,0.49,0.10,0.63,0.60,0.70,0.14
Dominic Calvert-Lewin,EVE,22,1888,13.0,13.0,0.0,13.17,13.17,0.71,13.3,3.34,0.63,0.63,0.03,0.66,0.66,0.63,0.16
Jamie Vardy,LEI,22,1780,12.0,6.0,5.0,14.48,9.15,2.15,10.96,0.92,0.73,0.46,0.11,0.84,0.57,0.55,0.05
Ilkay Gündogan,MCI,20,1563,11.0,10.0,1.0,7.71,6.18,2.89,14.3,7.29,0.44,0.36,0.17,0.61,0.52,0.82,0.42
Callum Wilson,NEW,21,1818,10.0,6.0,5.0,11.65,8.60,2.44,11.3,0.65,0.58,0.43,0.12,0.70,0.55,0.56,0.03
Ollie Watkins,AVL,24,2160,10.0,9.0,3.0,12.45,10.92,3.44,15.53,4.23,0.52,0.46,0.14,0.66,0.60,0.65,0.18
Wilfried Zaha,CRY,19,1673,9.0,7.0,2.0,7.23,5.71,2.52,9.73,2.20,0.39,0.31,0.14,0.52,0.44,0.52,0.12
Marcus Rashford,MUN,26,2136,9.0,9.0,6.0,7.56,7.56,2.24,14.77,6.85,0.32,0.32,0.09,0.41,0.41,0.62,0.29
