Player,Team,Player_Appearances,Player_Minutes played,Player_Goals scored,Player_NPG,Player_Assists,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90
Mohamed Salah,LIV,12,1080,11.0,10.0,7.0,8.93,8.17,4.17,15.8,6.24,0.74,0.68,0.35,1.09,1.03,1.32,0.52
Jamie Vardy,LEI,12,1033,7.0,7.0,1.0,4.88,4.88,0.76,6.0,0.87,0.43,0.43,0.07,0.49,0.49,0.52,0.08
Sadio Mané,LIV,12,998,7.0,7.0,1.0,7.13,7.13,2.25,13.0,5.12,0.64,0.64,0.20,0.85,0.85,1.17,0.46
Michail Antonio,WHU,11,990,6.0,6.0,3.0,6.60,5.84,3.12,10.11,2.82,0.60,0.53,0.28,0.88,0.81,0.92,0.26
Maxwel Cornet,BUR,7,463,5.0,5.0,0.0,1.19,1.19,0.59,2.95,1.62,0.23,0.23,0.11,0.34,0.34,0.57,0.32
Ismaila Sarr,WAT,12,1039,5.0,5.0,0.0,3.51,2.75,1.14,4.37,1.19,0.30,0.24,0.10,0.40,0.34,0.38,0.10
Diogo Jota,LIV,11,773,5.0,5.0,1.0,5.04,5.04,2.48,10.81,4.24,0.59,0.59,0.29,0.87,0.87,1.26,0.49
Raphinha,LEE,10,828,5.0,5.0,0.0,2.16,2.16,2.00,4.35,1.75,0.23,0.23,0.22,0.45,0.45,0.47,0.19
Pierre-Emerick Aubameyang,ARS,11,882,4.0,4.0,1.0,4.99,3.46,0.80,3.27,0.70,0.51,0.35,0.08,0.59,0.44,0.33,0.07
Son Heung-Min,TOT,11,972,4.0,4.0,1.0,3.41,3.41,0.96,5.29,1.96,0.32,0.32,0.09,0.40,0.40,0.49,0.18
Joshua King,WAT,10,728,4.0,4.0,2.0,4.47,4.47,1.89,5.62,0.47,0.55,0.55,0.23,0.79,0.79,0.69,0.06
Callum Wilson,NEW,8,692,4.0,4.0,0.0,3.82,3.82,0.14,2.79,0.13,0.50,0.50,0.02,0.51,0.51,0.36,0.02
Roberto Firmino,LIV,8,369,4.0,4.0,1.0,3.56,3.56,0.73,6.88,2.71,0.87,0.87,0.18,1.05,1.05,1.68,0.66
Wilfried Zaha,CRY,11,921,4.0,2.0,1.0,3.43,1.91,1.88,5.83,2.34,0.34,0.19,0.18,0.52,0.37,0.57,0.23
Christian Benteke,CRY,12,762,4.0,4.0,1.0,3.60,3.60,1.58,5.45,1.08,0.42,0.42,0.19,0.61,0.61,0.64,0.13
Bruno Fernandes,MUN,12,1042,4.0,4.0,3.0,2.46,1.70,3.75,8.19,4.08,0.21,0.15,0.32,0.54,0.47,0.71,0.35
Pablo Fornals,WHU,12,1040,4.0,4.0,1.0,2.86,2.86,2.10,7.68,3.19,0.25,0.25,0.18,0.43,0.43,0.66,0.28
Cristiano Ronaldo,MUN,9,734,4.0,4.0,2.0,4.96,4.96,1.44,7.21,1.60,0.61,0.61,0.18,0.78,0.78,0.88,0.20
Neal Maupay,BHA,11,768,4.0,3.0,0.0,3.18,2.42,0.31,3.4,0.75,0.37,0.28,0.04,0.41,0.32,0.40,0.09
