Player,Team,Player_Appearances,Player_Minutes played,Player_Goals scored,Player_NPG,Player_Assists,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90
Solly March,BHA,2,165,3.0,3.0,0.0,2.02,2.02,0.11,2.44,0.39,1.10,1.10,0.06,1.16,1.16,1.33,0.21
Bryan Mbeumo,BRE,2,180,3.0,1.0,0.0,2.97,1.45,0.09,1.45,0.00,1.48,0.72,0.05,1.53,0.77,0.72,0.00
Alexander Isak,NEW,2,148,2.0,2.0,0.0,1.16,1.16,0.00,1.17,0.53,0.71,0.71,0.00,0.71,0.71,0.71,0.32
Yoane Wissa,BRE,2,164,2.0,2.0,0.0,1.21,1.21,0.07,0.76,0.00,0.66,0.66,0.04,0.70,0.70,0.42,0.00
Taiwo Awoniyi,NFO,2,99,2.0,2.0,0.0,1.06,1.06,0.08,1.14,0.00,0.96,0.96,0.07,1.03,1.03,1.03,0.00
Erling Haaland,MCI,2,175,2.0,2.0,0.0,1.29,1.29,0.34,1.25,0.13,0.66,0.66,0.18,0.84,0.84,0.64,0.07
Luis Díaz,LIV,2,174,2.0,2.0,0.0,1.11,1.11,0.34,1.31,0.42,0.57,0.57,0.18,0.75,0.75,0.68,0.22
Callum Wilson,NEW,2,32,1.0,1.0,0.0,1.22,1.22,0.02,1.24,0.00,3.43,3.43,0.04,3.48,3.48,3.48,0.00
Michail Antonio,WHU,2,164,1.0,1.0,0.0,0.17,0.17,0.00,0.23,0.06,0.09,0.09,0.00,0.09,0.09,0.13,0.04
Mohamed Salah,LIV,2,174,1.0,1.0,1.0,2.11,1.35,0.45,1.2,0.09,1.09,0.70,0.23,1.32,0.93,0.62,0.05
Dominic Solanke,BOU,2,180,1.0,1.0,1.0,1.36,1.36,0.17,1.46,0.00,0.68,0.68,0.09,0.77,0.77,0.73,0.00
Jarrod Bowen,WHU,2,180,1.0,1.0,0.0,0.55,0.55,0.64,0.67,0.26,0.28,0.28,0.32,0.60,0.60,0.33,0.13
Raphael Varane,MUN,2,180,1.0,1.0,0.0,0.92,0.92,0.00,1.55,0.76,0.46,0.46,0.00,0.46,0.46,0.77,0.38
Rodri,MCI,2,180,1.0,1.0,1.0,0.79,0.79,0.51,1.99,1.98,0.40,0.40,0.25,0.65,0.65,0.99,0.99
Martin Odegaard,ARS,2,180,1.0,0.0,0.0,0.93,0.17,0.14,1.15,0.93,0.47,0.09,0.07,0.54,0.16,0.58,0.47
Odsonne Edouard,CRY,2,180,1.0,1.0,0.0,1.86,1.86,0.21,1.61,0.15,0.93,0.93,0.10,1.03,1.03,0.81,0.08
Chris Wood,NFO,2,5,1.0,1.0,0.0,0.11,0.11,0.00,0.11,0.00,2.00,2.00,0.00,2.00,2.00,2.00,0.00
Estupiñán,BHA,2,180,1.0,1.0,2.0,0.62,0.62,1.84,3.73,2.90,0.31,0.31,0.92,1.23,1.23,1.87,1.45
Leon Bailey,AVL,2,129,1.0,1.0,1.0,0.60,0.60,0.68,1.6,0.41,0.42,0.42,0.48,0.90,0.90,1.11,0.29
Douglas Luiz,AVL,2,163,1.0,0.0,0.0,0.97,0.21,0.21,1.68,1.54,0.54,0.12,0.12,0.65,0.23,0.93,0.85
