Player,Team,Cost,Role,Sel.,Form,Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall
Leno,ARS,4.9,GKP,8.9%,3.9,67.0,1530.0,0.0,0.0,5.0,19.0,0.0,1.0,0.0,0.0,0.0,41.0,6.0,320.0,352.8,0.0,0.0,35.3,3.9,2.0,0.8,13.7,3.9,563517.0,590949.0,-1.0,1.0
Guaita,CRY,4.8,GKP,3.3%,3.7,52.0,1530.0,0.0,0.0,2.0,29.0,0.0,1.0,0.0,2.0,0.0,50.0,6.0,276.0,376.8,0.0,0.0,37.6,3.7,2.0,0.8,10.8,3.1,376164.0,356553.0,-2.0,2.0
Schmeichel,LEI,5.5,GKP,9.9%,3.3,63.0,1530.0,0.0,0.0,5.0,21.0,0.0,0.0,0.0,0.0,0.0,48.0,3.0,296.0,403.6,0.0,0.0,40.4,3.3,2.0,0.6,11.5,3.7,371219.0,641989.0,0.0,0.0
Justin,LEI,5.0,DEF,24.2%,3.7,61.0,1530.0,1.0,2.0,5.0,21.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,308.0,316.2,255.6,93.0,66.7,3.7,1.0,0.7,12.2,3.6,2120291.0,1062397.0,5.0,
Meslier,LEE,4.6,GKP,6.1%,4.0,70.0,1530.0,0.0,0.0,6.0,33.0,0.0,0.0,0.0,0.0,0.0,67.0,9.0,379.0,508.4,10.0,0.0,52.0,4.0,2.0,0.9,15.2,4.1,601826.0,245300.0,1.0,-1.0
Robertson,LIV,7.4,DEF,21.7%,5.0,80.0,1530.0,1.0,5.0,5.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,396.0,384.8,575.1,177.0,113.9,5.0,2.0,0.7,10.8,4.7,1894850.0,1221791.0,4.0,
Ramsdale,SHU,4.7,GKP,2.1%,1.7,37.0,1530.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,1.0,0.0,59.0,0.0,261.0,400.6,10.0,4.0,41.5,1.7,0.0,0.4,7.9,2.2,73846.0,419482.0,-3.0,3.0
Walker-Peters,SOU,4.8,DEF,13.8%,4.9,69.0,1530.0,0.0,2.0,8.0,19.0,0.0,0.0,0.0,4.0,0.0,0.0,6.0,342.0,309.0,136.3,136.0,58.2,4.9,1.0,1.0,14.4,4.1,1004159.0,704455.0,3.0,
Ward-Prowse,SOU,6.2,MID,13.5%,3.3,79.0,1530.0,4.0,4.0,8.0,19.0,0.0,0.0,0.0,3.0,0.0,0.0,8.0,356.0,432.2,455.8,117.0,100.4,3.3,3.0,0.5,12.7,4.6,1895690.0,1151660.0,2.0,
Johnstone,WBA,4.5,GKP,2.3%,1.9,54.0,1530.0,0.0,0.0,2.0,39.0,0.0,0.0,0.0,0.0,0.0,74.0,7.0,328.0,534.8,0.0,0.0,53.5,1.9,1.0,0.4,12.0,3.2,250746.0,126923.0,0.0,0.0
Cresswell,WHU,5.4,DEF,13.2%,4.8,77.0,1530.0,0.0,6.0,6.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,367.0,339.2,416.7,47.0,80.5,4.8,2.0,0.9,14.3,4.5,1385554.0,476314.0,4.0,
Rice,WHU,4.8,MID,2.6%,2.3,42.0,1530.0,0.0,1.0,6.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,264.0,257.8,199.7,99.0,56.0,2.3,0.0,0.5,8.8,2.5,149074.0,302873.0,-2.0,2.0
Soucek,WHU,5.2,MID,12.0%,6.2,77.0,1530.0,5.0,1.0,6.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,250.0,373.8,90.4,497.0,96.1,6.2,3.0,1.2,14.8,4.5,1133234.0,523584.0,2.0,
Patrício,WOL,5.4,GKP,5.4%,1.4,54.0,1530.0,0.0,0.0,4.0,24.0,0.0,1.0,0.0,1.0,0.0,35.0,3.0,265.0,289.2,,,28.7,1.4,0.0,0.3,10.0,3.2,342581.0,419937.0,-1.0,1.0
Dallas,LEE,4.8,DEF,14.4%,5.3,71.0,1520.0,3.0,2.0,6.0,32.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,351.0,373.4,187.9,247.0,81.0,5.3,1.0,1.1,14.8,4.2,1287847.0,425430.0,3.0,
Ayling,LEE,4.5,DEF,3.3%,2.3,43.0,1509.0,0.0,0.0,6.0,33.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,323.0,396.0,215.8,152.0,76.4,2.3,0.0,0.5,9.6,2.5,309142.0,334503.0,0.0,0.0
Kouyaté,CRY,5.0,MID,0.4%,2.1,43.0,1502.0,1.0,0.0,2.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,224.0,303.0,54.4,116.0,47.5,2.1,0.0,0.4,8.6,2.5,77433.0,73629.0,0.0,0.0
Ogbonna,WHU,5.0,DEF,2.5%,4.7,66.0,1502.0,2.0,0.0,6.0,21.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,284.0,328.2,50.7,115.0,49.4,4.7,2.0,0.9,13.2,3.9,240183.0,90672.0,0.0,0.0
Kanté,CHE,4.9,MID,3.0%,1.5,38.0,1478.0,0.0,1.0,6.0,21.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,245.0,274.6,220.8,31.0,52.9,1.5,0.0,0.3,7.8,2.2,205507.0,351401.0,-1.0,1.0
Tielemans,LEI,6.4,MID,2.1%,3.0,59.0,1473.0,4.0,0.0,5.0,21.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,276.0,340.0,166.7,185.0,69.3,3.0,1.0,0.5,9.2,3.5,265920.0,292614.0,-1.0,1.0
Bamford,LEE,6.6,FWD,46.0%,5.2,101.0,1456.0,10.0,5.0,6.0,31.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,326.0,433.8,113.3,862.0,141.1,5.2,2.0,0.8,15.3,5.9,4653930.0,1601129.0,11.0,
Webster,BHA,4.4,DEF,1.6%,1.9,35.0,1440.0,0.0,0.0,3.0,25.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,228.0,237.2,73.6,185.0,49.5,1.9,0.0,0.4,8.0,2.2,84900.0,162281.0,-1.0,1.0
Maguire,MUN,5.4,DEF,4.2%,2.7,46.0,1440.0,1.0,1.0,4.0,24.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,276.0,303.8,38.1,246.0,58.9,2.7,1.0,0.5,8.5,2.9,283166.0,297795.0,-1.0,1.0
Darlow,NEW,5.0,GKP,3.1%,2.8,61.0,1440.0,0.0,0.0,3.0,26.0,0.0,1.0,0.0,0.0,0.0,64.0,6.0,322.0,486.2,0.0,0.0,48.8,2.8,0.0,0.6,12.2,3.8,237036.0,163597.0,0.0,0.0
Baldock,SHU,5.0,DEF,1.1%,1.1,25.0,1440.0,0.0,1.0,0.0,27.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,170.0,187.8,190.1,174.0,55.4,1.1,0.0,0.2,5.0,1.6,45706.0,286845.0,,5.0
McCarthy,SOU,4.7,GKP,21.0%,4.1,71.0,1440.0,0.0,0.0,7.0,19.0,0.0,0.0,0.0,1.0,0.0,47.0,7.0,318.0,385.0,0.0,0.0,38.7,4.1,1.0,0.9,15.1,4.4,1101848.0,957582.0,2.0,-2.0
Bednarek,SOU,4.9,DEF,11.9%,5.7,79.0,1440.0,1.0,1.0,8.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,359.0,353.4,41.2,95.0,49.0,5.7,2.0,1.2,16.1,4.6,1011064.0,263353.0,4.0,
Lloris,TOT,5.6,GKP,7.4%,4.3,73.0,1440.0,0.0,0.0,6.0,15.0,0.0,0.0,0.0,0.0,0.0,53.0,9.0,319.0,382.4,0.0,0.0,38.3,4.3,0.0,0.8,13.0,4.6,481399.0,383212.0,1.0,-1.0
Højbjerg,TOT,4.9,MID,1.0%,2.0,38.0,1440.0,0.0,1.0,6.0,15.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,218.0,277.4,125.3,55.0,45.9,2.0,0.0,0.4,7.8,2.4,102889.0,116470.0,-1.0,1.0
Ajayi,WBA,4.8,DEF,0.2%,2.1,31.0,1440.0,1.0,1.0,1.0,39.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,202.0,300.4,19.4,61.0,38.0,2.1,0.0,0.4,6.5,1.9,17088.0,26543.0,-2.0,2.0
Fabianski,WHU,5.1,GKP,4.1%,2.7,71.0,1440.0,0.0,0.0,5.0,21.0,0.0,1.0,0.0,1.0,0.0,49.0,9.0,308.0,367.2,,,36.8,2.7,1.0,0.5,13.9,4.4,399407.0,238183.0,1.0,-1.0
Coady,WOL,4.9,DEF,5.8%,1.3,40.0,1440.0,,,4.0,23.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,242.0,293.0,24.3,17.0,33.6,1.3,0.0,0.3,8.2,2.5,369345.0,583734.0,-1.0,1.0
Tierney,ARS,5.4,DEF,8.2%,4.7,59.0,1430.0,1.0,2.0,5.0,18.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,315.0,290.0,318.9,122.0,73.1,4.7,1.0,0.9,10.9,3.7,365631.0,667389.0,-1.0,1.0
Kane,TOT,11.0,FWD,43.9%,6.5,125.0,1429.0,10.0,11.0,6.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,21.0,444.0,666.2,309.0,705.0,168.0,6.5,5.0,0.6,11.4,7.8,3604145.0,1745453.0,5.0,
Bertrand,SOU,5.0,DEF,1.1%,3.9,54.0,1428.0,0.0,0.0,7.0,17.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,236.0,169.0,158.3,56.0,38.1,3.9,0.0,0.8,10.8,3.4,87553.0,112407.0,0.0,0.0
Basham,SHU,4.6,DEF,0.7%,1.3,26.0,1426.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,205.0,269.6,118.8,96.0,48.4,1.3,0.0,0.3,5.7,1.5,29529.0,123571.0,-4.0,4.0
Furlong,WBA,4.5,DEF,0.3%,1.9,38.0,1418.0,1.0,2.0,2.0,35.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,206.0,271.6,160.1,150.0,58.3,1.9,0.0,0.4,8.4,2.4,40308.0,28815.0,0.0,0.0
Calvert-Lewin,EVE,7.8,FWD,54.2%,3.4,95.0,1405.0,11.0,4.0,5.0,19.0,0.0,0.0,0.0,3.0,0.0,0.0,10.0,339.0,457.8,145.7,772.0,137.3,3.4,2.0,0.4,12.2,5.9,4986130.0,1848591.0,8.0,
Klich,LEE,5.5,MID,5.3%,3.7,66.0,1401.0,3.0,5.0,5.0,30.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,285.0,348.6,505.0,203.0,105.7,3.7,0.0,0.7,12.0,3.9,1042008.0,814950.0,0.0,0.0
White,BHA,4.4,DEF,1.2%,1.7,33.0,1399.0,0.0,0.0,3.0,27.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,229.0,230.0,90.3,12.0,33.4,1.7,0.0,0.4,7.5,2.1,85179.0,114811.0,-1.0,1.0
Firmino,LIV,9.3,FWD,4.3%,5.0,70.0,1393.0,5.0,3.0,5.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,287.0,338.4,256.5,674.0,126.9,5.0,1.0,0.5,7.5,4.1,410565.0,422422.0,-2.0,2.0
Bissouma,BHA,4.5,MID,2.6%,1.7,33.0,1374.0,1.0,0.0,3.0,25.0,0.0,0.0,0.0,5.0,1.0,0.0,2.0,207.0,234.4,130.9,102.0,46.5,1.7,0.0,0.4,7.3,2.1,306553.0,403811.0,0.0,0.0
Rashford,MUN,9.6,MID,11.7%,5.8,84.0,1363.0,7.0,4.0,4.0,22.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,243.0,423.2,296.3,601.0,132.1,5.8,2.0,0.6,8.8,5.2,1481349.0,1086924.0,1.0,-1.0
Egan,SHU,4.7,DEF,2.2%,1.3,15.0,1361.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,163.0,250.4,20.6,57.0,32.8,1.3,0.0,0.3,3.2,0.9,33546.0,910519.0,-3.0,3.0
Doucouré,EVE,5.3,MID,1.0%,3.0,44.0,1358.0,1.0,2.0,4.0,20.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,246.0,258.6,186.0,198.0,64.2,3.0,1.0,0.6,8.3,2.8,107104.0,209554.0,-2.0,2.0
Werner,CHE,9.2,FWD,12.0%,2.2,68.0,1356.0,4.0,5.0,6.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,230.0,295.4,228.6,665.0,118.8,2.2,1.0,0.2,7.4,4.0,1380895.0,3728834.0,-3.0,3.0
Wijnaldum,LIV,5.3,MID,1.6%,3.4,45.0,1351.0,1.0,1.0,4.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,221.0,181.0,185.5,139.0,50.6,3.4,0.0,0.6,8.5,2.6,134038.0,170338.0,-2.0,2.0
Neto,WOL,6.0,MID,15.9%,4.1,80.0,1351.0,4.0,5.0,5.0,21.0,,,,,,,7.0,293.0,345.2,474.1,417.0,123.9,4.1,1.0,0.7,13.3,4.7,1590251.0,462701.0,5.0,
Martínez,AVL,5.0,GKP,30.0%,6.8,83.0,1350.0,0.0,0.0,8.0,16.0,0.0,1.0,0.0,0.0,0.0,52.0,10.0,351.0,394.8,0.0,0.0,39.3,6.8,1.0,1.4,16.6,5.5,2518458.0,819953.0,5.0,
Targett,AVL,4.6,DEF,4.9%,4.3,56.0,1350.0,0.0,1.0,8.0,16.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,269.0,214.4,200.8,56.0,47.4,4.3,1.0,0.9,12.2,3.7,512115.0,221851.0,1.0,-1.0
Grealish,AVL,7.7,MID,38.4%,4.3,97.0,1350.0,5.0,9.0,8.0,16.0,0.0,0.0,0.0,4.0,0.0,0.0,11.0,374.0,502.8,700.6,724.0,192.5,4.3,2.0,0.6,12.6,6.5,4221991.0,2206127.0,7.0,
McGinn,AVL,5.5,MID,1.4%,3.0,56.0,1350.0,1.0,5.0,8.0,16.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,219.0,240.8,279.0,151.0,67.0,3.0,0.0,0.5,10.2,3.7,306960.0,254969.0,0.0,0.0
Watkins,AVL,6.1,FWD,8.3%,3.3,69.0,1350.0,6.0,4.0,8.0,16.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,216.0,331.0,267.7,722.0,131.4,3.3,3.0,0.5,11.3,4.6,1375746.0,879773.0,1.0,-1.0
Westwood,BUR,5.3,MID,0.6%,2.8,46.0,1350.0,1.0,2.0,6.0,20.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,239.0,207.2,343.7,74.0,62.5,2.8,0.0,0.5,8.7,3.1,35759.0,59532.0,-2.0,2.0
Zouma,CHE,5.8,DEF,22.7%,1.8,78.0,1350.0,4.0,0.0,6.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,337.0,416.6,45.9,179.0,64.2,1.8,4.0,0.3,13.4,5.2,2346665.0,787355.0,8.0,
Dier,TOT,5.1,DEF,6.0%,2.8,51.0,1350.0,0.0,0.0,6.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,259.0,296.2,22.4,60.0,37.8,2.8,0.0,0.5,10.0,3.4,535043.0,239854.0,1.0,-1.0
