Player,Team,Cost,Role,Sel.,Form,Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall
Leno,ARS,5.0,GKP,9.1%,6.6,79.0,1710.0,0.0,0.0,7.0,19.0,0.0,1.0,0.0,0.0,0.0,44.0,6.0,367.0,384.2,0.0,0.0,38.4,6.6,2.0,1.3,15.8,4.2,721947.0,679065.0,0.0,0.0
Guaita,CRY,4.8,GKP,3.1%,5.8,62.0,1710.0,0.0,0.0,3.0,33.0,0.0,1.0,0.0,2.0,0.0,56.0,9.0,318.0,420.8,0.0,0.0,42.0,5.8,3.0,1.2,12.9,3.3,402176.0,398704.0,-2.0,2.0
Ramsdale,SHU,4.6,GKP,1.9%,3.0,47.0,1710.0,0.0,0.0,1.0,32.0,0.0,0.0,0.0,1.0,0.0,64.0,2.0,300.0,430.2,10.0,4.0,44.4,3.0,0.0,0.7,10.2,2.5,86826.0,437633.0,-4.0,4.0
Patrício,WOL,5.4,GKP,5.0%,1.2,56.0,1710.0,0.0,0.0,4.0,29.0,0.0,1.0,0.0,1.0,0.0,38.0,3.0,285.0,314.4,0.0,0.0,31.2,1.2,0.0,0.2,10.4,2.9,359945.0,467980.0,-1.0,1.0
Webster,BHA,4.4,DEF,1.5%,2.0,41.0,1620.0,0.0,0.0,4.0,26.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,258.0,285.4,75.7,192.0,55.2,2.0,0.0,0.5,9.3,2.3,93480.0,181082.0,-1.0,1.0
Schmeichel,LEI,5.5,GKP,9.6%,3.3,71.0,1620.0,0.0,0.0,6.0,21.0,0.0,0.0,0.0,0.0,0.0,51.0,4.0,321.0,428.4,0.0,0.0,42.9,3.3,2.0,0.6,12.9,3.9,404427.0,710680.0,0.0,0.0
Justin,LEI,5.0,DEF,24.6%,3.3,69.0,1620.0,1.0,2.0,6.0,21.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,336.0,339.2,268.3,93.0,70.3,3.3,1.0,0.7,13.8,3.8,2264817.0,1318082.0,5.0,-5.0
Robertson,LIV,7.4,DEF,21.0%,3.6,86.0,1620.0,1.0,5.0,6.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,424.0,396.4,609.4,183.0,119.1,3.6,2.0,0.5,11.6,4.8,1983288.0,1458675.0,4.0,-4.0
Maguire,MUN,5.4,DEF,4.4%,3.3,59.0,1620.0,1.0,1.0,6.0,24.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,329.0,364.0,39.5,248.0,65.2,3.3,1.0,0.6,10.9,3.3,353056.0,335038.0,-1.0,1.0
Darlow,NEW,5.0,GKP,2.4%,2.5,65.0,1620.0,0.0,0.0,3.0,30.0,0.0,1.0,0.0,1.0,0.0,70.0,6.0,348.0,540.4,0.0,0.0,54.2,2.5,0.0,0.5,13.0,3.6,328535.0,216120.0,0.0,0.0
Walker-Peters,SOU,4.8,DEF,13.2%,5.0,70.0,1620.0,0.0,2.0,8.0,21.0,0.0,0.0,0.0,4.0,0.0,0.0,6.0,354.0,319.8,152.6,140.0,61.3,5.0,1.0,1.0,14.6,3.9,1087427.0,911737.0,3.0,-3.0
Ward-Prowse,SOU,6.2,MID,11.1%,3.5,81.0,1620.0,4.0,4.0,8.0,21.0,0.0,0.0,0.0,3.0,0.0,0.0,8.0,365.0,435.2,473.1,121.0,102.8,3.5,3.0,0.6,13.1,4.5,1950059.0,1454970.0,2.0,-2.0
Lloris,TOT,5.6,GKP,7.6%,3.6,79.0,1620.0,0.0,0.0,6.0,17.0,0.0,0.0,0.0,0.0,0.0,60.0,9.0,352.0,430.0,0.0,0.0,43.0,3.6,0.0,0.6,14.1,4.4,580710.0,458939.0,1.0,-1.0
Højbjerg,TOT,4.9,MID,0.9%,2.4,44.0,1620.0,0.0,2.0,6.0,17.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,245.0,329.2,152.9,74.0,55.7,2.4,0.0,0.5,9.0,2.4,108064.0,130159.0,-1.0,1.0
Cresswell,WHU,5.4,DEF,17.8%,5.0,85.0,1620.0,0.0,6.0,7.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,393.0,353.6,420.2,47.0,82.3,5.0,2.0,0.9,15.7,4.7,1816861.0,596048.0,4.0,-4.0
Rice,WHU,4.8,MID,2.7%,2.2,45.0,1620.0,0.0,1.0,7.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,281.0,278.4,241.5,121.0,64.4,2.2,0.0,0.5,9.4,2.5,178236.0,326417.0,-2.0,2.0
Soucek,WHU,5.3,MID,19.5%,4.7,79.0,1620.0,5.0,1.0,7.0,21.0,0.0,0.0,0.0,2.0,0.0,0.0,10.0,264.0,396.2,92.4,501.0,98.9,4.7,3.0,0.9,14.9,4.4,1796893.0,653982.0,3.0,-3.0
Dallas,LEE,4.8,DEF,14.7%,5.2,73.0,1610.0,3.0,2.0,6.0,33.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,364.0,381.6,191.0,249.0,82.3,5.2,1.0,1.1,15.2,4.1,1449434.0,658408.0,3.0,-3.0
