Player,Team,Role,Cost,Sel.,Form,Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall
Leno,ARS,GKP,5.0,9.6%,2.7,17.0,450.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,100.0,110.6,0.0,0.0,11.1,2.7,0.0,0.5,3.4,3.4,322537.0,258243.0,0.0,0.0
Bellerín,ARS,DEF,5.0,5.8%,4.3,20.0,450.0,0.0,2.0,1.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,96.0,88.6,62.8,12.0,16.4,4.3,0.0,0.9,4.0,4.0,251888.0,184742.0,0.0,0.0
Aubameyang,ARS,MID,11.8,16.9%,2.0,18.0,450.0,1.0,1.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,61.0,86.8,87.1,105.0,27.9,2.0,0.0,0.2,1.5,3.6,346028.0,2294526.0,-2.0,2.0
Ryan,BHA,GKP,4.5,15.7%,0.7,9.0,450.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,59.0,37.8,0.0,0.0,3.7,0.7,0.0,0.2,2.0,1.8,326371.0,421065.0,0.0,0.0
Dunk,BHA,DEF,4.9,4.4%,-1.0,5.0,450.0,0.0,0.0,1.0,11.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,62.0,59.2,17.3,38.0,11.5,-1.0,0.0,-0.2,1.0,1.0,59421.0,315054.0,-1.0,1.0
Webster,BHA,DEF,4.5,2.0%,1.0,10.0,450.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,60.0,32.0,74.0,16.6,1.0,0.0,0.2,2.2,2.0,34459.0,83411.0,0.0,0.0
Maupay,BHA,FWD,6.6,6.9%,5.3,34.0,450.0,4.0,1.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,128.0,174.2,73.3,285.0,53.1,5.3,1.0,0.8,5.2,6.8,524293.0,203083.0,1.0,-1.0
Guaita,CRY,GKP,5.0,4.8%,1.0,16.0,450.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,1.0,0.0,15.0,3.0,80.0,108.0,0.0,0.0,10.8,1.0,1.0,0.2,3.2,3.2,285430.0,165208.0,0.0,0.0
Ward,CRY,DEF,4.5,1.6%,0.7,9.0,450.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,46.0,66.8,15.7,4.0,8.7,0.7,0.0,0.2,2.0,1.8,53868.0,70012.0,0.0,0.0
Mitchell,CRY,DEF,4.2,26.7%,0.7,13.0,450.0,0.0,1.0,1.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,58.0,68.6,11.0,2.0,8.2,0.7,0.0,0.2,3.1,2.6,1211974.0,331470.0,2.0,-2.0
Kouyaté,CRY,MID,5.0,0.7%,4.3,18.0,450.0,1.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,66.0,113.8,10.7,65.0,19.0,4.3,0.0,0.9,3.6,3.6,53881.0,28921.0,0.0,0.0
Townsend,CRY,MID,6.1,3.5%,3.0,26.0,450.0,1.0,2.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,88.0,122.0,131.2,42.0,29.5,3.0,0.0,0.5,4.3,5.2,326929.0,166281.0,1.0,-1.0
Zaha,CRY,MID,7.2,20.6%,4.0,35.0,450.0,4.0,0.0,1.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,83.0,145.4,60.9,173.0,38.0,4.0,1.0,0.6,4.9,7.0,1450198.0,764326.0,2.0,-2.0
Pickford,EVE,GKP,5.0,8.5%,2.0,15.0,450.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,86.0,107.6,10.0,0.0,11.9,2.0,0.0,0.4,3.0,3.0,394279.0,305215.0,0.0,0.0
Digne,EVE,DEF,6.2,18.3%,4.7,27.0,450.0,0.0,3.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,129.0,146.4,162.9,28.0,33.8,4.7,1.0,0.8,4.4,5.4,977418.0,395150.0,2.0,-2.0
Keane,EVE,DEF,5.1,5.8%,3.7,24.0,450.0,2.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,111.0,157.4,22.1,76.0,25.6,3.7,1.0,0.7,4.7,4.8,358959.0,121718.0,1.0,-1.0
Mina,EVE,DEF,5.5,2.2%,3.7,18.0,450.0,1.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,96.0,136.0,3.1,40.0,17.9,3.7,0.0,0.7,3.3,3.6,100649.0,59876.0,0.0,0.0
Schmeichel,LEI,GKP,5.5,12.1%,2.3,15.0,450.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,81.0,114.4,0.0,0.0,11.5,2.3,0.0,0.4,2.7,3.0,189398.0,317734.0,0.0,0.0
Justin,LEI,DEF,4.8,21.8%,1.3,20.0,450.0,1.0,1.0,1.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,92.0,116.0,47.9,37.0,20.1,1.3,0.0,0.3,4.2,4.0,1132352.0,451042.0,3.0,-3.0
Castagne,LEI,DEF,5.8,20.7%,2.0,29.0,450.0,1.0,3.0,1.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,114.0,127.8,66.7,84.0,27.9,2.0,2.0,0.3,5.0,5.8,1455966.0,327707.0,3.0,-3.0
Tielemans,LEI,MID,6.4,1.7%,3.0,14.0,450.0,1.0,0.0,1.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,85.0,112.8,62.9,49.0,22.5,3.0,0.0,0.5,2.2,2.8,62143.0,96252.0,-1.0,1.0
Barnes,LEI,MID,7.0,5.2%,2.0,22.0,450.0,1.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,62.0,92.4,55.1,221.0,36.8,2.0,0.0,0.3,3.1,4.4,421037.0,340358.0,0.0,0.0
Meslier,LEE,GKP,4.5,3.5%,4.7,17.0,450.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,13.0,3.0,98.0,91.0,10.0,0.0,10.1,4.7,1.0,1.0,3.8,3.4,218827.0,79537.0,0.0,0.0
Ayling,LEE,DEF,4.5,4.1%,3.3,11.0,450.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,78.0,134.8,78.3,55.0,26.9,3.3,0.0,0.7,2.4,2.2,172735.0,150674.0,0.0,0.0
Dallas,LEE,DEF,4.5,5.6%,3.0,13.0,450.0,0.0,1.0,1.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,86.0,102.4,40.3,71.0,21.5,3.0,0.0,0.7,2.9,2.6,276877.0,187966.0,0.0,0.0
Koch,LEE,DEF,4.5,0.6%,3.3,11.0,450.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,86.4,2.4,41.0,13.0,3.3,0.0,0.7,2.4,2.2,21303.0,21675.0,0.0,0.0
Phillips,LEE,MID,5.0,2.4%,1.7,12.0,450.0,0.0,1.0,1.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,85.0,118.4,147.8,8.0,27.4,1.7,0.0,0.3,2.4,2.4,153847.0,183241.0,0.0,0.0
Robertson,LIV,DEF,7.1,18.6%,5.0,25.0,450.0,1.0,2.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,121.0,134.4,136.0,92.0,36.3,5.0,1.0,0.7,3.5,5.0,729792.0,389226.0,1.0,-1.0
Salah,LIV,MID,12.3,47.6%,8.3,48.0,450.0,6.0,1.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,179.0,266.2,200.9,396.0,86.3,8.3,1.0,0.7,3.9,9.6,1440073.0,462388.0,3.0,-3.0
Darlow,NEW,GKP,5.0,1.6%,6.0,27.0,450.0,0.0,0.0,1.0,9.0,0.0,1.0,0.0,0.0,0.0,28.0,4.0,134.0,215.8,0.0,0.0,21.7,6.0,0.0,1.2,5.4,5.4,119989.0,57305.0,0.0,0.0
Fernández,NEW,DEF,5.0,1.1%,1.3,11.0,450.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,115.6,11.0,4.0,13.0,1.3,0.0,0.3,2.2,2.2,22104.0,54259.0,0.0,0.0
Ramsdale,SHU,GKP,4.9,3.8%,3.0,12.0,450.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,79.0,117.8,10.0,2.0,13.0,3.0,0.0,0.6,2.4,2.4,50908.0,269157.0,-1.0,1.0
Stevens,SHU,DEF,5.4,2.5%,1.7,8.0,450.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,87.8,16.2,44.0,14.9,1.7,0.0,0.3,1.5,1.6,16128.0,190707.0,-1.0,1.0
