Player,Team,Cost,Role,Sel.,Form,Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form.1,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall,Player_Appearances,Player_NPG,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90,Team_Ranking,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS
Oriol Romeu,SOU,4.5,MID,4.6%,2.0,28.0,860.0,1.0,0.0,4.0,13.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,128.0,204.6,105.3,69.0,37.8,2.0,0.0,0.4,6.2,2.8,331443.0,296274.0,0.0,0.0,10,1.0,0.23,0.23,0.29,2.8,2.55,0.02,0.02,0.03,0.05,0.05,0.29,0.26,6,10,5,2,3.0,19.0,16,17,10.93,10.17,13.13,12.37,-2.21,9.16,11.95,57.0,50.0,12.75
McCarthy,SOU,4.6,GKP,20.9%,5.0,42.0,900.0,0.0,0.0,4.0,16.0,0.0,0.0,0.0,0.0,0.0,32.0,5.0,201.0,260.2,0.0,0.0,26.1,5.0,1.0,1.1,9.1,4.2,709198.0,710301.0,1.0,-1.0,10,0.0,0.0,0.0,0.0,1.43,1.43,0.0,0.0,0.0,0.0,0.0,0.14,0.14,6,10,5,2,3.0,19.0,16,17,10.93,10.17,13.13,12.37,-2.21,9.16,11.95,57.0,50.0,12.75
Walker-Peters,SOU,4.6,DEF,12.3%,4.3,35.0,900.0,0.0,1.0,4.0,16.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,194.0,188.0,69.1,72.0,33.0,4.3,1.0,0.9,7.6,3.5,590223.0,492224.0,1.0,-1.0,10,0.0,0.28,0.28,0.5,2.7,2.17,0.03,0.03,0.05,0.08,0.08,0.27,0.22,6,10,5,2,3.0,19.0,16,17,10.93,10.17,13.13,12.37,-2.21,9.16,11.95,57.0,50.0,12.75
Ward-Prowse,SOU,6.1,MID,9.7%,5.3,56.0,900.0,4.0,2.0,4.0,16.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,236.0,302.4,239.9,78.0,62.0,5.3,3.0,0.9,9.2,5.6,798113.0,399999.0,1.0,-1.0,10,4.0,0.71,0.71,1.19,2.45,2.01,0.07,0.07,0.12,0.19,0.19,0.24,0.2,6,10,5,2,3.0,19.0,16,17,10.93,10.17,13.13,12.37,-2.21,9.16,11.95,57.0,50.0,12.75
Adams,SOU,5.9,FWD,5.7%,5.3,50.0,855.0,3.0,4.0,4.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,161.0,213.8,158.8,297.0,67.0,5.3,1.0,0.9,8.5,5.0,467888.0,364583.0,-1.0,1.0,10,3.0,3.57,3.57,2.07,4.89,0.85,0.37,0.37,0.21,0.58,0.58,0.51,0.09,6,10,5,2,3.0,19.0,16,17,10.93,10.17,13.13,12.37,-2.21,9.16,11.95,57.0,50.0,12.75
Bednarek,SOU,4.5,DEF,2.3%,5.3,39.0,810.0,1.0,0.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,190.0,197.2,15.2,91.0,30.3,5.3,0.0,1.2,8.7,3.9,88246.0,128399.0,0.0,0.0,10,1.0,0.3,0.3,0.04,1.8,1.76,0.03,0.03,0.0,0.04,0.04,0.2,0.19,6,10,5,2,3.0,19.0,16,17,10.93,10.17,13.13,12.37,-2.21,9.16,11.95,57.0,50.0,12.75
Bertrand,SOU,5.0,DEF,1.0%,1.0,27.0,798.0,0.0,0.0,3.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,128.0,101.2,127.8,44.0,27.3,1.0,0.0,0.2,5.4,3.0,52259.0,87859.0,0.0,0.0,9,0.0,0.09,0.09,0.51,1.93,1.71,0.01,0.01,0.06,0.07,0.07,0.22,0.19,6,10,5,2,3.0,19.0,16,17,10.93,10.17,13.13,12.37,-2.21,9.16,11.95,57.0,50.0,12.75
Vestergaard,SOU,4.7,DEF,10.4%,3.0,43.0,765.0,2.0,0.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,201.0,248.8,27.5,73.0,35.0,3.0,0.0,0.6,9.1,4.8,794612.0,104142.0,2.0,-2.0,9,2.0,0.5,0.5,0.61,1.39,1.39,0.06,0.06,0.07,0.13,0.13,0.16,0.16,6,10,5,2,3.0,19.0,16,17,10.93,10.17,13.13,12.37,-2.21,9.16,11.95,57.0,50.0,12.75
Armstrong,SOU,5.5,MID,0.7%,4.7,33.0,690.0,1.0,2.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,113.0,132.8,122.1,87.0,34.2,4.7,1.0,0.9,6.0,4.1,57442.0,36512.0,0.0,0.0,8,1.0,0.68,0.68,0.5,2.11,1.19,0.09,0.09,0.06,0.15,0.15,0.27,0.15,6,10,5,2,3.0,19.0,16,17,10.93,10.17,13.13,12.37,-2.21,9.16,11.95,57.0,50.0,12.75
Ings,SOU,8.3,FWD,5.6%,0.0,47.0,624.0,5.0,2.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,187.0,251.8,84.7,234.0,57.0,0.0,1.0,0.0,5.7,6.7,705623.0,1975872.0,-2.0,2.0,7,4.0,2.48,1.72,0.39,2.36,0.51,0.36,0.25,0.06,0.41,0.3,0.34,0.07,6,10,5,2,3.0,19.0,16,17,10.93,10.17,13.13,12.37,-2.21,9.16,11.95,57.0,50.0,12.75
