Player,Team,Cost,Role,Sel.,Form,Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall
Leno,ARS,5.0,GKP,8.8%,4.7,40.0,900.0,0.0,0.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,28.0,5.0,192.0,225.6,0.0,0.0,22.6,4.7,2.0,0.9,8.0,4.0,399250.0,388148.0,0.0,0.0
Bellerín,ARS,5.2,DEF,9.7%,3.3,43.0,900.0,0.0,3.0,3.0,12.0,0.0,0.0,0.0,4.0,0.0,0.0,9.0,193.0,153.8,131.6,53.0,34.0,3.3,2.0,0.6,8.3,4.3,659977.0,313109.0,2.0,-2.0
Webster,BHA,4.4,DEF,1.7%,3.3,22.0,900.0,0.0,0.0,2.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,134.0,124.4,39.1,107.0,27.1,3.3,0.0,0.7,5.0,2.2,50598.0,120318.0,-1.0,1.0
Guaita,CRY,5.0,GKP,3.8%,2.3,26.0,900.0,0.0,0.0,1.0,15.0,0.0,0.0,0.0,2.0,0.0,30.0,3.0,153.0,208.2,0.0,0.0,20.8,2.3,1.0,0.5,5.2,2.6,313947.0,262889.0,0.0,0.0
Kouyaté,CRY,5.0,MID,0.6%,2.0,28.0,900.0,1.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,137.0,187.8,51.1,114.0,35.4,2.0,0.0,0.4,5.6,2.8,69515.0,54120.0,0.0,0.0
Keane,EVE,5.1,DEF,5.6%,1.3,30.0,900.0,2.0,0.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,173.0,239.2,25.5,88.0,35.3,1.3,1.0,0.3,5.9,3.0,469738.0,238982.0,1.0,-1.0
Schmeichel,LEI,5.5,GKP,11.9%,3.8,40.0,900.0,0.0,0.0,3.0,14.0,0.0,0.0,0.0,0.0,0.0,34.0,3.0,187.0,279.4,0.0,0.0,27.9,3.8,1.0,0.7,7.3,4.0,301161.0,440758.0,0.0,0.0
Justin,LEI,4.9,DEF,23.6%,2.2,35.0,900.0,1.0,1.0,3.0,14.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,153.0,157.4,74.7,51.0,28.4,2.2,0.0,0.4,7.1,3.5,1492345.0,650431.0,4.0,-4.0
Tielemans,LEI,6.4,MID,3.1%,5.5,38.0,900.0,3.0,0.0,3.0,14.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,178.0,242.2,121.4,118.0,48.1,5.5,1.0,0.9,5.9,3.8,215515.0,160560.0,-1.0,1.0
Meslier,LEE,4.5,GKP,4.3%,4.8,43.0,900.0,0.0,0.0,4.0,17.0,0.0,0.0,0.0,0.0,0.0,33.0,6.0,214.0,232.0,10.0,0.0,24.3,4.8,1.0,1.1,9.6,4.3,332360.0,135211.0,0.0,0.0
Koch,LEE,4.5,DEF,0.8%,3.0,31.0,900.0,0.0,0.0,4.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,177.0,175.8,48.9,89.0,31.4,3.0,1.0,0.7,6.9,3.1,49910.0,39509.0,0.0,0.0
Robertson,LIV,7.2,DEF,19.7%,5.3,45.0,900.0,1.0,3.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,220.0,220.8,253.7,133.0,60.9,5.3,2.0,0.7,6.2,4.5,1253921.0,806797.0,2.0,-2.0
Darlow,NEW,5.0,GKP,1.8%,3.7,44.0,900.0,0.0,0.0,2.0,15.0,0.0,1.0,0.0,0.0,0.0,44.0,5.0,221.0,329.4,0.0,0.0,33.1,3.7,0.0,0.7,8.8,4.4,167418.0,97367.0,0.0,0.0
Fernández,NEW,4.9,DEF,0.8%,1.3,20.0,900.0,0.0,0.0,2.0,15.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,152.0,212.0,23.8,6.0,24.1,1.3,0.0,0.3,4.1,2.0,30587.0,78714.0,-1.0,1.0
Ramsdale,SHU,4.8,GKP,2.7%,2.3,25.0,900.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,164.0,267.8,10.0,2.0,28.0,2.3,0.0,0.5,5.2,2.5,61767.0,356121.0,-2.0,2.0
Baldock,SHU,5.2,DEF,1.6%,1.3,17.0,900.0,0.0,1.0,0.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,125.0,142.4,146.6,156.0,44.6,1.3,0.0,0.2,3.3,1.7,40154.0,243351.0,-3.0,3.0
