Player,Cost,Sel.,Form,Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall
LenoARSGKP,5.0,9.7%,2.7,17.0,450.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,100.0,110.6,0.0,0.0,11.1,2.7,0.0,0.5,3.4,3.4,315333.0,245795.0,0.0,0.0
BellerínARSDEF,5.0,5.8%,4.3,20.0,450.0,0.0,2.0,1.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,96.0,88.6,62.8,12.0,16.4,4.3,0.0,0.9,4.0,4.0,237286.0,175540.0,0.0,0.0
AubameyangARSMID,11.8,17.8%,2.0,18.0,450.0,1.0,1.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,61.0,86.8,87.1,105.0,27.9,2.0,0.0,0.2,1.5,3.6,341154.0,2229302.0,-2.0,2.0
RyanBHAGKP,4.5,16.0%,0.7,9.0,450.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,59.0,37.8,0.0,0.0,3.7,0.7,0.0,0.2,2.0,1.8,317860.0,399561.0,0.0,0.0
WebsterBHADEF,4.5,2.1%,1.0,10.0,450.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,60.0,32.0,74.0,16.6,1.0,0.0,0.2,2.2,2.0,32181.0,79515.0,0.0,0.0
MaupayBHAFWD,6.6,6.3%,5.3,34.0,450.0,4.0,1.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,128.0,174.2,73.3,285.0,53.1,5.3,1.0,0.8,5.2,6.8,472904.0,185969.0,1.0,-1.0
GuaitaCRYGKP,5.0,4.8%,1.0,16.0,450.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,1.0,0.0,15.0,3.0,80.0,108.0,0.0,0.0,10.8,1.0,1.0,0.2,3.2,3.2,279757.0,156701.0,0.0,0.0
WardCRYDEF,4.5,1.7%,0.7,9.0,450.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,46.0,66.8,15.7,4.0,8.7,0.7,0.0,0.2,2.0,1.8,50507.0,66690.0,0.0,0.0
KouyatéCRYMID,5.0,0.7%,4.3,18.0,450.0,1.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,66.0,113.8,10.7,65.0,19.0,4.3,0.0,0.9,3.6,3.6,50986.0,26463.0,0.0,0.0
TownsendCRYMID,6.1,3.5%,3.0,26.0,450.0,1.0,2.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,88.0,122.0,131.2,42.0,29.5,3.0,0.0,0.5,4.3,5.2,319209.0,153609.0,1.0,-1.0
PickfordEVEGKP,5.0,8.6%,2.0,15.0,450.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,86.0,107.6,10.0,0.0,11.9,2.0,0.0,0.4,3.0,3.0,387514.0,292101.0,0.0,0.0
KeaneEVEDEF,5.1,5.4%,3.7,24.0,450.0,2.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,111.0,157.4,22.1,76.0,25.6,3.7,1.0,0.7,4.7,4.8,327086.0,115913.0,1.0,-1.0
MinaEVEDEF,5.5,2.1%,3.7,18.0,450.0,1.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,96.0,136.0,3.1,40.0,17.9,3.7,0.0,0.7,3.3,3.6,93220.0,56533.0,0.0,0.0
SchmeichelLEIGKP,5.5,12.4%,2.3,15.0,450.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,81.0,114.4,0.0,0.0,11.5,2.3,0.0,0.4,2.7,3.0,186770.0,295334.0,0.0,0.0
