№,Team,M,W,D,L,G,GA,PTS,xG,NPxG,xGA,NPxGA,NPxGD,PPDA,OPPDA,DC,ODC,xPTS
1,Liverpool,7,5,1,1.0,17.0,15,16,16.71-0.29,14.02,8.47-6.53,6.95,7.07,9.02,21.2,94.0,23.0,15.24-0.76
2,Leicester,7,5,0,2.0,17.0,9,15,11.75-5.25,7.18,8.72-0.28,8.72,-1.53,14.78,12.51,33.0,39.0,11.37-3.63
3,Tottenham,7,4,2,1.0,18.0,9,14,14.14-3.86,12.62,8.14-0.86,5.85,6.76,9.84,16.66,36.0,34.0,13.35-0.65
4,Everton,7,4,1,2.0,15.0,11,13,12.91-2.09,12.15,8.61-2.39,7.85,4.29,10.68,15.22,40.0,50.0,11.58-1.42
5,Southampton,7,4,1,2.0,14.0,12,13,8.36-5.64,7.60,8.91-3.09,8.15,-0.54,9.29,11.31,43.0,36.0,9.46-3.54
6,Wolverhampton Wanderers,7,4,1,2.0,8.0,8,13,6.35-1.65,6.35,9.19+1.19,8.43,-2.09,14.26,13.49,27.0,48.0,8.17-4.83
7,Chelsea,7,3,3,1.0,16.0,9,12,10.51-5.49,7.46,7.63-1.37,7.23,0.23,11.03,17.27,48.0,34.0,11.66-0.34
8,Aston Villa,6,4,0,2.0,15.0,9,12,10.74-4.26,9.98,7.09-1.91,6.33,3.64,9.64,7.04,53.0,51.0,10.62-1.38
9,Arsenal,7,4,0,3.0,9.0,7,12,7.91-1.09,7.15,7.63+0.63,7.63,-0.48,16.98,17.77,49.0,37.0,10.18-1.82
10,Manchester City,6,3,2,1.0,9.0,8,11,9.16+0.16,8.40,7.95-0.05,5.67,2.73,10.16,19.1,53.0,19.0,9.66-1.34
11,Newcastle United,7,3,2,2.0,10.0,11,11,8.83-1.17,6.55,10.56-0.44,9.04,-2.49,21.32,8.5,33.0,49.0,8.80-2.20
12,Leeds,7,3,1,3.0,13.0,13,10,10.96-2.04,10.20,12.85-0.15,9.81,0.39,6.81,12.68,55.0,58.0,8.98-1.02
13,Crystal Palace,7,3,1,3.0,8.0,11,10,8.23+0.23,6.71,10.64-0.36,8.36,-1.65,16.47,6.47,25.0,54.0,8.26-1.74
14,West Ham,7,2,2,3.0,13.0,10,8,10.05-2.95,10.05,8.06-1.94,7.3,2.75,19.63,10.81,22.0,58.0,10.11+2.11
15,Manchester United,6,2,1,3.0,9.0,13,7,6.81-2.19,4.52,10.28-2.72,7.23,-2.71,12.05,10.34,46.0,33.0,6.09-0.91
16,Brighton,7,1,2,4.0,11.0,14,5,9.43-1.57,7.90,8.74-5.26,5.69,2.21,9.15,11.45,41.0,33.0,10.15+5.15
17,Fulham,7,1,1,5.0,7.0,14,4,7.22+0.22,5.69,11.50-2.50,9.98,-4.28,12.29,11.53,28.0,41.0,6.99+2.99
18,West Bromwich Albion,7,0,3,4.0,6.0,16,3,3.25-2.75,3.25,13.68-2.32,12.16,-8.91,16.69,8.96,26.0,37.0,3.38+0.38
19,Sheffield United,7,0,1,6.0,3.0,10,1,7.23+4.23,4.94,10.21+0.21,9.45,-4.5,15.12,12.19,38.0,43.0,7.04+6.04
20,Burnley,6,0,1,5.0,3.0,12,1,4.75+1.75,4.75,6.41-5.59,5.65,-0.9,12.97,10.89,32.0,45.0,6.65+5.65
