Team_Ranking,Team,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS
1,LEI,8,6,0,2.0,18.0,9,18,13.81,7.72,9.30,9.3,-1.58,14.78,13.37,34.0,45.0,13.95
2,TOT,8,5,2,1.0,19.0,9,17,16.01,14.49,8.94,6.65,7.83,9.61,16.64,40.0,40.0,15.56
3,LIV,8,5,2,1.0,18.0,16,17,17.45,14.41,10.04,7.76,6.65,10.37,19.34,101.0,27.0,16.17
4,SOU,8,5,1,2.0,16.0,12,16,9.35,8.59,9.08,8.32,0.27,8.67,11.89,47.0,36.0,11.56
5,CHE,8,4,3,1.0,20.0,10,15,13.36,10.32,7.93,7.93,2.39,11.2,18.4,62.0,38.0,14.38
6,AVL,7,5,0,2.0,18.0,9,15,12.72,11.96,8.48,7.72,4.24,10.24,7.44,69.0,57.0,12.43
7,EVE,8,4,1,3.0,16.0,14,13,13.28,12.52,10.21,9.45,3.07,10.89,14.82,49.0,57.0,12.00
8,CRY,8,4,1,3.0,12.0,12,13,9.53,8.01,11.49,9.21,-1.2,16.94,6.07,33.0,60.0,10.00
9,WOL,8,4,1,3.0,8.0,9,13,6.92,6.92,11.25,8.96,-2.04,15.01,13.65,33.0,49.0,8.44
10,MCI,7,3,3,1.0,10.0,9,12,10.74,9.22,9.14,6.09,3.13,10.32,20.19,57.0,27.0,11.40
11,ARS,8,4,0,4.0,9.0,10,12,9.30,8.54,9.62,9.62,-1.08,16.37,17.2,55.0,53.0,11.12
12,WHU,8,3,2,3.0,14.0,10,11,11.47,11.47,9.91,8.39,3.09,18.47,12.36,28.0,63.0,11.12
13,NEW,8,3,2,3.0,10.0,13,11,9.01,6.72,11.54,10.02,-3.3,20.6,8.03,33.0,53.0,9.34
14,MUN,7,3,1,3.0,12.0,14,10,8.40,6.12,10.65,7.61,-1.49,12.08,10.59,53.0,42.0,8.47
15,LEE,8,3,1,4.0,14.0,17,10,11.81,11.05,14.15,11.11,-0.06,6.35,13.44,61.0,66.0,9.94
16,BHA,8,1,3,4.0,11.0,14,6,11.02,9.49,9.06,6.02,3.48,9.25,11.7,57.0,35.0,12.54
17,FUL,8,1,1,6.0,7.0,15,4,9.07,6.78,12.92,11.4,-4.62,13.62,11.49,33.0,47.0,8.71
18,WBA,8,0,3,5.0,6.0,17,3,4.05,4.05,15.55,14.03,-9.98,16.66,8.81,32.0,41.0,3.96
19,BUR,7,0,2,5.0,3.0,12,2,5.08,5.08,8.00,7.24,-2.16,13.08,10.75,34.0,61.0,7.05
20,SHU,8,0,1,7.0,4.0,14,1,7.97,5.69,13.08,12.32,-6.64,16.4,12.41,43.0,57.0,7.22
