Player,Season,Gameweek,Opponent,Team,Home,Role,Cost,Sel.,Form,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form.1,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall,Player_Appearances,Player_NPG,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90,Team_Ranking,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS,Opp_Ranking,Opp_Avg_G,Opp_Avg_GA,Opp_Avg_PTS,Opp_Avg_xG,Opp_Avg_NPxG,Opp_Avg_xGA,Opp_Avg_NPxGA,Opp_Avg_NPxGD,Opp_Avg_PPDA,Opp_Avg_OPPDA,Opp_Avg_DC,Opp_Avg_ODC,Opp_Avg_xPTS,Pts.
Oriol Romeu,21,6,EVE,SOU,1,MID,4.5,4.30%,5,410,1,0,2,6,0,0,0,2,0,0,3,60,105.6,36.2,28,17,5,0,1.1,3.8,3.4,182308,177012,0,0,5,1,0.11,0.11,0.05,1.54,1.44,0.02,0.02,0.01,0.03,0.03,0.33,0.31,12,5,2,1,2,8,9,7,6.62,5.86,6.17,6.17,-0.31,8.73,12.09,35,25,7.27,1,2.8,1.4,2.6,2.28,2.128,1.048,1.048,1.08,2.154,2.744,5.2,7.8,2.074,3
McCarthy,21,6,EVE,SOU,1,GKP,4.5,18.90%,5.3,450,0,0,2,9,0,0,0,0,0,10,2,90,90.2,0,0,9.1,5.3,1,1.2,4,3.6,410697,578643,0,0,5,0,0,0,0,0.79,0.79,0,0,0,0,0,0.16,0.16,12,5,2,1,2,8,9,7,6.62,5.86,6.17,6.17,-0.31,8.73,12.09,35,25,7.27,1,2.8,1.4,2.6,2.28,2.128,1.048,1.048,1.08,2.154,2.744,5.2,7.8,2.074,6
Bertrand,21,6,EVE,SOU,1,DEF,5,1.30%,5,450,0,0,2,9,0,0,0,1,0,0,2,75,61,69,33,16.2,5,0,1,3.2,3.2,34044,46603,0,0,5,0,0.06,0.06,0.27,1.39,1.24,0.01,0.01,0.05,0.07,0.07,0.28,0.25,12,5,2,1,2,8,9,7,6.62,5.86,6.17,6.17,-0.31,8.73,12.09,35,25,7.27,1,2.8,1.4,2.6,2.28,2.128,1.048,1.048,1.08,2.154,2.744,5.2,7.8,2.074,6
Walker-Peters,21,6,EVE,SOU,1,DEF,4.5,10.70%,4,450,0,1,2,9,0,0,0,2,0,0,0,89,99,48.9,32,18,4,0,0.9,3.6,3.2,341305,374978,0,0,5,0,0.16,0.16,0.48,1.37,0.98,0.03,0.03,0.1,0.13,0.13,0.27,0.2,12,5,2,1,2,8,9,7,6.62,5.86,6.17,6.17,-0.31,8.73,12.09,35,25,7.27,1,2.8,1.4,2.6,2.28,2.128,1.048,1.048,1.08,2.154,2.744,5.2,7.8,2.074,5
Ward-Prowse,21,6,EVE,SOU,1,MID,5.8,1.90%,2.7,450,0,0,2,9,0,0,0,0,0,0,0,68,54.6,98.9,37,19.1,2.7,0,0.5,2.1,2.4,27203,191183,-2,2,5,0,0.26,0.26,0.36,0.92,0.78,0.05,0.05,0.07,0.12,0.12,0.18,0.16,12,5,2,1,2,8,9,7,6.62,5.86,6.17,6.17,-0.31,8.73,12.09,35,25,7.27,1,2.8,1.4,2.6,2.28,2.128,1.048,1.048,1.08,2.154,2.744,5.2,7.8,2.074,11
Ings,21,6,EVE,SOU,1,FWD,8.5,18.10%,6,450,4,0,2,9,0,0,0,0,0,0,5,124,157,43.9,208,40.9,6,0,0.7,3.6,6.2,557090,908748,0,0,5,3,2.3,1.54,0.18,1.97,0.28,0.46,0.31,0.04,0.5,0.34,0.39,0.06,12,5,2,1,2,8,9,7,6.62,5.86,6.17,6.17,-0.31,8.73,12.09,35,25,7.27,1,2.8,1.4,2.6,2.28,2.128,1.048,1.048,1.08,2.154,2.744,5.2,7.8,2.074,10
Adams,21,6,EVE,SOU,1,FWD,5.8,1.70%,6,407,1,2,2,8,0,0,0,1,0,0,2,57,93.2,65,179,33.8,6,1,1,3.6,4.2,75182,256709,-2,2,5,1,2.96,2.96,0.98,2.75,0.32,0.63,0.63,0.21,0.84,0.84,0.59,0.07,12,5,2,1,2,8,9,7,6.62,5.86,6.17,6.17,-0.31,8.73,12.09,35,25,7.27,1,2.8,1.4,2.6,2.28,2.128,1.048,1.048,1.08,2.154,2.744,5.2,7.8,2.074,8
Bednarek,21,6,EVE,SOU,1,DEF,4.5,2.10%,5,405,0,0,2,9,0,0,0,0,0,0,2,89,69.8,14.4,21,10.5,5,0,1.1,3.6,3.2,35090,90337,0,0,5,0,0.1,0.1,0.04,1.13,1.09,0.02,0.02,0.01,0.03,0.03,0.25,0.24,12,5,2,1,2,8,9,7,6.62,5.86,6.17,6.17,-0.31,8.73,12.09,35,25,7.27,1,2.8,1.4,2.6,2.28,2.128,1.048,1.048,1.08,2.154,2.744,5.2,7.8,2.074,6
Vestergaard,21,6,EVE,SOU,1,DEF,4.5,1.50%,6.7,315,1,0,2,3,0,0,0,0,0,0,1,96,107.6,14.1,23,14.5,6.7,0,1.5,4.7,5.2,74323,24649,0,0,4,1,0.02,0.02,0.51,0.85,0.85,0.01,0.01,0.15,0.15,0.15,0.24,0.24,12,5,2,1,2,8,9,7,6.62,5.86,6.17,6.17,-0.31,8.73,12.09,35,25,7.27,1,2.8,1.4,2.6,2.28,2.128,1.048,1.048,1.08,2.154,2.744,5.2,7.8,2.074,6
Armstrong,21,6,EVE,SOU,1,MID,5.5,0.20%,3,247,0,1,2,3,0,0,0,0,0,0,0,34,37.2,48.8,27,11.3,3,0,0.5,2,3.7,6333,19411,0,0,3,0,0.18,0.18,0.23,0.49,0.33,0.07,0.07,0.08,0.15,0.15,0.17,0.12,12,5,2,1,2,8,9,7,6.62,5.86,6.17,6.17,-0.31,8.73,12.09,35,25,7.27,1,2.8,1.4,2.6,2.28,2.128,1.048,1.048,1.08,2.154,2.744,5.2,7.8,2.074,3
