Player,Season,Gameweek,Opponent,Team,Home,Cost,Role,Sel.,Form,Cum Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form.1,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall,Player_Appearances,Player_NPG,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90,Team_Ranking,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS,Opp_Ranking,Opp_Avg_G,Opp_Avg_GA,Opp_Avg_PTS,Opp_Avg_xG,Opp_Avg_NPxG,Opp_Avg_xGA,Opp_Avg_NPxGA,Opp_Avg_NPxGD,Opp_Avg_PPDA,Opp_Avg_OPPDA,Opp_Avg_DC,Opp_Avg_ODC,Opp_Avg_xPTS,Pts.
Ederson,21,18,BHA,MCI,1.0,6.0,GKP,5.3%,4.0,57.0,1260.0,0.0,0.0,7.0,12.0,0.0,0.0,0.0,1.0,0.0,25.0,1.0,254.0,222.2,0.0,0.0,22.3,4.0,0.0,0.7,9.5,4.1,325966.0,358691.0,0.0,0.0,14,0.0,0.0,0.0,0.0,2.63,2.63,0.0,0.0,0.0,0.0,0.0,0.19,0.19,5,15,8,5,2.0,24.0,13,29,29.33,27.05,12.89,9.84,17.21,10.51,19.95,157.0,53.0,31.43,17,1.2352941176470589,1.6470588235294117,0.8235294117647058,1.5141176470588233,1.2452941176470589,1.2152941176470589,0.9470588235294118,0.2988235294117647,0.5758823529411764,0.7635294117647059,7.0,4.529411764705882,1.5629411764705883,6.0
Bernardo Silva,21,18,BHA,MCI,1.0,7.4,MID,0.5%,1.4,19.0,642.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,94.0,77.0,113.4,134.0,32.6,1.4,0.0,0.2,2.6,2.1,55670.0,83965.0,-1.0,1.0,9,0.0,1.31,1.31,0.97,6.29,4.32,0.18,0.18,0.14,0.32,0.32,0.88,0.6,5,15,8,5,2.0,24.0,13,29,29.33,27.05,12.89,9.84,17.21,10.51,19.95,157.0,53.0,31.43,17,1.2352941176470589,1.6470588235294117,0.8235294117647058,1.5141176470588233,1.2452941176470589,1.2152941176470589,0.9470588235294118,0.2988235294117647,0.5758823529411764,0.7635294117647059,7.0,4.529411764705882,1.5629411764705883,3.0
Fernandinho,21,18,BHA,MCI,1.0,5.4,DEF,0.7%,1.4,13.0,337.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,68.0,49.4,21.7,43.0,11.5,1.4,0.0,0.3,2.4,1.6,48807.0,97521.0,-1.0,1.0,8,0.0,0.59,0.59,0.0,2.77,2.7,0.16,0.16,0.0,0.16,0.16,0.75,0.74,5,15,8,5,2.0,24.0,13,29,29.33,27.05,12.89,9.84,17.21,10.51,19.95,157.0,53.0,31.43,17,1.2352941176470589,1.6470588235294117,0.8235294117647058,1.5141176470588233,1.2452941176470589,1.2152941176470589,0.9470588235294118,0.2988235294117647,0.5758823529411764,0.7635294117647059,7.0,4.529411764705882,1.5629411764705883,0.0
De Bruyne,21,18,BHA,MCI,1.0,11.6,MID,23.0%,5.6,81.0,1187.0,3.0,8.0,7.0,11.0,0.0,0.0,1.0,1.0,0.0,0.0,11.0,302.0,426.6,649.6,516.0,159.4,5.6,2.0,0.5,7.0,5.8,3199949.0,3601676.0,1.0,-1.0,14,1.0,6.71,4.43,6.99,14.08,7.01,0.51,0.34,0.53,1.04,0.86,1.07,0.53,5,15,8,5,2.0,24.0,13,29,29.33,27.05,12.89,9.84,17.21,10.51,19.95,157.0,53.0,31.43,17,1.2352941176470589,1.6470588235294117,0.8235294117647058,1.5141176470588233,1.2452941176470589,1.2152941176470589,0.9470588235294118,0.2988235294117647,0.5758823529411764,0.7635294117647059,7.0,4.529411764705882,1.5629411764705883,6.0
Sterling,21,18,BHA,MCI,1.0,11.4,MID,5.1%,5.8,76.0,1179.0,4.0,5.0,6.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,212.0,286.4,258.6,592.0,113.7,5.8,1.0,0.5,6.7,5.4,934809.0,904048.0,-1.0,1.0,14,4.0,4.17,4.17,3.35,12.24,7.73,0.32,0.32,0.26,0.57,0.57,0.93,0.59,5,15,8,5,2.0,24.0,13,29,29.33,27.05,12.89,9.84,17.21,10.51,19.95,157.0,53.0,31.43,17,1.2352941176470589,1.6470588235294117,0.8235294117647058,1.5141176470588233,1.2452941176470589,1.2152941176470589,0.9470588235294118,0.2988235294117647,0.5758823529411764,0.7635294117647059,7.0,4.529411764705882,1.5629411764705883,-1.0
Walker,21,18,BHA,MCI,1.0,6.1,DEF,5.8%,3.2,55.0,992.0,1.0,1.0,5.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,223.0,195.0,105.1,72.0,37.1,3.2,2.0,0.5,9.0,4.6,895174.0,949158.0,1.0,-1.0,12,1.0,0.17,0.17,0.37,5.08,4.84,0.02,0.02,0.03,0.05,0.05,0.46,0.44,5,15,8,5,2.0,24.0,13,29,29.33,27.05,12.89,9.84,17.21,10.51,19.95,157.0,53.0,31.43,17,1.2352941176470589,1.6470588235294117,0.8235294117647058,1.5141176470588233,1.2452941176470589,1.2152941176470589,0.9470588235294118,0.2988235294117647,0.5758823529411764,0.7635294117647059,7.0,4.529411764705882,1.5629411764705883,0.0
Cancelo,21,18,BHA,MCI,1.0,5.7,DEF,10.3%,4.8,55.0,990.0,0.0,1.0,6.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,10.0,245.0,222.4,334.3,112.0,67.0,4.8,0.0,0.8,9.6,5.0,880991.0,309217.0,2.0,-2.0,11,0.0,0.28,0.28,2.7,9.66,7.94,0.03,0.03,0.25,0.27,0.27,0.88,0.72,5,15,8,5,2.0,24.0,13,29,29.33,27.05,12.89,9.84,17.21,10.51,19.95,157.0,53.0,31.43,17,1.2352941176470589,1.6470588235294117,0.8235294117647058,1.5141176470588233,1.2452941176470589,1.2152941176470589,0.9470588235294118,0.2988235294117647,0.5758823529411764,0.7635294117647059,7.0,4.529411764705882,1.5629411764705883,6.0
Mahrez,21,18,BHA,MCI,1.0,8.1,MID,3.9%,1.0,54.0,768.0,4.0,1.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,186.0,238.6,330.2,387.0,95.5,1.0,2.0,0.1,6.7,4.9,1440805.0,1346999.0,-4.0,4.0,11,4.0,3.2,3.2,2.85,7.91,3.05,0.37,0.37,0.33,0.7,0.7,0.92,0.36,5,15,8,5,2.0,24.0,13,29,29.33,27.05,12.89,9.84,17.21,10.51,19.95,157.0,53.0,31.43,17,1.2352941176470589,1.6470588235294117,0.8235294117647058,1.5141176470588233,1.2452941176470589,1.2152941176470589,0.9470588235294118,0.2988235294117647,0.5758823529411764,0.7635294117647059,7.0,4.529411764705882,1.5629411764705883,3.0
Gündogan,21,18,BHA,MCI,1.0,5.4,MID,0.9%,6.6,45.0,734.0,3.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,172.0,218.2,209.0,161.0,58.8,6.6,2.0,1.2,8.3,4.5,71885.0,57827.0,-1.0,1.0,10,3.0,2.07,2.07,0.79,5.69,3.16,0.25,0.25,0.1,0.35,0.35,0.7,0.39,5,15,8,5,2.0,24.0,13,29,29.33,27.05,12.89,9.84,17.21,10.51,19.95,157.0,53.0,31.43,17,1.2352941176470589,1.6470588235294117,0.8235294117647058,1.5141176470588233,1.2452941176470589,1.2152941176470589,0.9470588235294118,0.2988235294117647,0.5758823529411764,0.7635294117647059,7.0,4.529411764705882,1.5629411764705883,3.0
Stones,21,18,BHA,MCI,1.0,5.0,DEF,5.7%,4.8,38.0,630.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,161.0,135.0,22.6,16.0,17.4,4.8,0.0,1.0,7.6,5.4,448850.0,100945.0,0.0,0.0,7,0.0,0.37,0.37,0.01,3.35,3.35,0.05,0.05,0.0,0.05,0.05,0.48,0.48,5,15,8,5,2.0,24.0,13,29,29.33,27.05,12.89,9.84,17.21,10.51,19.95,157.0,53.0,31.43,17,1.2352941176470589,1.6470588235294117,0.8235294117647058,1.5141176470588233,1.2452941176470589,1.2152941176470589,0.9470588235294118,0.2988235294117647,0.5758823529411764,0.7635294117647059,7.0,4.529411764705882,1.5629411764705883,6.0
