Player,Season,Gameweek,Opponent,Team,Home,Role,Cost,Sel.,Form,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form.1,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall,Player_Appearances,Player_NPG,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90,Team_Ranking,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS,Opp_Ranking,Opp_Avg_G,Opp_Avg_GA,Opp_Avg_PTS,Opp_Avg_xG,Opp_Avg_NPxG,Opp_Avg_xGA,Opp_Avg_NPxGA,Opp_Avg_NPxGD,Opp_Avg_PPDA,Opp_Avg_OPPDA,Opp_Avg_DC,Opp_Avg_ODC,Opp_Avg_xPTS,Pts.
Oriol Romeu,21,6,EVE,SOU,1,MID,4.5,4.3%,5.0,410.0,1.0,0.0,2.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,60.0,105.6,36.2,28.0,17.0,5.0,0.0,1.1,3.8,3.4,182308.0,177012.0,0.0,0.0,5,1.0,0.11,0.11,0.05,1.54,1.44,0.02,0.02,0.01,0.03,0.03,0.33,0.31,12,5,2,1,2.0,8.0,9,7,6.62,5.86,6.17,6.17,-0.31,8.73,12.09,35.0,25.0,7.27,1,2.8,1.4,2.6,2.2800000000000002,2.128,1.048,1.048,1.08,2.154,2.744,5.2,7.8,2.074,3.0
McCarthy,21,6,EVE,SOU,1,GKP,4.5,18.9%,5.3,450.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,90.0,90.2,0.0,0.0,9.1,5.3,1.0,1.2,4.0,3.6,410697.0,578643.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.79,0.79,0.0,0.0,0.0,0.0,0.0,0.16,0.16,12,5,2,1,2.0,8.0,9,7,6.62,5.86,6.17,6.17,-0.31,8.73,12.09,35.0,25.0,7.27,1,2.8,1.4,2.6,2.2800000000000002,2.128,1.048,1.048,1.08,2.154,2.744,5.2,7.8,2.074,6.0
Bertrand,21,6,EVE,SOU,1,DEF,5.0,1.3%,5.0,450.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,75.0,61.0,69.0,33.0,16.2,5.0,0.0,1.0,3.2,3.2,34044.0,46603.0,0.0,0.0,5,0.0,0.06,0.06,0.27,1.39,1.24,0.01,0.01,0.05,0.07,0.07,0.28,0.25,12,5,2,1,2.0,8.0,9,7,6.62,5.86,6.17,6.17,-0.31,8.73,12.09,35.0,25.0,7.27,1,2.8,1.4,2.6,2.2800000000000002,2.128,1.048,1.048,1.08,2.154,2.744,5.2,7.8,2.074,6.0
Walker-Peters,21,6,EVE,SOU,1,DEF,4.5,10.7%,4.0,450.0,0.0,1.0,2.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,89.0,99.0,48.9,32.0,18.0,4.0,0.0,0.9,3.6,3.2,341305.0,374978.0,0.0,0.0,5,0.0,0.16,0.16,0.48,1.37,0.98,0.03,0.03,0.1,0.13,0.13,0.27,0.2,12,5,2,1,2.0,8.0,9,7,6.62,5.86,6.17,6.17,-0.31,8.73,12.09,35.0,25.0,7.27,1,2.8,1.4,2.6,2.2800000000000002,2.128,1.048,1.048,1.08,2.154,2.744,5.2,7.8,2.074,5.0
Ward-Prowse,21,6,EVE,SOU,1,MID,5.8,1.9%,2.7,450.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,54.6,98.9,37.0,19.1,2.7,0.0,0.5,2.1,2.4,27203.0,191183.0,-2.0,2.0,5,0.0,0.26,0.26,0.36,0.92,0.78,0.05,0.05,0.07,0.12,0.12,0.18,0.16,12,5,2,1,2.0,8.0,9,7,6.62,5.86,6.17,6.17,-0.31,8.73,12.09,35.0,25.0,7.27,1,2.8,1.4,2.6,2.2800000000000002,2.128,1.048,1.048,1.08,2.154,2.744,5.2,7.8,2.074,11.0
Ings,21,6,EVE,SOU,1,FWD,8.5,18.1%,6.0,450.0,4.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,124.0,157.0,43.9,208.0,40.9,6.0,0.0,0.7,3.6,6.2,557090.0,908748.0,0.0,0.0,5,3.0,2.3,1.54,0.18,1.97,0.28,0.46,0.31,0.04,0.5,0.34,0.39,0.06,12,5,2,1,2.0,8.0,9,7,6.62,5.86,6.17,6.17,-0.31,8.73,12.09,35.0,25.0,7.27,1,2.8,1.4,2.6,2.2800000000000002,2.128,1.048,1.048,1.08,2.154,2.744,5.2,7.8,2.074,10.0
Adams,21,6,EVE,SOU,1,FWD,5.8,1.7%,6.0,407.0,1.0,2.0,2.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,57.0,93.2,65.0,179.0,33.8,6.0,1.0,1.0,3.6,4.2,75182.0,256709.0,-2.0,2.0,5,1.0,2.96,2.96,0.98,2.75,0.32,0.63,0.63,0.21,0.84,0.84,0.59,0.07,12,5,2,1,2.0,8.0,9,7,6.62,5.86,6.17,6.17,-0.31,8.73,12.09,35.0,25.0,7.27,1,2.8,1.4,2.6,2.2800000000000002,2.128,1.048,1.048,1.08,2.154,2.744,5.2,7.8,2.074,8.0
Bednarek,21,6,EVE,SOU,1,DEF,4.5,2.1%,5.0,405.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,89.0,69.8,14.4,21.0,10.5,5.0,0.0,1.1,3.6,3.2,35090.0,90337.0,0.0,0.0,5,0.0,0.1,0.1,0.04,1.13,1.09,0.02,0.02,0.01,0.03,0.03,0.25,0.24,12,5,2,1,2.0,8.0,9,7,6.62,5.86,6.17,6.17,-0.31,8.73,12.09,35.0,25.0,7.27,1,2.8,1.4,2.6,2.2800000000000002,2.128,1.048,1.048,1.08,2.154,2.744,5.2,7.8,2.074,6.0
Vestergaard,21,6,EVE,SOU,1,DEF,4.5,1.5%,6.7,315.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,96.0,107.6,14.1,23.0,14.5,6.7,0.0,1.5,4.7,5.2,74323.0,24649.0,0.0,0.0,4,1.0,0.02,0.02,0.51,0.85,0.85,0.01,0.01,0.15,0.15,0.15,0.24,0.24,12,5,2,1,2.0,8.0,9,7,6.62,5.86,6.17,6.17,-0.31,8.73,12.09,35.0,25.0,7.27,1,2.8,1.4,2.6,2.2800000000000002,2.128,1.048,1.048,1.08,2.154,2.744,5.2,7.8,2.074,6.0
Armstrong,21,6,EVE,SOU,1,MID,5.5,0.2%,3.0,247.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,37.2,48.8,27.0,11.3,3.0,0.0,0.5,2.0,3.7,6333.0,19411.0,0.0,0.0,3,0.0,0.18,0.18,0.23,0.49,0.33,0.07,0.07,0.08,0.15,0.15,0.17,0.12,12,5,2,1,2.0,8.0,9,7,6.62,5.86,6.17,6.17,-0.31,8.73,12.09,35.0,25.0,7.27,1,2.8,1.4,2.6,2.2800000000000002,2.128,1.048,1.048,1.08,2.154,2.744,5.2,7.8,2.074,3.0
