Player,Season,Gameweek,Opponent,Team,Home,Cost,Role,Sel.,Form,Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form.1,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall,Player_Appearances,Player_NPG,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90,Team_Ranking,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS,Opp_Ranking,Opp_Avg_G,Opp_Avg_GA,Opp_Avg_PTS,Opp_Avg_xG,Opp_Avg_NPxG,Opp_Avg_xGA,Opp_Avg_NPxGA,Opp_Avg_NPxGD,Opp_Avg_PPDA,Opp_Avg_OPPDA,Opp_Avg_DC,Opp_Avg_ODC,Opp_Avg_xPTS
Ederson,21,19,CRY,MCI,1,6.0,GKP,6.6,3.6,6.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,232.8,0.0,0.0,23.4,3.6,0.0,0.6,11.5,4.3,62437.0,13772.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.020000000000000018,0.020000000000000018,0.0,0.0,0.0,0.0,0.0,0.2,0.2,2.0,1.0,1.0,0.0,0.0,4.0,0.0,3.0,0.9600000000000009,0.9600000000000009,0.049999999999998934,0.05000000000000071,0.9100000000000001,-0.4299999999999997,1.0199999999999996,5.0,3.0,2.270000000000003,13,1.1578947368421053,1.736842105263158,1.2105263157894737,0.9994736842105262,0.9194736842105262,1.461578947368421,1.3015789473684212,-0.3821052631578947,0.8947368421052632,0.38421052631578945,5.631578947368421,6.578947368421052,1.1421052631578947
Bernardo Silva,21,19,CRY,MCI,1,7.4,MID,0.7,1.6,1.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,90.4,149.0,150.0,39.1,1.6,0.0,0.2,3.1,2.1,4006.0,2825.0,-1.0,1.0,11.0,0.0,0.0,0.0,0.0,0.04999999999999982,0.05000000000000071,0.17,0.17,0.19,0.35,0.35,0.83,0.56,2.0,1.0,1.0,0.0,0.0,4.0,0.0,3.0,0.9600000000000009,0.9600000000000009,0.049999999999998934,0.05000000000000071,0.9100000000000001,-0.4299999999999997,1.0199999999999996,5.0,3.0,2.270000000000003,13,1.1578947368421053,1.736842105263158,1.2105263157894737,0.9994736842105262,0.9194736842105262,1.461578947368421,1.3015789473684212,-0.3821052631578947,0.8947368421052632,0.38421052631578945,5.631578947368421,6.578947368421052,1.1421052631578947
Fernandinho,21,19,CRY,MCI,1,5.4,DEF,0.7,1.6,6.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,59.8,29.8,45.0,13.6,1.6,0.0,0.3,3.5,2.1,1068.0,1082.0,-1.0,1.0,9.0,0.0,0.0,0.0,0.0,0.1299999999999999,0.1299999999999999,0.13,0.13,0.0,0.13,0.13,0.62,0.61,2.0,1.0,1.0,0.0,0.0,4.0,0.0,3.0,0.9600000000000009,0.9600000000000009,0.049999999999998934,0.05000000000000071,0.9100000000000001,-0.4299999999999997,1.0199999999999996,5.0,3.0,2.270000000000003,13,1.1578947368421053,1.736842105263158,1.2105263157894737,0.9994736842105262,0.9194736842105262,1.461578947368421,1.3015789473684212,-0.3821052631578947,0.8947368421052632,0.38421052631578945,5.631578947368421,6.578947368421052,1.1421052631578947
De Bruyne,21,19,CRY,MCI,1,11.9,MID,31.3,5.8,7.0,70.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.0,504.6,756.4,636.0,189.9,5.8,0.0,0.5,7.9,5.9,330841.0,25762.0,4.0,-4.0,16.0,0.0,0.11000000000000032,0.10999999999999943,0.45999999999999996,0.129999999999999,0.08999999999999986,0.52,0.37,0.51,1.04,0.88,1.01,0.52,2.0,1.0,1.0,0.0,0.0,4.0,0.0,3.0,0.9600000000000009,0.9600000000000009,0.049999999999998934,0.05000000000000071,0.9100000000000001,-0.4299999999999997,1.0199999999999996,5.0,3.0,2.270000000000003,13,1.1578947368421053,1.736842105263158,1.2105263157894737,0.9994736842105262,0.9194736842105262,1.461578947368421,1.3015789473684212,-0.3821052631578947,0.8947368421052632,0.38421052631578945,5.631578947368421,6.578947368421052,1.1421052631578947
Dias,21,19,CRY,MCI,1,5.8,DEF,11.6,5.2,11.0,90.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,38.0,293.4,27.7,122.0,44.4,5.2,1.0,0.9,12.1,4.7,168125.0,23556.0,3.0,-3.0,15.0,0.0,0.04999999999999982,0.04999999999999982,0.0,0.08000000000000007,0.08000000000000007,0.08,0.08,0.0,0.08,0.08,0.51,0.5,2.0,1.0,1.0,0.0,0.0,4.0,0.0,3.0,0.9600000000000009,0.9600000000000009,0.049999999999998934,0.05000000000000071,0.9100000000000001,-0.4299999999999997,1.0199999999999996,5.0,3.0,2.270000000000003,13,1.1578947368421053,1.736842105263158,1.2105263157894737,0.9994736842105262,0.9194736842105262,1.461578947368421,1.3015789473684212,-0.3821052631578947,0.8947368421052632,0.38421052631578945,5.631578947368421,6.578947368421052,1.1421052631578947
Sterling,21,19,CRY,MCI,1,11.4,MID,4.3,3.6,8.0,90.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,328.2,265.1,655.0,124.6,3.6,0.0,0.3,7.3,5.2,25122.0,24589.0,-1.0,1.0,16.0,1.0,0.1200000000000001,0.11999999999999922,0.0,0.06999999999999851,0.0699999999999994,0.36,0.31,0.24,0.6,0.54,0.87,0.55,2.0,1.0,1.0,0.0,0.0,4.0,0.0,3.0,0.9600000000000009,0.9600000000000009,0.049999999999998934,0.05000000000000071,0.9100000000000001,-0.4299999999999997,1.0199999999999996,5.0,3.0,2.270000000000003,13,1.1578947368421053,1.736842105263158,1.2105263157894737,0.9994736842105262,0.9194736842105262,1.461578947368421,1.3015789473684212,-0.3821052631578947,0.8947368421052632,0.38421052631578945,5.631578947368421,6.578947368421052,1.1421052631578947
Cancelo,21,19,CRY,MCI,1,5.8,DEF,12.7,3.2,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,242.4,357.2,145.0,74.6,3.2,0.0,0.6,10.7,4.8,136530.0,59767.0,3.0,-3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.25,0.29,0.29,0.83,0.69,2.0,1.0,1.0,0.0,0.0,4.0,0.0,3.0,0.9600000000000009,0.9600000000000009,0.049999999999998934,0.05000000000000071,0.9100000000000001,-0.4299999999999997,1.0199999999999996,5.0,3.0,2.270000000000003,13,1.1578947368421053,1.736842105263158,1.2105263157894737,0.9994736842105262,0.9194736842105262,1.461578947368421,1.3015789473684212,-0.3821052631578947,0.8947368421052632,0.38421052631578945,5.631578947368421,6.578947368421052,1.1421052631578947
Walker,21,19,CRY,MCI,1,6.1,DEF,6.0,1.2,6.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,200.4,111.5,72.0,38.3,1.2,0.0,0.2,10.0,4.7,10099.0,13651.0,1.0,-1.0,13.0,0.0,0.0,0.0,0.0,0.08999999999999986,0.08999999999999986,0.01,0.01,0.03,0.04,0.04,0.43,0.41,2.0,1.0,1.0,0.0,0.0,4.0,0.0,3.0,0.9600000000000009,0.9600000000000009,0.049999999999998934,0.05000000000000071,0.9100000000000001,-0.4299999999999997,1.0199999999999996,5.0,3.0,2.270000000000003,13,1.1578947368421053,1.736842105263158,1.2105263157894737,0.9994736842105262,0.9194736842105262,1.461578947368421,1.3015789473684212,-0.3821052631578947,0.8947368421052632,0.38421052631578945,5.631578947368421,6.578947368421052,1.1421052631578947
Gündogan,21,19,CRY,MCI,1,5.5,MID,3.4,6.2,8.0,70.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,266.2,254.0,214.0,73.4,6.2,0.0,1.1,10.2,4.7,78237.0,18950.0,0.0,0.0,12.0,1.0,0.16999999999999993,0.16999999999999993,0.09000000000000008,0.1200000000000001,0.11000000000000032,0.24,0.24,0.12,0.36,0.36,0.7,0.43,2.0,1.0,1.0,0.0,0.0,4.0,0.0,3.0,0.9600000000000009,0.9600000000000009,0.049999999999998934,0.05000000000000071,0.9100000000000001,-0.4299999999999997,1.0199999999999996,5.0,3.0,2.270000000000003,13,1.1578947368421053,1.736842105263158,1.2105263157894737,0.9994736842105262,0.9194736842105262,1.461578947368421,1.3015789473684212,-0.3821052631578947,0.8947368421052632,0.38421052631578945,5.631578947368421,6.578947368421052,1.1421052631578947
Mahrez,21,19,CRY,MCI,1,8.1,MID,3.5,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.8,372.1,395.0,101.2,0.8,0.0,0.1,7.0,4.8,9627.0,33923.0,-4.0,4.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.37,0.33,0.7,0.7,0.97,0.39,2.0,1.0,1.0,0.0,0.0,4.0,0.0,3.0,0.9600000000000009,0.9600000000000009,0.049999999999998934,0.05000000000000071,0.9100000000000001,-0.4299999999999997,1.0199999999999996,5.0,3.0,2.270000000000003,13,1.1578947368421053,1.736842105263158,1.2105263157894737,0.9994736842105262,0.9194736842105262,1.461578947368421,1.3015789473684212,-0.3821052631578947,0.8947368421052632,0.38421052631578945,5.631578947368421,6.578947368421052,1.1421052631578947
