Player,Season,Gameweek,Opponent,Team,Cost,Role,Sel.,Form,Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form.1,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall,Player_Appearances,Player_NPG,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90,Team_Ranking,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS
Oriol Romeu,21,9,wol,SOU,4.5,MID,4.5,2.2,2.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,185.4,103.2,69.0,35.7,2.2,0.0,0.5,5.8,2.9,28094.0,31235.0,0.0,0.0,9,0.0,0.020000000000000018,0.020000000000000018,0.04999999999999999,0.43000000000000016,0.41000000000000014,0.03,0.03,0.03,0.06,0.06,0.32,0.29,5,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.08,1.08,1.58,1.58,-0.5,0.3200000000000003,0.05999999999999872,10.0,5.0,0.9599999999999991
McCarthy,21,9,wol,SOU,4.5,GKP,20.2,5.5,7.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,24.0,237.0,0.0,0.0,23.8,5.5,0.0,1.2,8.9,4.4,64005.0,38800.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.49,0.49,0.0,0.0,0.0,0.0,0.0,0.16,0.16,5,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.08,1.08,1.58,1.58,-0.5,0.3200000000000003,0.05999999999999872,10.0,5.0,0.9599999999999991
Walker-Peters,21,9,wol,SOU,4.6,DEF,12.0,4.5,3.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.0,172.8,56.9,54.0,28.5,4.5,0.0,1.0,7.4,3.8,76883.0,29389.0,1.0,-1.0,9,0.0,0.0,0.0,0.0,0.46999999999999975,0.47,0.02,0.02,0.05,0.08,0.08,0.29,0.24,5,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.08,1.08,1.58,1.58,-0.5,0.3200000000000003,0.05999999999999872,10.0,5.0,0.9599999999999991
Ward-Prowse,21,9,wol,SOU,6.0,MID,6.7,8.2,2.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,232.4,212.5,71.0,51.6,8.2,0.0,1.4,7.5,5.0,56819.0,129083.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.49,0.49,0.07,0.07,0.11,0.19,0.19,0.26,0.22,5,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.08,1.08,1.58,1.58,-0.5,0.3200000000000003,0.05999999999999872,10.0,5.0,0.9599999999999991
Adams,21,9,wol,SOU,5.9,FWD,4.8,6.8,7.0,90.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,23.0,208.0,134.2,291.0,63.4,6.8,0.0,1.2,8.1,5.3,82905.0,39226.0,-1.0,1.0,9,0.0,0.11999999999999966,0.11999999999999966,0.8799999999999999,1.0099999999999998,0.06999999999999995,0.4,0.4,0.23,0.63,0.63,0.53,0.08,5,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.08,1.08,1.58,1.58,-0.5,0.3200000000000003,0.05999999999999872,10.0,5.0,0.9599999999999991
Bednarek,21,9,wol,SOU,4.5,DEF,1.9,3.8,2.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,136.8,14.8,58.0,20.9,3.8,0.0,0.8,6.9,3.4,7697.0,5579.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.16999999999999993,0.16999999999999993,0.03,0.03,0.0,0.03,0.03,0.22,0.21,5,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.08,1.08,1.58,1.58,-0.5,0.3200000000000003,0.05999999999999872,10.0,5.0,0.9599999999999991
Bertrand,21,9,wol,SOU,5.0,DEF,1.0,2.5,2.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,89.4,126.6,41.0,25.7,2.5,0.0,0.5,5.2,3.2,455.0,10680.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.17999999999999994,0.16999999999999993,0.01,0.01,0.06,0.07,0.07,0.24,0.22,5,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.08,1.08,1.58,1.58,-0.5,0.3200000000000003,0.05999999999999872,10.0,5.0,0.9599999999999991
Vestergaard,21,9,wol,SOU,4.7,DEF,9.8,5.2,2.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,240.6,26.9,71.0,33.9,5.2,0.0,1.1,8.9,5.2,178867.0,27152.0,2.0,-2.0,8,0.0,0.0,0.0,0.0,0.1100000000000001,0.1100000000000001,0.07,0.07,0.08,0.15,0.15,0.18,0.18,5,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.08,1.08,1.58,1.58,-0.5,0.3200000000000003,0.05999999999999872,10.0,5.0,0.9599999999999991
Ings,21,9,wol,SOU,8.3,FWD,6.2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.8,84.7,234.0,57.0,4.0,0.0,0.5,5.7,6.7,1171.0,208348.0,-2.0,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.25,0.06,0.41,0.3,0.34,0.07,5,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.08,1.08,1.58,1.58,-0.5,0.3200000000000003,0.05999999999999872,10.0,5.0,0.9599999999999991
Armstrong,21,9,wol,SOU,5.5,MID,0.6,5.0,2.0,89.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,122.2,117.8,77.0,31.7,5.0,0.0,0.9,5.6,4.4,25607.0,6237.0,0.0,0.0,7,0.0,0.09999999999999998,0.09999999999999998,0.07,0.56,0.3800000000000001,0.1,0.1,0.07,0.17,0.17,0.3,0.16,5,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.08,1.08,1.58,1.58,-0.5,0.3200000000000003,0.05999999999999872,10.0,5.0,0.9599999999999991
Djenepo,21,9,wol,SOU,5.4,MID,0.1,1.2,2.0,78.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,65.8,41.8,74.0,18.0,1.2,0.0,0.2,3.5,3.2,378.0,354.0,-1.0,1.0,6,0.0,0.0,0.0,0.08000000000000002,0.2599999999999998,0.17999999999999994,0.06,0.06,0.05,0.1,0.1,0.37,0.28,5,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.08,1.08,1.58,1.58,-0.5,0.3200000000000003,0.05999999999999872,10.0,5.0,0.9599999999999991
Walcott,21,9,wol,SOU,5.8,MID,0.4,4.5,7.0,90.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,88.0,75.2,113.0,27.7,4.5,0.0,0.8,4.1,4.8,12824.0,3009.0,-2.0,2.0,5,1.0,0.8299999999999998,0.8299999999999998,0.0,0.95,0.10999999999999999,0.29,0.29,0.08,0.37,0.37,0.42,0.06,5,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.08,1.08,1.58,1.58,-0.5,0.3200000000000003,0.05999999999999872,10.0,5.0,0.9599999999999991
Stephens,21,9,wol,SOU,4.8,DEF,0.2,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.4,26.8,21.0,10.2,1.8,0.0,0.4,1.7,2.0,880.0,964.0,-2.0,2.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.05,0.07,0.07,0.16,0.14,5,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.08,1.08,1.58,1.58,-0.5,0.3200000000000003,0.05999999999999872,10.0,5.0,0.9599999999999991
Redmond,21,9,wol,SOU,6.4,MID,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.6,43.2,51.0,11.8,1.0,0.0,0.2,1.4,1.8,797.0,1472.0,-1.0,1.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.11,0.04,0.15,0.15,0.25,0.1,5,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.08,1.08,1.58,1.58,-0.5,0.3200000000000003,0.05999999999999872,10.0,5.0,0.9599999999999991
Smallbone,21,9,wol,SOU,4.5,MID,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,4.1,0.0,1.1,0.0,0.0,0.0,0.7,1.5,36.0,2109.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,5,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.08,1.08,1.58,1.58,-0.5,0.3200000000000003,0.05999999999999872,10.0,5.0,0.9599999999999991
