№,Team,M,W,D,L,G,GA,PTS,xG,NPxG,xGA,NPxGA,NPxGD,PPDA,OPPDA,DC,ODC,xPTS
Son Heung-Min,Tottenham,7,566,8.0,8.0,2.0,3.09-4.91,3.09-4.91,1.79-0.21,5.33,1.96,0.49,0.49,0.28,0.78,0.78,0.85,0.31
Dominic Calvert-Lewin,Everton,7,613,8.0,8.0,0.0,5.77-2.23,5.77-2.23,0.35+0.35,5.68,1.28,0.85,0.85,0.05,0.90,0.90,0.83,0.19
Jamie Vardy,Leicester,6,469,7.0,3.0,1.0,5.71-1.29,2.67-0.33,0.65-0.35,3.58,0.27,1.10,0.51,0.12,1.22,0.64,0.69,0.05
Mohamed Salah,Liverpool,7,630,7.0,4.0,0.0,5.15-1.85,2.86-1.14,1.95+1.95,6.76,2.76,0.74,0.41,0.28,1.01,0.69,0.97,0.39
Callum Wilson,Newcastle United,7,624,6.0,3.0,1.0,6.27+0.27,3.98+0.98,0.92-0.08,5.19,0.31,0.90,0.57,0.13,1.04,0.71,0.75,0.04
Harry Kane,Tottenham,7,627,6.0,4.0,8.0,6.14+0.14,4.62+0.62,3.60-4.40,6.57,0.73,0.88,0.66,0.52,1.40,1.18,0.94,0.10
Patrick Bamford,Leeds,7,586,6.0,6.0,1.0,4.18-1.82,4.18-1.82,0.35-0.65,5.23,1.04,0.64,0.64,0.05,0.70,0.70,0.80,0.16
Wilfried Zaha,Crystal Palace,7,630,5.0,3.0,1.0,4.15-0.85,2.63-0.37,1.70+0.70,4.72,0.80,0.59,0.38,0.24,0.84,0.62,0.67,0.11
Danny Ings,Southampton,7,626,5.0,4.0,2.0,2.48-2.52,1.72-2.28,0.39-1.61,2.36,0.51,0.36,0.25,0.06,0.41,0.30,0.34,0.07
Jack Grealish,Aston Villa,6,540,4.0,4.0,4.0,2.60-1.40,2.60-1.40,2.87-1.13,5.43,1.63,0.43,0.43,0.48,0.91,0.91,0.91,0.27
Sadio Mané,Liverpool,6,531,4.0,4.0,1.0,4.01+0.01,4.01+0.01,1.21+0.21,5.96,1.32,0.68,0.68,0.20,0.88,0.88,1.01,0.22
Neal Maupay,Brighton,6,540,4.0,2.0,1.0,4.35+0.35,2.83+0.83,0.56-0.44,3.83,0.89,0.73,0.47,0.09,0.82,0.57,0.64,0.15
Raúl Jiménez,Wolverhampton Wanderers,7,630,4.0,4.0,0.0,2.13-1.87,2.13-1.87,0.51+0.51,2.81,0.72,0.30,0.30,0.07,0.38,0.38,0.40,0.10
Ollie Watkins,Aston Villa,6,540,4.0,3.0,1.0,3.78-0.22,3.02+0.02,0.58-0.42,4.27,1.73,0.63,0.50,0.10,0.73,0.60,0.71,0.29
Timo Werner,Chelsea,7,612,3.0,3.0,1.0,2.71-0.29,2.71-0.29,0.63-0.37,3.7,0.95,0.40,0.40,0.09,0.49,0.49,0.54,0.14
Michail Antonio,West Ham,6,490,3.0,3.0,0.0,2.96-0.04,2.96-0.04,0.34+0.34,3.65,0.60,0.54,0.54,0.06,0.61,0.61,0.67,0.11
James Ward-Prowse,Southampton,7,630,3.0,3.0,1.0,0.65-2.35,0.65-2.35,0.97-0.03,1.48,1.16,0.09,0.09,0.14,0.23,0.23,0.21,0.17
Kurt Zouma,Chelsea,6,540,3.0,3.0,0.0,0.55-2.45,0.55-2.45,0.02+0.02,0.55,0.55,0.09,0.09,0.00,0.10,0.10,0.09,0.09
Bruno Fernandes,Manchester United,6,484,3.0,1.0,2.0,2.72-0.28,0.43-0.57,1.40-0.60,2.05,0.58,0.50,0.08,0.26,0.77,0.34,0.38,0.11
Jorginho,Chelsea,6,442,3.0,0.0,1.0,3.12+0.12,0.07+0.07,0.15-0.85,1.37,1.37,0.63,0.02,0.03,0.67,0.05,0.28,0.28
Jarrod Bowen,West Ham,7,602,3.0,3.0,0.0,2.29-0.71,2.29-0.71,0.24+0.24,3.27,0.96,0.34,0.34,0.04,0.38,0.38,0.49,0.14
James Rodríguez,Everton,6,521,3.0,3.0,3.0,1.85-1.15,1.85-1.15,2.76-0.24,4.76,2.31,0.32,0.32,0.48,0.80,0.80,0.82,0.40
Alexandre Lacazette,Arsenal,6,427,3.0,3.0,0.0,2.46-0.54,2.46-0.54,0.31+0.31,2.97,0.33,0.52,0.52,0.07,0.58,0.58,0.63,0.07
Youri Tielemans,Leicester,7,630,3.0,1.0,0.0,2.27-0.73,0.74-0.26,0.08+0.08,2.87,2.20,0.32,0.11,0.01,0.33,0.12,0.41,0.31
Diogo Jota,Liverpool,5,212,3.0,3.0,0.0,1.39-1.61,1.39-1.61,0.22+0.22,2.49,0.88,0.59,0.59,0.10,0.68,0.68,1.06,0.37
Jannik Vestergaard,Southampton,6,492,2.0,2.0,0.0,0.50-1.50,0.50-1.50,0.51+0.51,1.11,1.11,0.09,0.09,0.09,0.18,0.18,0.20,0.20
Pierre-Emerick Aubameyang,Arsenal,7,627,2.0,1.0,1.0,1.35-0.65,0.59-0.41,1.14+0.14,2.5,0.85,0.19,0.08,0.16,0.36,0.25,0.36,0.12
Marcus Rashford,Manchester United,6,540,2.0,2.0,2.0,1.45-0.55,1.45-0.55,0.50-1.50,2.11,0.65,0.24,0.24,0.08,0.32,0.32,0.35,0.11
Ross Barkley,"Aston Villa, Chelsea",6,395,2.0,2.0,0.0,1.19-0.81,1.19-0.81,0.82+0.82,2.32,0.67,0.27,0.27,0.19,0.46,0.46,0.53,0.15
Raheem Sterling,Manchester City,6,534,2.0,2.0,1.0,1.55-0.45,1.55-0.45,1.71+0.71,4.68,2.56,0.26,0.26,0.29,0.55,0.55,0.79,0.43
Aleksandar Mitrovic,Fulham,7,566,2.0,1.0,2.0,3.06+1.06,1.54+0.54,1.40-0.60,2.92,0.30,0.49,0.24,0.22,0.71,0.47,0.46,0.05
Tyrone Mings,Aston Villa,6,540,2.0,2.0,1.0,0.94-1.06,0.94-1.06,0.07-0.93,1.13,1.12,0.16,0.16,0.01,0.17,0.17,0.19,0.19
Michael Keane,Everton,7,630,2.0,2.0,0.0,1.20-0.80,1.20-0.80,0.14+0.14,2.51,2.37,0.17,0.17,0.02,0.19,0.19,0.36,0.34
Pablo Fornals,West Ham,7,596,2.0,2.0,2.0,2.10+0.10,2.10+0.10,0.89-1.11,4.03,1.09,0.32,0.32,0.13,0.45,0.45,0.61,0.17
Hélder Costa,Leeds,7,584,2.0,2.0,2.0,0.41-1.59,0.41-1.59,0.49-1.51,2.61,1.98,0.06,0.06,0.08,0.14,0.14,0.40,0.30
Mateusz Klich,Leeds,7,611,2.0,1.0,2.0,0.92-1.08,0.16-0.84,0.54-1.46,3.89,3.41,0.14,0.02,0.08,0.21,0.10,0.57,0.50
Callum Robinson,West Bromwich Albion,7,353,2.0,2.0,0.0,0.33-1.67,0.33-1.67,0.15+0.15,0.69,0.21,0.08,0.08,0.04,0.12,0.12,0.18,0.05
Phil Foden,Manchester City,6,386,2.0,2.0,0.0,1.56-0.44,1.56-0.44,0.20+0.20,2.06,0.35,0.36,0.36,0.05,0.41,0.41,0.48,0.08
Harvey Barnes,Leicester,7,599,2.0,2.0,1.0,1.84-0.16,1.84-0.16,0.09-0.91,2.0,0.16,0.28,0.28,0.01,0.29,0.29,0.30,0.02
Bobby Reid,Fulham,6,309,2.0,2.0,0.0,1.47-0.53,1.47-0.53,0.00,1.72,0.25,0.43,0.43,0.00,0.43,0.43,0.50,0.07
Che Adams,Southampton,7,601,2.0,2.0,2.0,3.11+1.11,3.11+1.11,1.09-0.91,3.34,0.65,0.47,0.47,0.16,0.63,0.63,0.50,0.10
Allan Saint-Maximin,Newcastle United,6,430,1.0,1.0,1.0,0.70-0.30,0.70-0.30,1.25+0.25,2.65,0.78,0.15,0.15,0.26,0.41,0.41,0.55,0.16
Kevin De Bruyne,Manchester City,5,381,1.0,0.0,2.0,1.67+0.67,0.91+0.91,1.52-0.48,2.91,1.28,0.40,0.22,0.36,0.75,0.57,0.69,0.30
Roberto Firmino,Liverpool,7,577,1.0,1.0,2.0,1.80+0.80,1.80+0.80,1.04-0.96,5.18,2.83,0.28,0.28,0.16,0.44,0.44,0.81,0.44
Cheikhou Kouyaté,Crystal Palace,7,630,1.0,1.0,0.0,0.59-0.41,0.59-0.41,0.02+0.02,1.05,1.03,0.08,0.08,0.00,0.09,0.09,0.15,0.15
Manuel Lanzini,West Ham,2,12,1.0,1.0,0.0,0.01-0.99,0.01-0.99,0.04+0.04,0.0,0.00,0.07,0.07,0.28,0.36,0.36,0.00,0.00
Nathan Aké,Manchester City,4,288,1.0,1.0,0.0,0.40-0.60,0.40-0.60,0.02+0.02,0.94,0.93,0.13,0.13,0.01,0.13,0.13,0.30,0.29
Kyle Walker,Manchester City,6,529,1.0,1.0,0.0,0.14-0.86,0.14-0.86,0.10+0.10,2.67,2.49,0.02,0.02,0.02,0.04,0.04,0.45,0.42
Ashley Westwood,Burnley,6,540,1.0,1.0,0.0,0.10-0.90,0.10-0.90,1.11+1.11,1.87,1.33,0.02,0.02,0.19,0.20,0.20,0.31,0.22
Tammy Abraham,Chelsea,6,287,1.0,1.0,1.0,1.86+0.86,1.86+0.86,0.07-0.93,1.15,0.04,0.58,0.58,0.02,0.60,0.60,0.36,0.01
Ola Aina,Fulham,4,360,1.0,1.0,0.0,0.04-0.96,0.04-0.96,0.12+0.12,0.52,0.48,0.01,0.01,0.03,0.04,0.04,0.13,0.12
Riyad Mahrez,Manchester City,5,433,1.0,1.0,1.0,0.90-0.10,0.90-0.10,0.90-0.10,3.42,2.39,0.19,0.19,0.19,0.37,0.37,0.71,0.50
Andros Townsend,Crystal Palace,7,614,1.0,1.0,2.0,0.57-0.43,0.57-0.43,1.66-0.34,2.78,1.27,0.08,0.08,0.24,0.33,0.33,0.41,0.19
Ben Chilwell,Chelsea,4,360,1.0,1.0,2.0,0.14-0.86,0.14-0.86,0.37-1.63,0.94,0.66,0.03,0.03,0.09,0.13,0.13,0.24,0.16
Virgil van Dijk,Liverpool,5,370,1.0,1.0,0.0,0.55-0.45,0.55-0.45,0.00,1.41,1.29,0.13,0.13,0.00,0.13,0.13,0.34,0.31
Oriol Romeu,Southampton,7,597,1.0,1.0,0.0,0.15-0.85,0.15-0.85,0.09+0.09,1.98,1.87,0.02,0.02,0.01,0.04,0.04,0.30,0.28
Kyle Bartley,West Bromwich Albion,4,360,1.0,1.0,0.0,0.52-0.48,0.52-0.48,0.00,0.21,0.21,0.13,0.13,0.00,0.13,0.13,0.05,0.05
Dennis Praet,Leicester,6,426,1.0,1.0,1.0,0.29-0.71,0.29-0.71,0.73-0.27,1.23,0.96,0.06,0.06,0.15,0.22,0.22,0.26,0.20
Harry Maguire,Manchester United,6,540,1.0,1.0,0.0,0.35-0.65,0.35-0.65,0.09+0.09,1.41,1.33,0.06,0.06,0.01,0.07,0.07,0.23,0.22
Andrew Robertson,Liverpool,7,630,1.0,1.0,2.0,0.94-0.06,0.94-0.06,1.30-0.70,3.65,2.00,0.13,0.13,0.19,0.32,0.32,0.52,0.29
Jeff Hendrick,Newcastle United,7,617,1.0,1.0,1.0,0.36-0.64,0.36-0.64,0.79-0.21,1.88,0.79,0.05,0.05,0.11,0.17,0.17,0.27,0.12
Gareth Bale,Tottenham,2,32,1.0,1.0,0.0,0.73-0.27,0.73-0.27,0.64+0.64,0.63,0.29,2.05,2.05,1.80,3.84,3.84,1.76,0.82
Rodrigo,Leeds,6,320,1.0,1.0,0.0,1.22+0.22,1.22+0.22,0.38+0.38,1.95,1.25,0.34,0.34,0.11,0.45,0.45,0.55,0.35
Lucas Moura,Tottenham,6,344,1.0,1.0,0.0,0.85-0.15,0.85-0.15,0.15+0.15,1.82,0.85,0.22,0.22,0.04,0.26,0.26,0.48,0.22
Romain Saiss,Wolverhampton Wanderers,6,519,1.0,1.0,0.0,0.46-0.54,0.46-0.54,0.34+0.34,1.04,0.41,0.08,0.08,0.06,0.14,0.14,0.18,0.07
