Player,Player_first,Team,Player_Appearances,Player_Minutes played,Player_Goals scored,Player_NPG,Player_Assists,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90
Heung-Min,Son,TOT,8,656,8.0,8.0,2.0,3.50,3.50,1.80,6.23,2.45,0.48,0.48,0.25,0.73,0.73,0.85,0.34
Vardy,Jamie,LEI,7,559,8.0,3.0,1.0,7.26,2.69,0.65,3.76,0.41,1.17,0.43,0.10,1.27,0.54,0.60,0.07
Salah,Mohamed,LIV,8,720,8.0,4.0,0.0,5.94,2.89,2.04,6.85,2.76,0.74,0.36,0.25,1.00,0.62,0.86,0.34
Calvert-Lewin,Dominic,EVE,8,703,8.0,8.0,0.0,5.82,5.82,0.35,5.73,1.28,0.74,0.74,0.05,0.79,0.79,0.73,0.16
Kane,Harry,TOT,8,717,7.0,5.0,8.0,6.81,5.28,3.80,7.71,1.15,0.85,0.66,0.48,1.33,1.14,0.97,0.14
Bamford,Patrick,LEE,8,676,7.0,7.0,1.0,4.63,4.63,0.35,5.68,1.04,0.62,0.62,0.05,0.66,0.66,0.76,0.14
Wilson,Callum,NEW,8,703,6.0,3.0,1.0,6.27,3.98,0.92,5.19,0.31,0.80,0.51,0.12,0.92,0.63,0.66,0.04
Watkins,Ollie,AVL,7,630,6.0,5.0,1.0,4.85,4.09,0.58,5.34,1.73,0.69,0.58,0.08,0.78,0.67,0.76,0.25
Zaha,Wilfried,CRY,8,720,5.0,3.0,2.0,4.22,2.70,2.18,5.27,0.80,0.53,0.34,0.27,0.80,0.61,0.66,0.10
Ings,Danny,SOU,7,626,5.0,4.0,2.0,2.48,1.72,0.39,2.36,0.51,0.36,0.25,0.06,0.41,0.30,0.34,0.07
Fernandes,Bruno,MUN,7,574,5.0,3.0,3.0,3.09,0.80,1.82,2.8,0.86,0.48,0.13,0.29,0.77,0.41,0.44,0.13
Werner,Timo,CHE,8,701,4.0,4.0,1.0,3.46,3.46,0.61,4.37,0.95,0.44,0.44,0.08,0.52,0.52,0.56,0.12
Grealish,Jack,AVL,7,630,4.0,4.0,5.0,3.03,3.03,3.24,6.39,1.82,0.43,0.43,0.46,0.90,0.90,0.91,0.26
Mané,Sadio,LIV,7,621,4.0,4.0,1.0,4.01,4.01,1.31,6.04,1.36,0.58,0.58,0.19,0.77,0.77,0.88,0.20
Maupay,Neal,BHA,7,630,4.0,2.0,1.0,4.52,3.00,0.56,4.46,1.34,0.65,0.43,0.08,0.73,0.51,0.64,0.19
Jiménez,Raúl,WOL,8,720,4.0,4.0,0.0,2.13,2.13,0.51,2.81,0.72,0.27,0.27,0.06,0.33,0.33,0.35,0.09
