Player,Team,Player_Appearances,Player_Minutes played,Player_Goals scored,Player_NPG,Player_Assists,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90
Son Heung-Min,TOT,13,1103,11.0,11.0,4.0,4.34,4.34,2.81,7.65,2.61,0.35,0.35,0.23,0.58,0.58,0.62,0.21
Mohamed Salah,LIV,12,1053,11.0,6.0,2.0,7.76,3.95,2.69,8.31,3.13,0.66,0.34,0.23,0.89,0.57,0.71,0.27
Dominic Calvert-Lewin,EVE,13,1153,11.0,11.0,0.0,9.90,9.90,0.51,10.32,2.61,0.77,0.77,0.04,0.81,0.81,0.81,0.20
Jamie Vardy,LEI,12,1009,10.0,5.0,4.0,10.19,5.63,1.30,6.49,0.62,0.91,0.50,0.12,1.03,0.62,0.58,0.06
Harry Kane,TOT,13,1167,9.0,7.0,10.0,8.16,6.64,4.34,9.17,1.43,0.63,0.51,0.33,0.96,0.85,0.71,0.11
Patrick Bamford,LEE,13,1106,9.0,9.0,1.0,8.13,8.13,0.49,9.87,1.71,0.66,0.66,0.04,0.70,0.70,0.80,0.14
Callum Wilson,NEW,11,973,7.0,4.0,3.0,7.41,5.13,1.83,7.26,0.33,0.69,0.47,0.17,0.85,0.64,0.67,0.03
Wilfried Zaha,CRY,11,983,7.0,5.0,2.0,5.42,3.89,2.18,7.23,1.65,0.50,0.36,0.20,0.70,0.56,0.66,0.15
Bruno Fernandes,MUN,12,969,7.0,4.0,4.0,5.10,2.05,4.55,7.59,2.49,0.47,0.19,0.42,0.90,0.61,0.71,0.23
Danny Ings,SOU,10,849,6.0,4.0,3.0,4.29,2.77,0.85,4.06,0.73,0.46,0.29,0.09,0.54,0.38,0.43,0.08
Ollie Watkins,AVL,11,990,6.0,5.0,1.0,6.53,5.01,1.31,7.04,1.86,0.59,0.46,0.12,0.71,0.57,0.64,0.17
Marcus Rashford,MUN,12,1023,5.0,5.0,4.0,4.48,4.48,1.34,6.86,1.94,0.39,0.39,0.12,0.51,0.51,0.60,0.17
Jack Grealish,AVL,11,990,5.0,5.0,5.0,3.68,3.68,4.30,8.4,2.83,0.33,0.33,0.39,0.73,0.73,0.76,0.26
Diogo Jota,LIV,9,496,5.0,5.0,0.0,2.63,2.63,1.44,5.12,1.65,0.48,0.48,0.26,0.74,0.74,0.93,0.30
Timo Werner,CHE,13,1123,4.0,4.0,3.0,5.83,5.83,2.20,8.13,2.50,0.47,0.47,0.18,0.64,0.64,0.65,0.20
Riyad Mahrez,MCI,9,754,4.0,4.0,1.0,2.60,2.60,2.85,7.32,3.05,0.31,0.31,0.34,0.65,0.65,0.87,0.36
Sadio Mané,LIV,12,1005,4.0,4.0,1.0,5.47,5.47,1.53,8.3,2.18,0.49,0.49,0.14,0.63,0.63,0.74,0.20
James Ward-Prowse,SOU,13,1170,4.0,4.0,3.0,0.92,0.92,1.49,4.03,3.31,0.07,0.07,0.11,0.18,0.18,0.31,0.25
Kurt Zouma,CHE,12,1080,4.0,4.0,0.0,1.37,1.37,0.06,2.08,2.07,0.11,0.11,0.01,0.12,0.12,0.17,0.17
Jarrod Bowen,WHU,13,1089,4.0,4.0,2.0,3.60,3.60,1.60,6.37,2.17,0.30,0.30,0.13,0.43,0.43,0.53,0.18
Neal Maupay,BHA,11,851,4.0,2.0,1.0,6.40,4.12,0.93,6.48,1.97,0.68,0.44,0.10,0.78,0.53,0.69,0.21
Raúl Jiménez,WOL,10,824,4.0,4.0,0.0,2.36,2.36,0.63,3.68,1.23,0.26,0.26,0.07,0.33,0.33,0.40,0.13
Pedro Neto,WOL,13,1031,4.0,4.0,2.0,2.25,2.25,2.41,5.85,2.06,0.20,0.20,0.21,0.41,0.41,0.51,0.18
