Team_Ranking,Team,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS
1,TOT,10,6,3,1,21,9,21,17,15.47,11.57,9.29,6.18,11.26,14.56,46,53,16.86
2,LIV,10,6,3,1,22,17,21,21.5,18.46,14.33,10.53,7.93,10.03,18.4,111,38,18.69
3,CHE,10,5,4,1,22,10,19,16.16,13.11,8.53,8.53,4.59,10.73,20.09,74,45,18.89
4,LEI,10,6,0,4,19,14,18,17.07,10.98,15.11,14.34,-3.37,13.96,13.1,51,61,15.18
5,WHU,10,5,2,3,17,11,17,14.16,14.16,12.99,10.71,3.45,17.43,12.61,40,78,13.76
6,SOU,10,5,2,3,19,16,17,10.93,10.17,13.13,12.37,-2.21,9.16,11.95,57,50,12.75
7,WOL,10,5,2,3,11,11,17,10.51,10.51,13.44,11.16,-0.65,14.84,12.78,44,71,12.26
8,EVE,10,5,1,4,19,17,16,16.83,16.07,15.19,13.67,2.39,11.57,13.3,64,78,14.02
9,MUN,9,5,1,3,16,16,16,13.31,10.26,11.59,8.55,1.72,11.49,10.62,82,44,13.88
10,AVL,9,5,0,4,20,13,15,16.88,15.36,10.56,9.79,5.56,11.01,8.45,83,63,16.72
11,MCI,9,4,3,2,15,11,15,14.67,13.14,10.32,7.28,5.87,9.69,20.55,79,33,16.09
12,LEE,10,4,2,4,15,17,14,16.89,16.13,16.16,13.11,3.01,6.4,13.89,84,76,14.71
13,NEW,10,4,2,4,12,15,14,10.65,8.37,13.9,12.38,-4.01,18.7,8.39,40,73,11.68
14,ARS,10,4,1,5,10,12,13,11.13,10.37,13.59,13.59,-3.22,15.05,15.93,71,70,12.34
15,CRY,10,4,1,5,12,15,13,11.35,9.83,14.52,12.24,-2.41,16.86,6.69,52,71,11.7
16,BHA,10,2,4,4,14,16,10,14.82,11.78,11.11,8.07,3.71,9.79,11.89,64,42,16.48
17,FUL,10,2,1,7,11,19,7,12.97,9.17,16.45,14.93,-5.76,13.63,11.1,49,65,11.76
18,WBA,10,1,3,6,7,18,6,6.21,6.21,21.35,19.07,-12.86,15.14,8.95,40,72,4.6
19,BUR,9,1,2,6,4,17,5,7.25,7.25,11.54,10.78,-3.53,14.26,10.98,45,81,9.05
20,SHU,10,0,1,9,4,16,1,12.03,9.74,16.91,16.15,-6.41,16.02,12.33,61,73,10.01
