Player,Season,Gameweek,Opponent,Team,Home,Cost,Role,Sel.,Form,Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form.1,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall,Player_Appearances,Player_NPG,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90,Team_Ranking,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS,Opp_Ranking,Opp_Avg_G,Opp_Avg_GA,Opp_Avg_PTS,Opp_Avg_xG,Opp_Avg_NPxG,Opp_Avg_xGA,Opp_Avg_NPxGA,Opp_Avg_NPxGD,Opp_Avg_PPDA,Opp_Avg_OPPDA,Opp_Avg_DC,Opp_Avg_ODC,Opp_Avg_xPTS
Ederson,21,18,BHA,MCI,1.0,6.0,GKP,6.2,4.5,6.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,24.0,230.8,0.0,0.0,23.2,4.5,0.0,0.8,10.5,4.2,81784.0,33786.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.4700000000000002,0.4700000000000002,0.0,0.0,0.0,0.0,0.0,0.21,0.21,3.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,2.9100000000000037,2.1499999999999986,0.17999999999999972,0.17999999999999972,1.9699999999999989,0.019999999999999574,-0.16000000000000014,13.0,4.0,2.8999999999999986,17,1.1666666666666667,1.6111111111111112,0.7777777777777778,1.4400000000000002,1.1861111111111111,1.3094444444444444,1.0133333333333332,0.17277777777777778,0.5661111111111111,0.715,6.833333333333333,5.0,1.4794444444444443
Bernardo Silva,21,18,BHA,MCI,1.0,7.4,MID,0.6,2.5,3.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,90.2,143.1,146.0,38.1,2.5,0.0,0.3,3.0,2.2,12626.0,4032.0,-1.0,1.0,10.0,0.0,0.16999999999999993,0.16999999999999993,0.6699999999999999,0.9500000000000002,0.5699999999999994,0.18,0.18,0.2,0.38,0.38,0.89,0.6,3.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,2.9100000000000037,2.1499999999999986,0.17999999999999972,0.17999999999999972,1.9699999999999989,0.019999999999999574,-0.16000000000000014,13.0,4.0,2.8999999999999986,17,1.1666666666666667,1.6111111111111112,0.7777777777777778,1.4400000000000002,1.1861111111111111,1.3094444444444444,1.0133333333333332,0.17277777777777778,0.5661111111111111,0.715,6.833333333333333,5.0,1.4794444444444443
Fernandinho,21,18,BHA,MCI,1.0,5.4,DEF,0.7,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.4,21.7,43.0,11.5,0.5,0.0,0.1,2.4,1.6,3583.0,1873.0,-1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.16,0.0,0.16,0.16,0.75,0.74,3.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,2.9100000000000037,2.1499999999999986,0.17999999999999972,0.17999999999999972,1.9699999999999989,0.019999999999999574,-0.16000000000000014,13.0,4.0,2.8999999999999986,17,1.1666666666666667,1.6111111111111112,0.7777777777777778,1.4400000000000002,1.1861111111111111,1.3094444444444444,1.0133333333333332,0.17277777777777778,0.5661111111111111,0.715,6.833333333333333,5.0,1.4794444444444443
De Bruyne,21,18,BHA,MCI,1.0,11.8,MID,27.7,6.8,6.0,90.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,471.2,695.3,605.0,177.3,6.8,0.0,0.6,7.4,5.8,577473.0,41010.0,3.0,-3.0,15.0,0.0,1.0599999999999996,1.0600000000000005,0.21999999999999975,0.8800000000000008,0.6900000000000004,0.55,0.39,0.51,1.05,0.89,1.05,0.54,3.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,2.9100000000000037,2.1499999999999986,0.17999999999999972,0.17999999999999972,1.9699999999999989,0.019999999999999574,-0.16000000000000014,13.0,4.0,2.8999999999999986,17,1.1666666666666667,1.6111111111111112,0.7777777777777778,1.4400000000000002,1.1861111111111111,1.3094444444444444,1.0133333333333332,0.17277777777777778,0.5661111111111111,0.715,6.833333333333333,5.0,1.4794444444444443
Dias,21,18,BHA,MCI,1.0,5.8,DEF,9.8,6.0,,,,,,,,,,,,,,,264.4,24.0,105.0,39.4,6.0,,1.0,10.2,4.2,,,3.0,-3.0,14.0,,,,,,,0.08,0.08,0.0,0.08,0.08,0.54,0.53,3.0,,,,,,,,,,,,,,,,,,17,1.1666666666666667,1.6111111111111112,0.7777777777777778,1.4400000000000002,1.1861111111111111,1.3094444444444444,1.0133333333333332,0.17277777777777778,0.5661111111111111,0.715,6.833333333333333,5.0,1.4794444444444443
Sterling,21,18,BHA,MCI,1.0,11.4,MID,4.3,4.5,-1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-9.0,286.4,258.9,618.0,116.1,4.5,0.0,0.4,6.6,5.0,60111.0,65675.0,-1.0,1.0,15.0,0.0,0.8200000000000003,0.0600000000000005,0.0,0.0600000000000005,0.0,0.38,0.32,0.25,0.63,0.57,0.93,0.59,3.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,2.9100000000000037,2.1499999999999986,0.17999999999999972,0.17999999999999972,1.9699999999999989,0.019999999999999574,-0.16000000000000014,13.0,4.0,2.8999999999999986,17,1.1666666666666667,1.6111111111111112,0.7777777777777778,1.4400000000000002,1.1861111111111111,1.3094444444444444,1.0133333333333332,0.17277777777777778,0.5661111111111111,0.715,6.833333333333333,5.0,1.4794444444444443
Cancelo,21,18,BHA,MCI,1.0,5.8,DEF,11.8,5.8,6.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,240.8,353.1,145.0,74.0,5.8,0.0,1.0,10.5,5.1,296474.0,51841.0,3.0,-3.0,12.0,0.0,0.22999999999999998,0.22999999999999998,0.2999999999999998,0.5,0.4999999999999991,0.04,0.04,0.25,0.29,0.29,0.85,0.7,3.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,2.9100000000000037,2.1499999999999986,0.17999999999999972,0.17999999999999972,1.9699999999999989,0.019999999999999574,-0.16000000000000014,13.0,4.0,2.8999999999999986,17,1.1666666666666667,1.6111111111111112,0.7777777777777778,1.4400000000000002,1.1861111111111111,1.3094444444444444,1.0133333333333332,0.17277777777777778,0.5661111111111111,0.715,6.833333333333333,5.0,1.4794444444444443
Walker,21,18,BHA,MCI,1.0,6.1,DEF,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.0,105.1,72.0,37.1,2.0,0.0,0.3,9.0,4.6,44423.0,26315.0,1.0,-1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.03,0.05,0.05,0.46,0.44,3.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,2.9100000000000037,2.1499999999999986,0.17999999999999972,0.17999999999999972,1.9699999999999989,0.019999999999999574,-0.16000000000000014,13.0,4.0,2.8999999999999986,17,1.1666666666666667,1.6111111111111112,0.7777777777777778,1.4400000000000002,1.1861111111111111,1.3094444444444444,1.0133333333333332,0.17277777777777778,0.5661111111111111,0.715,6.833333333333333,5.0,1.4794444444444443
Mahrez,21,18,BHA,MCI,1.0,8.1,MID,3.7,1.2,3.0,66.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,245.8,372.1,395.0,101.2,1.2,0.0,0.1,7.0,4.8,35416.0,49581.0,-4.0,4.0,12.0,0.0,0.29000000000000004,0.29000000000000004,0.22999999999999998,1.1099999999999994,0.5700000000000003,0.37,0.37,0.33,0.7,0.7,0.97,0.39,3.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,2.9100000000000037,2.1499999999999986,0.17999999999999972,0.17999999999999972,1.9699999999999989,0.019999999999999574,-0.16000000000000014,13.0,4.0,2.8999999999999986,17,1.1666666666666667,1.6111111111111112,0.7777777777777778,1.4400000000000002,1.1861111111111111,1.3094444444444444,1.0133333333333332,0.17277777777777778,0.5661111111111111,0.715,6.833333333333333,5.0,1.4794444444444443
Gündogan,21,18,BHA,MCI,1.0,5.5,MID,2.6,6.5,3.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,230.0,226.3,192.0,64.8,6.5,0.0,1.2,8.7,4.4,177771.0,29102.0,0.0,0.0,11.0,0.0,0.15000000000000036,0.15000000000000036,0.3599999999999999,1.13,1.0199999999999996,0.24,0.24,0.13,0.37,0.37,0.74,0.46,3.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,2.9100000000000037,2.1499999999999986,0.17999999999999972,0.17999999999999972,1.9699999999999989,0.019999999999999574,-0.16000000000000014,13.0,4.0,2.8999999999999986,17,1.1666666666666667,1.6111111111111112,0.7777777777777778,1.4400000000000002,1.1861111111111111,1.3094444444444444,1.0133333333333332,0.17277777777777778,0.5661111111111111,0.715,6.833333333333333,5.0,1.4794444444444443
