Player,Team,Player_Appearances,Player_Minutes played,Player_Goals scored,Player_NPG,Player_Assists,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90
Mohamed Salah,LIV,17,1444,13.0,8.0,3.0,9.51,5.70,3.21,11.29,4.60,0.59,0.36,0.20,0.79,0.56,0.70,0.29
Son Heung-Min,TOT,18,1549,12.0,12.0,6.0,7.28,7.28,4.21,10.88,3.04,0.42,0.42,0.24,0.67,0.67,0.63,0.18
Harry Kane,TOT,18,1615,12.0,9.0,11.0,10.78,8.50,5.41,12.46,2.70,0.60,0.47,0.30,0.90,0.78,0.69,0.15
Jamie Vardy,LEI,17,1392,11.0,5.0,5.0,12.48,7.16,1.85,8.7,0.84,0.81,0.46,0.12,0.93,0.58,0.56,0.05
Bruno Fernandes,MUN,18,1489,11.0,6.0,7.0,9.15,4.58,6.45,12.56,4.07,0.55,0.28,0.39,0.94,0.67,0.76,0.25
Dominic Calvert-Lewin,EVE,16,1414,11.0,11.0,0.0,10.52,10.52,0.57,10.93,2.63,0.67,0.67,0.04,0.71,0.71,0.70,0.17
Patrick Bamford,LEE,18,1556,10.0,9.0,2.0,10.65,9.89,1.02,12.72,2.33,0.62,0.57,0.06,0.68,0.63,0.74,0.13
Callum Wilson,NEW,16,1423,8.0,4.0,3.0,9.48,6.44,1.94,8.78,0.47,0.60,0.41,0.12,0.72,0.53,0.56,0.03
Wilfried Zaha,CRY,16,1433,8.0,6.0,2.0,6.09,4.57,2.49,8.48,2.03,0.38,0.29,0.16,0.54,0.44,0.53,0.13
Marcus Rashford,MUN,18,1540,7.0,7.0,5.0,6.27,6.27,1.44,10.7,4.03,0.37,0.37,0.08,0.45,0.45,0.63,0.24
Danny Ings,SOU,13,1060,7.0,5.0,3.0,4.51,2.99,1.00,4.42,0.86,0.38,0.25,0.08,0.47,0.34,0.38,0.07
Alexandre Lacazette,ARS,16,1036,7.0,6.0,0.0,6.83,6.07,0.86,8.47,1.81,0.59,0.53,0.07,0.67,0.60,0.74,0.16
Neal Maupay,BHA,17,1227,7.0,4.0,1.0,9.06,6.02,1.10,8.59,2.18,0.66,0.44,0.08,0.75,0.52,0.63,0.16
Tammy Abraham,CHE,15,797,6.0,6.0,1.0,5.32,5.32,0.72,7.09,2.06,0.60,0.60,0.08,0.68,0.68,0.80,0.23
Sadio Mané,LIV,17,1424,6.0,6.0,2.0,6.99,6.99,2.58,12.04,3.58,0.44,0.44,0.16,0.60,0.60,0.76,0.23
Harvey Barnes,LEI,17,1282,6.0,6.0,1.0,4.85,4.85,0.52,5.49,1.00,0.34,0.34,0.04,0.38,0.38,0.39,0.07
Ollie Watkins,AVL,15,1350,6.0,5.0,2.0,9.09,7.56,2.03,10.74,3.18,0.61,0.50,0.14,0.74,0.64,0.72,0.21
Pierre-Emerick Aubameyang,ARS,17,1516,5.0,4.0,1.0,5.47,4.71,1.50,9.36,3.35,0.32,0.28,0.09,0.41,0.37,0.56,0.20
Roberto Firmino,LIV,18,1507,5.0,5.0,3.0,7.17,7.17,2.21,12.44,4.80,0.43,0.43,0.13,0.56,0.56,0.74,0.29
Raheem Sterling,MCI,16,1277,5.0,5.0,3.0,5.11,4.35,3.35,12.37,7.80,0.36,0.31,0.24,0.60,0.54,0.87,0.55
Jack Grealish,AVL,15,1350,5.0,5.0,7.0,4.16,4.16,7.21,12.79,4.68,0.28,0.28,0.48,0.76,0.76,0.85,0.31
Anwar El Ghazi,AVL,9,482,5.0,3.0,0.0,4.59,3.07,0.87,3.59,1.04,0.86,0.57,0.16,1.02,0.74,0.67,0.19
James Maddison,LEI,16,1049,5.0,5.0,2.0,1.43,1.43,2.00,4.04,2.05,0.12,0.12,0.17,0.29,0.29,0.35,0.18
Diogo Jota,LIV,9,496,5.0,5.0,0.0,2.63,2.63,1.44,5.12,1.65,0.48,0.48,0.26,0.74,0.74,0.93,0.30
David McGoldrick,SHU,17,1106,5.0,5.0,1.0,3.63,3.63,0.79,5.57,2.46,0.30,0.30,0.06,0.36,0.36,0.45,0.20
Tomas Soucek,WHU,18,1620,5.0,5.0,0.0,4.83,4.83,0.39,6.0,2.85,0.27,0.27,0.02,0.29,0.29,0.33,0.16
Timo Werner,CHE,18,1380,4.0,4.0,4.0,7.16,7.16,2.93,10.25,2.56,0.47,0.47,0.19,0.66,0.66,0.67,0.17
Ilkay Gündogan,MCI,12,898,4.0,4.0,0.0,2.39,2.39,1.24,6.94,4.29,0.24,0.24,0.12,0.36,0.36,0.70,0.43
Michail Antonio,WHU,10,668,4.0,4.0,0.0,3.93,3.93,0.41,4.92,0.97,0.53,0.53,0.06,0.59,0.59,0.66,0.13
Riyad Mahrez,MCI,12,840,4.0,4.0,1.0,3.49,3.49,3.08,9.02,3.62,0.37,0.37,0.33,0.70,0.70,0.97,0.39
James Ward-Prowse,SOU,18,1620,4.0,4.0,4.0,1.17,1.17,1.77,4.38,3.58,0.06,0.06,0.10,0.16,0.16,0.24,0.20
Kurt Zouma,CHE,15,1350,4.0,4.0,0.0,1.50,1.50,0.06,2.55,2.54,0.10,0.10,0.00,0.10,0.10,0.17,0.17
Jarrod Bowen,WHU,18,1401,4.0,4.0,2.0,3.72,3.72,2.05,7.15,2.47,0.24,0.24,0.13,0.37,0.37,0.46,0.16
Raúl Jiménez,WOL,10,824,4.0,4.0,0.0,2.36,2.36,0.63,3.68,1.23,0.26,0.26,0.07,0.33,0.33,0.40,0.13
Youri Tielemans,LEI,18,1562,4.0,2.0,2.0,2.80,1.27,0.82,5.83,4.20,0.16,0.07,0.05,0.21,0.12,0.34,0.24
Phil Foden,MCI,13,701,4.0,4.0,2.0,2.71,2.71,1.71,6.34,2.36,0.35,0.35,0.22,0.57,0.57,0.81,0.30
Pedro Neto,WOL,19,1550,4.0,4.0,3.0,2.80,2.80,3.18,7.08,2.71,0.16,0.16,0.18,0.35,0.35,0.41,0.16
Bobby Reid,FUL,16,1117,4.0,4.0,0.0,2.76,2.76,0.14,3.76,1.35,0.22,0.22,0.01,0.23,0.23,0.30,0.11
Bukayo Saka,ARS,17,1422,4.0,4.0,1.0,4.55,4.55,2.18,9.92,4.48,0.29,0.29,0.14,0.43,0.43,0.63,0.28
Che Adams,SOU,17,1444,4.0,4.0,4.0,4.98,4.98,3.29,7.11,1.10,0.31,0.31,0.20,0.51,0.51,0.44,0.07
Jannik Vestergaard,SOU,13,1122,3.0,3.0,0.0,0.74,0.74,0.63,2.82,2.78,0.06,0.06,0.05,0.11,0.11,0.23,0.22
Kevin De Bruyne,MCI,16,1351,3.0,1.0,10.0,7.88,5.60,7.67,15.09,7.79,0.52,0.37,0.51,1.04,0.88,1.01,0.52
Olivier Giroud,CHE,10,433,3.0,3.0,0.0,3.28,3.28,1.18,2.08,0.12,0.68,0.68,0.24,0.93,0.93,0.43,0.03
Christian Benteke,CRY,13,616,3.0,3.0,0.0,2.97,2.97,0.51,3.11,1.03,0.43,0.43,0.07,0.51,0.51,0.45,0.15
Bertrand Traoré,AVL,13,613,3.0,3.0,2.0,2.12,2.12,1.62,3.06,0.50,0.31,0.31,0.24,0.55,0.55,0.45,0.07
Jorginho,CHE,11,711,3.0,0.0,1.0,3.90,0.09,0.21,2.37,2.30,0.49,0.01,0.03,0.52,0.04,0.30,0.29
Michael Keane,EVE,16,1416,3.0,3.0,0.0,1.32,1.32,0.38,3.76,3.61,0.08,0.08,0.02,0.11,0.11,0.24,0.23
James Rodríguez,EVE,12,972,3.0,3.0,3.0,2.21,2.21,4.06,8.44,5.17,0.20,0.20,0.38,0.58,0.58,0.78,0.48
Rodrigo,LEE,16,884,3.0,3.0,0.0,3.20,3.20,1.94,7.2,3.15,0.33,0.33,0.20,0.52,0.52,0.73,0.32
Edinson Cavani,MUN,11,405,3.0,3.0,2.0,3.26,3.26,1.09,4.83,1.49,0.72,0.72,0.24,0.97,0.97,1.07,0.33
Romain Saiss,WOL,14,1239,3.0,3.0,0.0,1.00,1.00,0.34,2.15,1.43,0.07,0.07,0.02,0.10,0.10,0.16,0.10
Mateusz Klich,LEE,18,1506,3.0,1.0,5.0,2.39,0.87,3.23,10.44,7.07,0.14,0.05,0.19,0.34,0.24,0.62,0.42
Chris Wood,BUR,17,1455,3.0,3.0,0.0,6.16,6.16,0.94,7.12,0.79,0.38,0.38,0.06,0.44,0.44,0.44,0.05
Tanguy NDombele Alvaro,TOT,16,1007,3.0,3.0,1.0,1.22,1.22,1.77,6.92,4.61,0.11,0.11,0.16,0.27,0.27,0.62,0.41
Sébastien Haller,WHU,16,933,3.0,3.0,0.0,2.55,2.55,1.13,3.66,0.85,0.25,0.25,0.11,0.36,0.36,0.35,0.08
Matheus Pereira,WBA,14,1012,3.0,1.0,3.0,2.42,0.90,2.09,2.24,0.76,0.22,0.08,0.19,0.40,0.27,0.20,0.07
Daniel Podence,WOL,15,1149,3.0,3.0,2.0,2.42,2.42,1.14,5.51,2.55,0.19,0.19,0.09,0.28,0.28,0.43,0.20
Stuart Dallas,LEE,18,1612,3.0,3.0,1.0,2.01,2.01,0.96,8.79,7.20,0.11,0.11,0.05,0.17,0.17,0.49,0.40
Jack Harrison,LEE,17,1413,3.0,3.0,4.0,3.16,3.16,4.21,11.38,5.14,0.20,0.20,0.27,0.47,0.47,0.73,0.33
Pascal Groß,BHA,15,789,2.0,0.0,2.0,1.98,0.46,1.64,3.46,2.22,0.23,0.05,0.19,0.41,0.24,0.39,0.25
Danny Welbeck,BHA,9,623,2.0,2.0,0.0,2.35,2.35,1.52,3.38,0.20,0.34,0.34,0.22,0.56,0.56,0.49,0.03
Theo Walcott,EVE,14,1122,2.0,2.0,2.0,1.85,1.85,0.75,3.41,0.94,0.15,0.15,0.06,0.21,0.21,0.27,0.08
Angelo Ogbonna,WHU,18,1593,2.0,2.0,0.0,1.08,1.08,0.43,2.92,2.70,0.06,0.06,0.02,0.09,0.09,0.16,0.15
