Player,Team,Player_Appearances,Player_Minutes played,Player_Goals scored,Player_NPG,Player_Assists,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90
Dominic Calvert-Lewin,EVE,9,793,10.0,10.0,0.0,7.02,7.02,0.46,7.35,1.59,0.80,0.80,0.05,0.85,0.85,0.83,0.18
Son Heung-Min,TOT,9,746,9.0,9.0,2.0,3.86,3.86,1.80,6.59,2.45,0.47,0.47,0.22,0.68,0.68,0.79,0.30
Jamie Vardy,LEI,8,649,8.0,3.0,1.0,8.04,3.47,1.08,4.3,0.53,1.11,0.48,0.15,1.26,0.63,0.60,0.07
Mohamed Salah,LIV,8,720,8.0,4.0,0.0,5.94,2.89,2.04,6.85,2.76,0.74,0.36,0.25,1.00,0.62,0.86,0.34
Harry Kane,TOT,9,807,7.0,5.0,9.0,6.81,5.28,4.16,8.07,1.15,0.76,0.59,0.46,1.22,1.05,0.90,0.13
Patrick Bamford,LEE,9,766,7.0,7.0,1.0,5.66,5.66,0.35,6.71,1.04,0.66,0.66,0.04,0.71,0.71,0.79,0.12
Callum Wilson,NEW,8,703,6.0,3.0,1.0,6.27,3.98,0.92,5.19,0.31,0.80,0.51,0.12,0.92,0.63,0.66,0.04
Bruno Fernandes,MUN,8,664,6.0,3.0,3.0,3.96,0.91,3.00,4.09,0.97,0.54,0.12,0.41,0.94,0.53,0.55,0.13
Ollie Watkins,AVL,8,720,6.0,5.0,1.0,4.85,4.09,0.66,5.42,1.75,0.61,0.51,0.08,0.69,0.59,0.68,0.22
Wilfried Zaha,CRY,8,720,5.0,3.0,2.0,4.22,2.70,2.18,5.27,0.80,0.53,0.34,0.27,0.80,0.61,0.66,0.10
Danny Ings,SOU,7,626,5.0,4.0,2.0,2.48,1.72,0.39,2.36,0.51,0.36,0.25,0.06,0.41,0.30,0.34,0.07
Timo Werner,CHE,9,778,4.0,4.0,2.0,3.92,3.92,1.09,5.47,1.11,0.45,0.45,0.13,0.58,0.58,0.63,0.13
Jack Grealish,AVL,8,720,4.0,4.0,5.0,3.05,3.05,3.69,6.51,1.90,0.38,0.38,0.46,0.84,0.84,0.81,0.24
